Code,Port,Port_Consolidated,Port_Coast,Port_Region, Action ,Note
1103,"Wilmington, Delaware",Delaware River,East,Mid-Atlantic, 1.00 ,
1307,"Dover, Delaware",Land Ports,Land  Ports,Land Ports, 1.00 ,
1001,"New York, New York",New York ,East,North Atlantic, 1.00 ,
982,"Griffiss International User Fee Airport, Rome, New York",Land Ports,Land  Ports,Land Ports, 1.00 ,
1002,"Albany, New York",New York ,East,North Atlantic, 1.00 ,
1005,"Long Island, New York",Land Ports,Land  Ports,Land Ports, 1.00 ,
1006,"Fishkill, New York",Land Ports,Land  Ports,Land Ports, 1.00 ,
1007,"Napanoch, New York",Land Ports,Land  Ports,Land Ports, 1.00 ,
101,"Portland, Maine",Boston,East,North Atlantic, 1.00 ,
102,"Bangor, Maine",Boston,East,North Atlantic, 1.00 ,
103,"Eastport, Maine",Boston,East,North Atlantic, 1.00 ,
104,"Jackman, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
105,"Vanceboro, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
106,"Houlton, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
107,"Fort Fairfield, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
108,"Van Buren, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
109,"Madawaska, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
110,"Fort Kent, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
1101,"Philadelphia, Pennsylvania",Delaware River,East,Mid-Atlantic, 1.00 ,
1102,"Chester, Pennsylvania",Delaware River,East,Mid-Atlantic, 1.00 ,
1104,"Pittsburgh, Pennsylvania",Land Ports,Land  Ports,Land Ports, 1.00 ,
1106,"Wilkes-Barre/Scranton, Pennsylvania",Land Ports,Land  Ports,Land Ports, 1.00 ,
1108,"Philadelphia International Airport, Philadelphia, Pennsylvania",Land Ports,Land  Ports,Land Ports, 1.00 ,
1109,"Harrisburg, Pennsylvania",Land Ports,Land  Ports,Land Ports, 1.00 ,
111,"Bath, Maine",Boston,East,North Atlantic, 1.00 ,
1110,"Cherry Hill, New Jersey",Land Ports,Land  Ports,Land Ports, 1.00 ,
1119,"Allentown, Pennsylvania",Land Ports,Land  Ports,Land Ports, 1.00 ,
112,"Bar Harbor, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
114,"Manchester, New Hampshire",Land Ports,Land  Ports,Land Ports, 1.00 ,
115,"Calais, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
118,"Limestone, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
1182,"Atlantic City User Fee Airport, New Jersey",Land Ports,Land  Ports,Land Ports, 1.00 ,
1183,"Trenton/Mercer County User Fee Airport, New Jersey",Land Ports,Land  Ports,Land Ports, 1.00 ,
1195,"UPS Courier Hub Facility, Philadelphia, Pennsylvania",Land Ports,Land  Ports,Land Ports, 1.00 ,
121,"Rockland, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
122,"Jonesport, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
127,"Bridgewater, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
1301,"Annapolis, Maryland",Baltimore,East,Mid-Atlantic, 1.00 ,
1302,"Cambridge, Maryland",Land Ports,Land  Ports,Land Ports, 1.00 ,
1303,"Baltimore, Maryland",Baltimore,East,Mid-Atlantic, 1.00 ,
1304,"Crisfield, Maryland",Land Ports,Land  Ports,Land Ports, 1.00 ,
1305,"Baltimore-Washington International Airport, Baltimore, Maryland",Land Ports,Land  Ports,Land Ports, 1.00 ,
131,"Portsmouth, New Hampshire",New York ,East,North Atlantic, 1.00 ,
1401,"Norfolk, Virginia",Hampton Roads,East,Mid-Atlantic, 1.00 ,
1404,"Richmond-Petersburg, Virginia",Hampton Roads,East,Mid-Atlantic, 1.00 ,
1405,"Harrisonburg, Virginia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1409,"Charleston, West Virginia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1410,"Front Royal, Virginia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1411,"Fraudulent Document Lab, McLean, Virginia",Land Ports,Land  Ports,Land Ports, 1.00 ,
150,"Border Patrol Sector, Hodgdon, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
1501,"Wilmington, North Carolina",North Carolina Ports,East,South Atlantic, 1.00 ,
1502,"Winston-Salem, North Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
1503,"Durham, North Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
151,"Houlton Border Patrol, Houlton, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
1511,"Beaufort-Morehead City, North Carolina",North Carolina Ports,East,South Atlantic, 1.00 ,
1512,"Charlotte, North Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
152,"Searsport, Maine",Boston,East,North Atlantic, 1.00 ,
153,"Jackman Border Patrol, Jackman, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
154,"Rangeley Border Patrol, Rangeley, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
155,"Van Buren Border Patrol, Van Buren, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
156,"Fort Fairfield Border Patrol, Fort Fairfield, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
157,"Calais Border Patrol, Calais, Maine",Land Ports,Land  Ports,Land Ports, 1.00 ,
1581,"Charlotte-Monroe User Fee Airport, Monroe, North Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
1601,"Charleston, South Carolina",South Carolina Ports,East,South Atlantic, 1.00 ,
1602,"Georgetown, South Carolina",South Carolina Ports,East,South Atlantic, 1.00 ,
1603,"Greenville-Spartanburg, South Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
1604,"Columbia, South Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
1608,"Greer, South Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
1681,"Myrtle Beach International Airport, Myrtle Beach, South Carolina",Land Ports,Land  Ports,Land Ports, 1.00 ,
1701,"Brunswick, Georgia",Georgia Ports,East,South Atlantic, 1.00 ,
1703,"Savannah, Georgia",Georgia Ports,East,South Atlantic, 1.00 ,
1704,"Atlanta, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1705,"Albany, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1706,"Dalton, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1709,"Hartsfield Airport, Atlanta, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1755,"Port for Tracking, Savannah, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1758,"Olympics Security, Atlanta, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1759,"Atlanta-Olympics, Atlanta, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1781,"Cobb County International Airport, Kenshaw, Georgia",Land Ports,Land  Ports,Land Ports, 1.00 ,
1801,"Tampa, Florida",Tampa,Gulf,Gulf East, 1.00 ,
1803,"Jacksonville, Florida",North Florida,East,South Atlantic, 1.00 ,
1804,"Tallahassee, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1805,"Fernandina Beach, Florida",North Florida,East,South Atlantic, 1.00 ,
1807,"Boca Grande, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1808,"Orlando, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1809,"Orlando-Sanford Airport, Sanford, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1811,"Sarasota/Bradenton, Manatee, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1814,"St. Petersburg, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1816,"Port Canaveral, Florida",North Florida,East,South Atlantic, 1.00 ,
1818,"Panama City, Florida",Mobile,Gulf,Gulf East, 1.00 ,
1819,"Pensacola, Florida",Mobile,Gulf,Gulf East, 1.00 ,
182,"Manchester User Fee Airport, New Hampshire",Land Ports,Land  Ports,Land Ports, 1.00 ,
1820,"Port St. Joe, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1821,"Port Manatee, Florida",Tampa,Gulf,Gulf East, 1.00 ,
1822,"Fort Myers, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1851,"Tampa Border Patrol, Tampa, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1852,"Jacksonville Border Patrol, Jacksonville, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1853,"Orlando Border Patrol, Orlando, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1880,"Naples Municipal Airport, Naples, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1881,"Lakeland Linder Airport, Lakeland, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1883,"Sarasota-Bradenton Airport, Sarasota, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1884,"Daytona Beach International Airport, Daytona Beach, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1885,"Melbourne Regional Airport, Melbourne, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1887,"Leesburg Regional Airport, Leesburg, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1888,"Orlando Executive Airport, Orlando, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1889,"St. Augustine Airport (User Fee Airport), St Augustine, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1901,"Mobile, Alabama",Mobile,Gulf,Gulf East, 1.00 ,
1902,"Gulfport, Mississippi",Mobile,Gulf,Gulf East, 1.00 ,
1903,"Pascagoula, Mississippi",Mobile,Gulf,Gulf East, 1.00 ,
1904,"Birmingham, Alabama",Land Ports,Land  Ports,Land Ports, 1.00 ,
1905,"Apalachicola, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1906,"Carrabelle, Florida",Land Ports,Land  Ports,Land Ports, 1.00 ,
1910,"Huntsville, Alabama",Land Ports,Land  Ports,Land Ports, 1.00 ,
1951,"Gulfport Border Patrol, Gulfport, Mississippi",Land Ports,Land  Ports,Land Ports, 1.00 ,
1952,"Mobile Border Patrol, Mobile, Alabama",Land Ports,Land  Ports,Land Ports, 1.00 ,
2001,"Morgan City, Louisiana",New Orleans,Gulf,Gulf East, 1.00 ,
2002,"New Orleans, Louisiana",New Orleans,Gulf,Gulf East, 1.00 ,
2003,"Little Rock, Arkansas",Land Ports,Land  Ports,Land Ports, 1.00 ,
2004,"Baton Rouge, Louisiana",New Orleans,Gulf,Gulf East, 1.00 ,
2006,"Memphis, Tennessee",Land Ports,Land  Ports,Land Ports, 1.00 ,
2007,"Nashville, Tennessee",Land Ports,Land  Ports,Land Ports, 1.00 ,
2008,"Chattanooga, Tennessee",Land Ports,Land  Ports,Land Ports, 1.00 ,
201,"St. Albans, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
2010,"Gramercy, Louisiana",New Orleans,Gulf,Gulf East, 1.00 ,
2011,"Greenville, Mississippi",Land Ports,Land  Ports,Land Ports, 1.00 ,
2015,"Vicksburg, Mississippi (Include Jackson Municipal Airport)",Land Ports,Land  Ports,Land Ports, 1.00 ,
2016,"Knoxville, Tennessee",Land Ports,Land  Ports,Land Ports, 1.00 ,
2017,"Lake Charles, Louisiana",Lake Charles,Gulf,Gulf East, 1.00 ,
2018,"Shreveport-Bossier City, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2021,"Houma, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2023,"Lafayette, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2024,"Ft. Smith, Arkansas",Land Ports,Land  Ports,Land Ports, 1.00 ,
2025,"Fayetteville, Arkansas",Land Ports,Land  Ports,Land Ports, 1.00 ,
2026,"Texarkana, Arkansas",Land Ports,Land  Ports,Land Ports, 1.00 ,
2027,"Tri-City Airport, Blountville, Tennessee",Land Ports,Land  Ports,Land Ports, 1.00 ,
203,"Richford, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
2050,"Border Patrol Sector HQ, New Orleans, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2051,"Lake Charles Border Patrol, Lake Charles, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2052,"Baton Rouge Border Patrol, Baton Rouge, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2053,"New Orleans Border Patrol, New Orleans, Louisiana",Land Ports,Land  Ports,Land Ports, 1.00 ,
2054,"Little Rock Border Patrol, Little Rock, Arkansas",Land Ports,Land  Ports,Land Ports, 1.00 ,
206,"Beecher Falls, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
207,"Burlington, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
2081,"Jackson Airport, Jackson, Mississippi",Land Ports,Land  Ports,Land Ports, 1.00 ,
2084,"Rogers Municipal Airport, Rogers, Arkansas",Land Ports,Land  Ports,Land Ports, 1.00 ,
209,"Derby Line, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
2095,"Federal Express Courier, Memphis, Tennessee",Land Ports,Land  Ports,Land Ports, 1.00 ,
210,"Newport, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
2101,"Port Arthur, Texas",Sabine River,Gulf,North Texas, 1.00 ,
2102,"Sabine, Texas",Sabine River,Gulf,North Texas, 1.00 ,
2103,"Orange, Texas",Sabine River,Gulf,North Texas, 1.00 ,
2104,"Beaumont, Texas",Sabine River,Gulf,North Texas, 1.00 ,
211,"Norton, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
212,"Highgate Springs/Alburg, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
214,"Swanton, Vermont",Land Ports,Land  Ports,Land Ports, 1.00 ,
2150,"Border Patrol Sector HQ, Yuma, Arizona",Land Ports,Land  Ports,Land Ports, 1.00 ,
2151,"Blythe California Border Patrol, Blythe, California",Land Ports,Land  Ports,Land Ports, 1.00 ,
2152,"Yuma Arizona Border Patrol, Yuma, Arizona",Land Ports,Land  Ports,Land Ports, 1.00 ,
