HS2,HS4,Group,Commodity,Cargo,Cargo_Detail,Keywords_Str,Min Tons,Max Tons,Note,HS Title,HS Decription,HS_Code,Port of Loading (F),Shipper,Count,Tons
72,7224,Break-Bulk,Steel,Semi-Finished,"Slabs, Billets","Slabs, Billets",1.5,60000,KEEP,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel:,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel:,,,,1,1
72,7218,Break-Bulk,Steel,Semi-Finished,Steel Slabs,Steel Slabs,1.5,60000,KEEP,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel:,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel:,Classified: 7218.91,"Sepetiba Bay, Brazil",Ternium Brasil Ltda,1,1
72,7218,Break-Bulk,Steel,Semi-Finished,"Billets, Slabs","Billets, Slabs",1.5,60000,KEEP,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel:,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel:,,,,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"STEEL, SCRAP, BULK",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Lazaro Cardenas, Mexico",Arcelormittal Mexico S.A. De C.V.,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"SHREDDED, STEEL, SCRAP, 501, 047",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Halmstad, Sweden",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"SHREDDED, STEEL, SCRAP, 058, 152",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Moerdjik, Netherlands",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"SHREDDED, STEEL, SCRAP",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Halmstad, Sweden",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,Scrap,,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,,,,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"QUANTITY, BUSHELING",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"All Other Poland Ports, Poland",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"NEW, PRODUCTION, AUTO, INDUSTRIAL, BUNDLES",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Newcastle On Tyne, United Kingdom",Sirius House,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"INDUSTRIAL, BUSHELING, SCRAP, 6299, 577",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Limhamn, Sweden",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"INDUSTRIAL, BUSHELING, SCRAP, 003, 276",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Limhamn, Sweden",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BUSHELING, SCRAP",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"All Other Poland Ports, Poland",Gescrap S.L.,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BUSHELING, BULK, 793, 535, METRIC",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Amsterdam, Netherlands",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BUSHELING, BULK",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Amsterdam, Netherlands",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BUNDLES, 182, 830, BUSHELING, 817",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Liverpool, United Kingdom","S. Norton Ano Co., Ltd.",1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BULK, SCRAP, STEEL",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Victoria, Bc, Canada",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BULK, SCRAP, STEEL",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Nanaimo, Bc, Canada",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BULK, SCRAP, STEEL",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Campbell River, Bc, Canada",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BULK, SCRAP, STEEL",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.21,"Victoria, Bc, Canada",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"BULK, SCRAP, STEEL",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Nanaimo, Bc, Canada",Abc Recycling Ltd.,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"9005, 357, INDUSTRIAL, BUSHELING, SCRAP",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Limhamn, Sweden",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"815, 312, BUSHELING, BULK, 685",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Amsterdam, Netherlands",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"753, 460, STEEL, SCRAP, NEW",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Liverpool, United Kingdom",European Metal Recycling Ltd.,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"462, 462, BUSHELING",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Danzig, Poland",,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"442, 365, STEEL, SCRAP, FORM",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Liverpool, United Kingdom",European Metal Recycling Ltd.,1,1
72,7204,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,"430, 295, BUSHELING, 049, 782",,,KEEP,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,Classified: 7204.49,"Amsterdam, Netherlands",,1,1
