HS2,HS4,HS6,Group,Commodity,Cargo,Cargo_Detail,Keywords_Str,Min Tons,Max Tons,Note,HS Title,HS Decription,HS_Code,Port of Loading (F),Shipper,Count,Tons,Keywords_List
10,1001,100100,Dry Bulk,Agricultural Products,Grain,Wheat,WHEAT,,,KEEP,Wheat and meslin:,Wheat and meslin:,,,,1,1,WHEAT
10,1002,100224,Dry Bulk,Agricultural Products,Grain,Rye,RYE,,,KEEP,Rye:,Rye:,,,,1,1,RYE
10,1003,100310,Dry Bulk,Agricultural Products,Grain,Barley,BARLEY,,,KEEP,Barley:,Barley:,,,,1,1,BARLEY
10,1004,100427,Dry Bulk,Agricultural Products,Grain,Oats,OATS,,,KEEP,Oats:,Oats:,,,,1,1,OATS
10,1005,100535,Dry Bulk,Agricultural Products,Grain,Corn,CORN,,,KEEP,Corn (maize):,Corn (maize):,,,,1,1,CORN
10,1006,100627,Dry Bulk,Agricultural Products,Grain,Rice,RICE,,,KEEP,Rice:,Rice:,,,,1,1,RICE
10,1008,100850,Dry Bulk,Agricultural Products,Grain,Buckwheat,BUCKWHEAT,,,KEEP,"Buckwheat, millet and canary seeds; other cereals (including wild rice):","Buckwheat, millet and canary seeds; other cereals (including wild rice):",,,,1,1,BUCKWHEAT
11,1103,110350,Dry Bulk,Agricultural Products,Grain,Grain,PERLITE,,,KEEP,"Cereal groats, meal and pellets:","Cereal groats, meal and pellets:",,,,1,1,PERLITE
11,1104,110460,Dry Bulk,Agricultural Products,Grain,Grain,GRAINS,,,KEEP,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground:","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground:",,,,1,1,GRAINS
11,1107,110710,Dry Bulk,Agricultural Products,grain,Grain,MALT,,,KEEP,"Malt, whether or not roasted:","Malt, whether or not roasted:",,,,1,1,MALT
12,1201,120120,Dry Bulk,Agricultural Products,Grain,Soybeans,"SOYBEAN, SOYBEANS",,,KEEP,"Soybeans, whether or not broken:","Soybeans, whether or not broken:",,,,1,1,SOYBEAN; SOYBEANS
17,1701,170113,Dry Bulk,Agricultural Products,Sugar,Sugar,"RAW CANE, SUGAR",,,KEEP,"Cane or beet sugar and chemically pure sucrose, in solid form:","Cane or beet sugar and chemically pure sucrose, in solid form:",,,,1,1,RAW CANE; SUGAR
17,1702,001702,Dry Bulk,Agricultural Products,Sugar,Sugar,"RAW CANE, SUGAR",,,KEEP,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel:","Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel:",,,,1,1,RAW CANE; SUGAR
17,1704,170481,Dry Bulk,Agricultural Products,Sugar,Sugar,"RAW CANE, SUGAR",,,KEEP,"Sugar confectionery (including white chocolate), not containing cocoa:","Sugar confectionery (including white chocolate), not containing cocoa:",,,,1,1,RAW CANE; SUGAR
18,1803,180330,Break-Bulk,Agricultural Products,Cocoa,Cocoa,COCOA,1.5,60000,KEEP,"Cocoa paste, whether or not defatted:","Cocoa paste, whether or not defatted:",,,,1,1,COCOA
18,1804,180481,Break-Bulk,Agricultural Products,Cocoa,Cocoa,COCOA,1.5,60000,KEEP,Cocoa,"butter, fat and oil",,,,1,1,COCOA
18,1805,018059,Break-Bulk,Agricultural Products,Cocoa,Cocoa,COCOA,1.5,60000,KEEP,Cocoa,"butter, fat and oil",,,,1,1,COCOA
18,1806,001806,Break-Bulk,Agricultural Products,Cocoa,Cocoa,COCOA,1.5,60000,KEEP,Chocolate and other food preparations containing cocoa:,Chocolate and other food preparations containing cocoa:,,,,1,1,COCOA
25,2501,250150,Dry Bulk,Minerals & Ores,Salt,Salt,SALT,,,KEEP,Salt (including table salt and denatured salt),pure sodium chloride whether or not in aqueous solution; sea water,Classified: 2501.00,"Walvis Bay, Namibia",Walvis Bay Salt Refiners,1,1,SALT
25,2502,250250,Dry Bulk,Ferrous Raw Materials,Iron Products,"Iron Ore, Iron Concentrates",IRON PYRITES,,,KEEP,Iron pyrites,unroasted,,,,1,1,IRON PYRITES
25,2503,250300,Dry Bulk,Misc Bulk,misc bulk commodities,QUANTITY PRILLED SULPHUR,"PRILLED, QUANTITY, SULPHUR",,,KEEP,Sulphur of all kinds,"other than sublimed, precipitated and colloidal sulphur",Classified: 2503.00,"Vancouver, BC, Canada",H.J. Baker Sulphur Canada Ulc,1,1,PRILLED; QUANTITY; SULPHUR
25,2504,002504,Dry Bulk,Minerals & Ores,tbn,carbon,GRAPHITE,,,KEEP,Natural graphite:,Natural graphite:,,,,1,1,GRAPHITE
25,2505,250560,Dry Bulk,Construction Materials,Aggregates,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","AGGREGATES, GRAVEL, LIMESTONE, PEBBLES, SAND",,,KEEP,"Natural sands of all kinds, whether or not colored, other than metalbearing sands of chapter 26:","Natural sands of all kinds, whether or not colored, other than metalbearing sands of chapter 26:",,,,1,1,AGGREGATES; GRAVEL; LIMESTONE; PEBBLES; SAND
