hts_code,aisi_group,category_description,steel_type,steel_type_code,section_201_category
7214910016,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214910020,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990021,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990026,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990031,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990036,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990040,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7228308015,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228308041,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228308045,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228308070,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228308010,1500,BARS - REINFORCING,Alloy,A,Section 201
7215500018,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215500020,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215500063,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215500065,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7222200064,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200073,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7305316010,2200,STRUCTURAL PIPE & TUBE,Stainless Steel,S,General
7223001005,2300,WIRE DRAWN,Stainless Steel,S,Section 201
7209182585,2800,BLACK PLATE,Non-Alloy (Carbon),C,General
7210500090,2950,TIN FREE STEEL,Non-Alloy (Carbon),C,Section 201
7208270040,3100,SHEETS HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7208390025,3100,SHEETS HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7209160045,3200,SHEETS COLD ROLLED,Non-Alloy (Carbon),C,Section 201
7209170045,3200,SHEETS COLD ROLLED,Non-Alloy (Carbon),C,Section 201
7210490045,3300,SHEETS & STRIP GALV HOT DIPPED,Non-Alloy (Carbon),C,Section 201
7210490095,3300,SHEETS & STRIP GALV HOT DIPPED,Non-Alloy (Carbon),C,Section 201
7206100000,100,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7206900000,100,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7218100000,100,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7224100005,100,INGOTS AND STEEL FOR CASTINGS,Alloy,A,General
7224100075,100,INGOTS AND STEEL FOR CASTINGS,Alloy,A,General
7207110000,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7207120010,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,Section 201
7207120050,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,Section 201
7207190030,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7207190090,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7207200025,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,Section 201
7207200045,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,Section 201
7207200075,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7207200090,150,INGOTS AND STEEL FOR CASTINGS,Non-Alloy (Carbon),C,General
7218910015,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218910030,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218910060,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218990015,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218990030,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218990045,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218990060,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7218990090,150,INGOTS AND STEEL FOR CASTINGS,Stainless Steel,S,General
7224900005,150,INGOTS AND STEEL FOR CASTINGS,Alloy,A,General
7224900045,150,INGOTS AND STEEL FOR CASTINGS,Alloy,A,General
7224900055,150,INGOTS AND STEEL FOR CASTINGS,Alloy,A,Section 201
7224900065,150,INGOTS AND STEEL FOR CASTINGS,Alloy,A,General
7224900075,150,INGOTS AND STEEL FOR CASTINGS,Alloy,A,General
7213913011,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213913015,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213913020,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213913093,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213914500,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213916000,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213990030,300,WIRE RODS,Non-Alloy (Carbon),C,General
7213990090,300,WIRE RODS,Non-Alloy (Carbon),C,Section 201
7221000017,300,WIRE RODS,Stainless Steel,S,Section 201
7221000018,300,WIRE RODS,Stainless Steel,S,Section 201
7221000030,300,WIRE RODS,Stainless Steel,S,Section 201
7227200030,300,WIRE RODS,Alloy,A,Section 201
7227906020,300,WIRE RODS,Alloy,A,Section 201
7227906030,300,WIRE RODS,Alloy,A,Section 201
7227906035,300,WIRE RODS,Alloy,A,Section 201
7216310000,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216320000,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216330030,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216330060,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216330090,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216400010,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216400050,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,General
7216500000,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,Section 201
7216990010,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,Section 201
7216990090,400,STRUCTURAL SHAPES HEAVY,Non-Alloy (Carbon),C,Section 201
7222403025,400,STRUCTURAL SHAPES HEAVY,Stainless Steel,S,Section 201
7222403045,400,STRUCTURAL SHAPES HEAVY,Stainless Steel,S,Section 201
7222406000,400,STRUCTURAL SHAPES HEAVY,Stainless Steel,S,Section 201
7228703010,400,STRUCTURAL SHAPES HEAVY,Alloy,A,Section 201
7228703020,400,STRUCTURAL SHAPES HEAVY,Alloy,A,Section 201
7228703041,400,STRUCTURAL SHAPES HEAVY,Alloy,A,Section 201
7228706000,400,STRUCTURAL SHAPES HEAVY,Alloy,A,Section 201
7301100000,500,STEEL PILING,Non-Alloy (Carbon),C,General
7208403030,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7208403060,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7208510030,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7208510045,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7208510060,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7208520000,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7210901000,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7211130000,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7211140030,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7211140045,600,PLATE CUT LENGTHS,Non-Alloy (Carbon),C,Section 201
7219210005,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219210020,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219210040,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219210060,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220005,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220015,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220020,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220025,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220035,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220040,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220045,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220070,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220075,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219220080,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7219310050,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7220110000,600,PLATE CUT LENGTHS,Stainless Steel,S,General
7225403005,600,PLATE CUT LENGTHS,Alloy,A,Section 201
7225403050,600,PLATE CUT LENGTHS,Alloy,A,Section 201
7225506000,600,PLATE CUT LENGTHS,Alloy,A,Section 201
7226915000,600,PLATE CUT LENGTHS,Alloy,A,Section 201
7208101500,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208103000,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208253000,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208256000,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208360030,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208360060,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208370030,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7208370060,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7211140090,650,PLATES IN COILS,Non-Alloy (Carbon),C,Section 201
7219110030,650,PLATES IN COILS,Stainless Steel,S,General
7219110060,650,PLATES IN COILS,Stainless Steel,S,General
7219120002,650,PLATES IN COILS,Stainless Steel,S,General
7219120006,650,PLATES IN COILS,Stainless Steel,S,General
7219120021,650,PLATES IN COILS,Stainless Steel,S,General
7219120026,650,PLATES IN COILS,Stainless Steel,S,General
7219120051,650,PLATES IN COILS,Stainless Steel,S,General
7219120056,650,PLATES IN COILS,Stainless Steel,S,General
7219120066,650,PLATES IN COILS,Stainless Steel,S,General
7219120071,650,PLATES IN COILS,Stainless Steel,S,General
7219120081,650,PLATES IN COILS,Stainless Steel,S,General
7219310010,650,PLATES IN COILS,Stainless Steel,S,General
7225303005,650,PLATES IN COILS,Alloy,A,Section 201
7225303050,650,PLATES IN COILS,Alloy,A,Section 201
7302101010,700,RAILS STANDARD,Non-Alloy (Carbon),C,General
7302101035,700,RAILS STANDARD,Non-Alloy (Carbon),C,General
7302105020,700,RAILS STANDARD,Alloy,A,General
7302101015,800,RAILS ALL OTHER,Non-Alloy (Carbon),C,General
7302101025,800,RAILS ALL OTHER,Non-Alloy (Carbon),C,General
7302101045,800,RAILS ALL OTHER,Non-Alloy (Carbon),C,General
7302101055,800,RAILS ALL OTHER,Non-Alloy (Carbon),C,General
7302400000,900,RAILROAD ACCESSORIES,Non-Alloy (Carbon),C,General
7302901000,900,RAILROAD ACCESSORIES,Non-Alloy (Carbon),C,General
7213200010,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7213200080,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7213990060,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214100000,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214300010,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214300080,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214910060,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214910090,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990016,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990045,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990060,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990075,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7214990090,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7215901000,1400,BARS - HOT ROLLED,Non-Alloy (Carbon),C,Section 201
7221000005,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7221000045,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7221000075,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222110001,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222110006,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222110057,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222110059,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222110082,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222110084,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222190001,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222190006,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222190052,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7222190054,1400,BARS - HOT ROLLED,Stainless Steel,S,Section 201
7227200080,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7227906005,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7227906010,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7227906040,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7227906090,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228201000,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228308005,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228308010,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228400000,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228606000,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7228800000,1400,BARS - HOT ROLLED,Alloy,A,Section 201
7216100010,1450,BARS - LIGHT SHAPED,Non-Alloy (Carbon),C,Section 201
7216100050,1450,BARS - LIGHT SHAPED,Non-Alloy (Carbon),C,Section 201
7216210000,1450,BARS - LIGHT SHAPED,Non-Alloy (Carbon),C,Section 201
7216220000,1450,BARS - LIGHT SHAPED,Non-Alloy (Carbon),C,Section 201
7222403065,1450,BARS - LIGHT SHAPED,Stainless Steel,S,Section 201
7222403085,1450,BARS - LIGHT SHAPED,Stainless Steel,S,Section 201
7228703060,1450,BARS - LIGHT SHAPED,Alloy,A,Section 201
7228703081,1450,BARS - LIGHT SHAPED,Alloy,A,Section 201
7213100000,1500,BARS - REINFORCING,Non-Alloy (Carbon),C,Section 201
7214200000,1500,BARS - REINFORCING,Non-Alloy (Carbon),C,Section 201
7215100010,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215100080,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215500016,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215500061,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215500090,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215903000,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7215905000,1600,BARS - COLD FINISHED,Non-Alloy (Carbon),C,Section 201
7222200001,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200006,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200041,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200043,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200062,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200067,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200069,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222200071,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222300001,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222300012,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222300022,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222300024,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222300082,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7222300084,1600,BARS - COLD FINISHED,Stainless Steel,S,Section 201
7228205000,1600,BARS - COLD FINISHED,Alloy,A,Section 201
7228505005,1600,BARS - COLD FINISHED,Alloy,A,Section 201
7228505015,1600,BARS - COLD FINISHED,Alloy,A,Section 201
7228505040,1600,BARS - COLD FINISHED,Alloy,A,Section 201
7228505070,1600,BARS - COLD FINISHED,Alloy,A,Section 201
7228608000,1600,BARS - COLD FINISHED,Alloy,A,Section 201
7224100045,1700,TOOL STEEL,Alloy,A,General
7224900015,1700,TOOL STEEL,Alloy,A,General
7224900025,1700,TOOL STEEL,Alloy,A,General
7224900035,1700,TOOL STEEL,Alloy,A,General
7225301110,1700,TOOL STEEL,Alloy,A,General
7225301180,1700,TOOL STEEL,Alloy,A,General
7225305110,1700,TOOL STEEL,Alloy,A,General
7225305180,1700,TOOL STEEL,Alloy,A,General
7225401110,1700,TOOL STEEL,Alloy,A,General
7225401180,1700,TOOL STEEL,Alloy,A,General
7225405110,1700,TOOL STEEL,Alloy,A,General
7225405130,1700,TOOL STEEL,Alloy,A,General
7225405160,1700,TOOL STEEL,Alloy,A,General
7225501110,1700,TOOL STEEL,Alloy,A,General
7225501130,1700,TOOL STEEL,Alloy,A,General
7225501160,1700,TOOL STEEL,Alloy,A,General
7226200000,1700,TOOL STEEL,Alloy,A,General
7226910500,1700,TOOL STEEL,Alloy,A,General
7226911530,1700,TOOL STEEL,Alloy,A,General
7226911560,1700,TOOL STEEL,Alloy,A,General
7226912530,1700,TOOL STEEL,Alloy,A,General
7226912560,1700,TOOL STEEL,Alloy,A,General
7226921030,1700,TOOL STEEL,Alloy,A,General
7226921060,1700,TOOL STEEL,Alloy,A,General
7226923030,1700,TOOL STEEL,Alloy,A,General
7226923060,1700,TOOL STEEL,Alloy,A,General
7227100000,1700,TOOL STEEL,Alloy,A,General
7227901030,1700,TOOL STEEL,Alloy,A,Section 201
7227901060,1700,TOOL STEEL,Alloy,A,General
7227902030,1700,TOOL STEEL,Alloy,A,Section 201
7227902060,1700,TOOL STEEL,Alloy,A,General
7228100010,1700,TOOL STEEL,Alloy,A,General
7228100030,1700,TOOL STEEL,Alloy,A,General
7228100060,1700,TOOL STEEL,Alloy,A,General
7228302000,1700,TOOL STEEL,Alloy,A,Section 201
7228304000,1700,TOOL STEEL,Alloy,A,General
7228306000,1700,TOOL STEEL,Alloy,A,General
7228501010,1700,TOOL STEEL,Alloy,A,Section 201
7228501020,1700,TOOL STEEL,Alloy,A,General
7228501040,1700,TOOL STEEL,Alloy,A,General
7228501060,1700,TOOL STEEL,Alloy,A,General
7228501080,1700,TOOL STEEL,Alloy,A,General
7228601030,1700,TOOL STEEL,Alloy,A,Section 201
7228601060,1700,TOOL STEEL,Alloy,A,General
7229900500,1700,TOOL STEEL,Alloy,A,General
7304390016,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390020,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390024,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390036,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390048,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390062,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390076,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304390080,1800,STANDARD PIPE,Non-Alloy (Carbon),C,General
7304598010,1800,STANDARD PIPE,Alloy,A,General
7304598015,1800,STANDARD PIPE,Alloy,A,General
