Code,Description
01,"2937110000 SOMATOTROPIN, ITS DERIVATIVES AND STRUCTURAL ANALOGUES"
01,"2937190000 POLYPEPTIDE, PROTEIN AND GLYCOPROTEIN HORMONES, THEIR DERIVATIVES AND STRUCTURAL ANALOGUES, NESOI"
01,2937230000 ESTROGENS AND PROGESTINS
01,2940002000 D-ARABINOSE
01,"2940006000 SUGARS, CHEMICALLY PURE, OTHER THAN SUCROSE, LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE; SUGAR ETHERS AND SUGAR ESTERS, AND THEIR SALTS, NESOI"
01,3002120090 ANTISERA AND OTHER BLOOD FRACTIONS
01,"3002130000 IMMUNOLOGICAL PRODUCTS, UNMIXED, NOT PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE"
01,"3002140000 IMMUNOLOGICAL PRODUCTS, MIXED, NOT PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE"
01,"3002150100 IMMUNOLOGICAL PRODUCTS, PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE"
01,"3002410000 VACCINES FOR HUMAN MEDICINE, NESOI"
01,3002420000 VACCINES FOR VETERINARY MEDICINE
01,"3002490000 VACCINES, TOXINS, CULTURES OF MICRO-ORGANISMS EXCLUDING YEASTS, AND SIMILAR PRODUCTS, NESOI"
01,3002510000 CELL THERAPY PRODUCTS
01,"3002590000 CELL CULTURES, WHETHER OR NOT MODIFIED, NESOI"
01,"3002905220 ANTIALLERGENIC PREPERATIONS, NESOI"
01,"3002905250 HUMAN BLOOD; ANIMAL BLOOD PREPARED FOR THERAPEUTIC, PROPHYLATIC OR DIAGNOSTIC USES; ANTISERA AND OTHER BLOOD FRACTIONS, ETC. NESOI"
01,3822110000 MALARIA DIAGNOSTIC TEST KITS
01,"3822120000 DIAGNOSTIC OR LABORATORY REAGENTS FOR ZIKA AND OTHER DISEASES TRANSMITTED BY MOSQUITOES OF THE GENUS AEDES, WHETHER OR NOT PUT UP IN THE FORM OF KITS"
02,"2844410000 TRITIUM AND ITS COMPOUNDS; ALLOYS, DISPERSIONS INCLUDING CERMETS, CERAMIC PRODUCTS AND MIXTURES CONTAINING TRITIUM OR ITS COMPOUNDS"
02,"2844420000 ACTINIUM-225, ACTINIUM-227, CALIFORNIUM-253, CURIUM-240, CURIUM-241, CURIUM-242, CURIUM-243, CURIUM-244, ETC CMPNDS, ALLYS, DISPERSN, CERAM PROD, MIX"
02,"2844430010 ELEMENTS, ISOTOPES AND COMPOUNDS WITH COBALT-60 RADIOACTIVITY ONLY"
02,"2844430020 RADIOACTIVE ELEMENTS, ISOTOPES AND COMPOUNDS NESOI"
02,"2844430050 ALLOYS, DISPERSIONS, CERAMIC PRODUCTS & MIXTURES CONTAINING THESE ELEMENTS, ISOTOPES OR COMPOUNDS; RADIOACTIVE RESIDUES, NESOI"
02,2844440000 RADIOACTIVE RESIDUES
02,2845200000 BORON ENRICHED IN BORON-10 AND ITS COMPOUNDS
02,2845300000 LITHIUM ENRICHED IN LITHIUM-6 AND ITS COMPOUNDS
02,2845400000 HELIUM-3
02,"2845900100 ISOTOPES, EXCEPT THOSE OF HDG 2844; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED, NESOI"
02,2914620000 COENZYME Q10 (UBIDECARENONE (INN))
02,2914692100 QUINONE DRUGS
02,"2921460000 AMFETAMINE(INN), BENZFETAMINE(INN), DEXAMFETAMINE(INN), ETILAMFETAMINE(INN), FENCAMFAMIN(INN), LEFATAMINE(INN), LEVAMFETAMINE(INN) ETC & SALTS THEREOF"
02,"2922190900 AROMATIC DRUGS OF AMINO-ALCOHOLS, OTHER THAN THOSE CONTG MORE THAN ONE KIND OF OXYGEN FUNCTION, THEIR ETHERS AND ESTERS; SALTS THEREOF, NESOI"
02,2928003000 NON-AROMATIC ORGANIC DERIVATIVES OF HYDRAZINE OR OF HYDROXYLAMINE FOR USE AS DRUGS
02,2931902200 AROMATIC ORGANO-INORGANIC COMPOUNDS USED AS DRUGS
02,2932910000 ISOSAFROLE
02,2932995500 BIS-O-[(4-METHYLPHENYL)-METHYLENE]-D-GLUCITOL (DIMETHYLBENZYLIDENE SORBITOL); AND RHODAMINE 2C BASE
02,2933410000 LEVORPHANOL (INN) AND ITS SALTS
02,2933492250 DRUGS CONTAINING A QUINOLINE OR ISOQUINOLINE RING-SYSTEM (WHETHER OR NOT HYDROGENATED) NOT FURTHER FUSED
02,2933595960 DRUGS CONTAINING A PYRIMIDINE RING (WHETHER OR NOT HYDROGENATED) OR PIPERAZINE RING IN THE STRUCTURE
02,"2933910000 ALPRAZOLAM(INN), CAMAZEPAM (INN), CHLORDIAZEPOXIDE (INN), CLONAZEPAM (INN), CLORAZEPATE & OTHER HETEROCYCLIC COMPOUNDS WITH NITRO ATOM(S) ONLY"
02,"2933994600 ANTI-INFECTIVE AGENTS, NESOI"
02,"2933995300 CARDIOVASCULAR DRUGS, NESOI"
02,"2933995500 ANALGESICS, ANTIPYRETICS AND NON-HORMONAL ANTI-INFLAMMATORY AGENTS"
02,"2933996100 ANTIDEPRESSANTS, TRANQUILIZERS AND OTHER PSYCHOTHERAPEUTIC AGENTS, NESOI"
02,"2933996500 ANTICONVULSANTS, HYPNOTICS AND SEDATIVES"
02,"2933997000 DRUGS PRIMARILY AFFECTING THE CENTRAL NERVOUS SYSTEM, NESOI"
02,3002120030 HUMAN IMMUNE BLOOD SERA
02,"9011800000 OTHER COMPOUND OPTICAL MICROSCOPES, NESOI"
02,9011900000 PARTS AND ACCESSORIES FOR COMPOUND OPTICAL MICROSCOPES
02,9012100000 MICROSCOPES OTHER THAN OPTICAL MICROSCOPES; DIFFRACTION APPARATUS
02,9012900000 PARTS AND ACCESSORIES FOR MICROSCOPES OTHER THAN OPTICAL MICROSCOPES; DIFFRACTION APPARATUS
02,"9015808040 GEOPHYSICAL INSTRUMENTS AND APPLIANCES, NESOI"
02,"9015808080 SURVEYING, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL OR METEOROLOGICAL INSTRUMENTS AND APPLIANCES, EXCLUDING COMPASSES AND RANGEFINDERS, NESOI"
02,9018113000 ELECTROCARDIOGRAPHS
02,9018120000 ULTRASONIC SCANNING APPARATUS
02,"9018130000 MAGNETIC RESONANCE IMAGING APPARATUS USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES"
02,"9018140000 SCINTIGRAPHIC APPARATUS FOR USE IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES"
02,"9018194000 ELECTRO-DIAGNOSTIC APPARATUS FOR FUNCTIONAL EXPLORATORY EXAMINATION, AND PARTS AND ACCESSORIES THEREOF"
02,9018195500 PATIENT MONITORING SYSTEMS
02,9018199535 ELECTROENCEPHALOGRAPHS (EEG) AND ELECTROMYOGRAPHS (EMG)
02,"9018199550 ELECTRO-DIAGNOSTIC APPARATUS, USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, NESOI"
02,"9018199560 PARTS AND ACCESSORIES FOR ELECTRO-DIAGNOSTIC APPARATUS, FOR USE IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES"
02,9018500000 OTHER OPHTHALMIC INSTRUMENTS AND APPLIANCES AND PARTS AND ACCESSORIES
