HS,HS Code,Break-Bulk,Group,Cargo Grouop,Cargo,Keywords,Exception,Note,Title,Description,Count,Tons
9,0904,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Pepper of the genus <i>Piper</i>; dried or crushed or ground fruits of the genus <i>Capsicum</i> (peppers) or of the genus <i>Pimenta</i> (e.g., allspice): <i></i><i> </i>","Pepper of the genus <i>Piper</i>; dried or crushed or ground fruits of the genus <i>Capsicum</i> (peppers) or of the genus <i>Pimenta</i> (e.g., allspice): <i></i><i> </i>",1,29605
9,0902,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Tea, whether or not flavored:","Tea, whether or not flavored:",2,29
9,0901,Break-Bulk,Agricultural Products,Coffee,Coffee,Coffee,,,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion:","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion:",17,
8,0811,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter:","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter:",1,4160
8,0810,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Other fruit, fresh:","Other fruit, fresh:",2,84
8,0808,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Apples, pears and quinces, fresh:","Apples, pears and quinces, fresh:",1,16550
8,0806,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Grapes, fresh or dried:","Grapes, fresh or dried:",2,509
8,0805,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Citrus fruit, fresh or dried:","Citrus fruit, fresh or dried:",3,468
8,0804,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried:","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried:",1,15
8,0802,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Other nuts, fresh or dried, whether or not shelled or peeled:","Other nuts, fresh or dried, whether or not shelled or peeled:",26,19796
8,0801,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled:","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled:",1,1
7,0713,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Dried leguminous vegetables, shelled, whether or not skinned or split:","Dried leguminous vegetables, shelled, whether or not skinned or split:",3,
7,0710,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen:","Vegetables (uncooked or cooked by steaming or boiling in water), frozen:",1,38
