********************************************************************************
*                                                                              *
* Export SIC codes - 1,2,3 and 4 digit                                         *
*                                                                              *
*------------------------------------------------------------------------------*
* Code    | Description                                                        *
********************************************************************************
          |
  0       | AGRICULTURAL, FORESTRY, AND FISHERY PRODUCTS
  01      | AGRICULTURAL PRODUCTS
  011     | CASH GRAINS AND OTHER CROPS
  0111    | WHEAT
  0112    | RICE
  0115    | CORN
  0116    | SOYBEANS
  0119    | CASH GRAINS, NSPF
  013     | FIELD CROPS, EXCEPT CASH GRAINS
  0131    | COTTON AND COTTONSEED
  0132    | TOBACCO
  0133    | SUGAR CROPS
  0134    | POTATOES, WHITE OR IRISH
  0139    | FIELD CROPS, EXCEPT CASH GRAINS, NSPF
  016     | VEGETABLES AND MELONS
  0161    | VEGETABLES AND MELONS
  017     | FRUITS AND TREE NUTS
  0171    | BERRY CROPS
  0172    | GRAPES
  0173    | TREE NUTS
  0174    | CITRUS FRUITS
  0175    | DECIDUOUS TREE FRUITS
  0179    | FRUITS AND TREE NUTS, NSPF
  018     | HORTICULTURAL SPECIALTIES
  0181    | ORNAMENTAL FLORICULTURE AND NURSERY PRODUCTS
  0182    | MUSHROOMS
  02      | LIVESTOCK AND LIVESTOCK PRODUCTS
  021     | LIVESTOCK, EXCEPT DAIRY, POULTRY AND ANIMAL SPECIALTIES
  0211    | BEEF CATTLE AND BULL SEMEN
  0213    | HOGS
  0214    | SHEEP AND GOATS
  024     | DAIRY CATTLE FOR BREEDING, LIVE
  0241    | DAIRY CATTLE FOR BREEDING, LIVE
  025     | POULTRY AND EGGS
  0259    | POULTRY AND EGGS, NSPF
  027     | ANIMAL SPECIALTIES
  0271    | FURSKINS, RAW OR UNDRESSED AND FUR-BEARING ANIMALS
  0272    | HORSES, ASSES, MULES, AND BURROS
  0273    | ANIMAL AQUACULTURE
  0279    | FURSKINS, WHOLE, UNDRESSED; AND LIVE ANIMALS, NSPF
  08      | FORESTRY PRODUCTS, NSPF
  081     | TIMBER TRACTS
  0811    | FOLIAGE, BRANCHES, ETC, FOR BOUQUETS OR ORNAMENTAL PURPOSES (INCLUDING CHRISTMAS TREES)
  083     | FORESTRY PRODUCTS, NSPF
  0831    | FORESTRY PRODUCTS, NSPF
  09      | FISH, FRESH OR CHILLED; AND OTHER MARINE PRODUCTS
  091     | FISH, FRESH OR CHILLED, EXCEPT PACKAGED; AND MISCELLANEOUS MARINE PRODUCTS, NSPF
  0912    | FINFISH
  0913    | SHELLFISH
  0919    | MISCELLANEOUS MARINE PRODUCTS, NSPF
  1       | MINERAL COMMODITIES
  10      | METALLIC ORES AND CONCENTRATES
  101     | IRON ORE
  1011    | IRON ORES
  102     | COPPER ORE
  1021    | COPPER ORES
  103     | LEAD AND ZINC ORE
  1031    | LEAD AND ZINC ORES
  104     | PRECIOUS METAL ORES, INCLUDING GOLD CONTENT
  1041    | GOLD ORES
  1044    | SILVER ORES
  106     | FERROALLOY ORES, NSPF
  1061    | FERROALLOY ORES, EXCEPT VANADIUM
  109     | METALLIC ORES, NSPF
  1094    | VANADIUM AND URANIUM ORES
  1099    | METALLIC ORES, NSPF
  12      | BITUMINOUS COAL AND LIGNITE
