********************************************************************************
*                                                                              *
* Import SIC codes - 1,2,3 and 4 digit                                         *
*                                                                              *
*------------------------------------------------------------------------------*
* Code    | Description                                                        *
********************************************************************************
          |
  0       | AGRICULTURAL, FORESTRY, AND FISHERY PRODUCTS
  01      | AGRICULTURAL PRODUCTS
  011     | CASH GRAINS AND OTHER CROPS
  0111    | WHEAT
  0112    | RICE
  0115    | CORN
  0116    | SOYBEANS
  0119    | CASH GRAINS, NSPF
  013     | FIELD CROPS, EXCEPT CASH GRAINS
  0131    | COTTON AND COTTONSEED
  0132    | TOBACCO
  0133    | SUGARCANE AND SUGAR BEETS
  0134    | POTATOES, WHITE OR IRISH
  0139    | FIELD CROPS, EXCEPT CASH GRAINS, NSPF
  016     | VEGETABLES AND MELONS
  0161    | VEGETABLES AND MELONS
  017     | FRUITS, FRESH, CHILLED OR IN BRINE; EDIBLE TREE NUTS; AND VEGETABLES, FRESH, CHILLED, OR FROZEN
  0171    | BERRY CROPS
  0172    | GRAPES
  0173    | TREE NUTS
  0174    | CITRUS FRUITS
  0175    | DECIDUOUS TREE FRUITS
  0179    | FRUITS AND TREE NUTS, NSPF
  018     | HORTICULTURAL SPECIALTIES AND VEGETABLE PRODUCTS, NSPF
  0181    | ORNAMENTAL FLORICULTURE AND NURSERY PRODUCTS
  0182    | MUSHROOMS
  02      | LIVESTOCK AND LIVESTOCK PRODUCTS
  021     | LIVESTOCK, EXCEPT DAIRY, POULTRY, AND ANIMAL SPECIALTIES
  0211    | BEEF CATTLE
  0213    | HOGS
  0214    | SHEEP AND GOATS
  024     | DAIRY FARMS
  0241    | DAIRY CATTLE, INCLUDING BREEDING ANIMALS
  025     | POULTRY AND EGGS
  0259    | POULTRY AND EGGS, NSPF
  027     | ANIMAL SPECIALTIES
  0271    | FURSKINS, RAW OR UNDRESSED AND FUR-BEARING ANIMALS
  0272    | HORSES, MULES, ASSES AND BURROS, LIVE
  0273    | ANIMAL AQUACULTURE
  0279    | ANIMAL SPECIALTIES, NSPF
  08      | FORESTRY PRODUCTS, NSPF
  081     | TIMBER TRACTS
  0811    | TIMBER TRACTS (INCLUDING CHRISTMAS TREE GROWING)
  083     | FORESTRY PRODUCTS, NSPF
  0831    | FORESTRY PRODUCTS, NSPF
  09      | FISH, FRESH, CHILLED, OR FROZEN, AND OTHER MARINE PRODUCTS
  091     | FISH, FRESH, CHILLED, OR FROZEN, AND OTHER MARINE PRODUCTS
  0912    | FINFISH
  0913    | SHELLFISH
  0919    | MISCELLANEOUS MARINE PRODUCTS, NSPF
  1       | MINERAL COMMODITIES
  10      | METALLIC ORES AND CONCENTRATES
  101     | IRON ORE, INCLUDING MANGANIFEROUS IRON ORE
  1011    | IRON ORES
  102     | COPPER ORE
  1021    | COPPER ORES
  103     | LEAD AND ZINC ORES
  1031    | LEAD AND ZINC ORES
  104     | GOLD AND SILVER CONTENT OF ORES
  1041    | GOLD ORES
  1044    | SILVER ORES
  106     | FERROALLOY ORES, EXCEPT VANADIUM
  1061    | FERROALLOY ORES, EXCEPT VANADIUM
  109     | METALLIC ORES, NSPF
  1094    | VANADIUM AND URANIUM ORES
  1099    | METALLIC ORES, NSPF
