Shipper,Consignee,Port of Lading,Port of Unlading
Ancora Siderurgica Norte Ltda,Gulf Inland Marine Services Inc.,"Itaqui, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Avg Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Avg Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Avg Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Brown Brothers Harriman And Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Tms International Llc,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Avg Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Carajas Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Itaqui, Brazil","Port of New Orleans, New Orleans, Louisiana"
Cbf Industria De Gusa Sa,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Citygusa Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Citygusa Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Citygusa Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Citygusa Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Citygusa Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Citygusa Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
