Consignee,Shipper,Port of Unlading,Port of Lading,Weight (t),HS Code
Zhejiang Welbon Pulp And Paper Grou,Mercer Celgar Ltd. Partnership,"Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",1050.56,Classified: 4703.21
Zhejiang Welbon Pulp And Paper,Mercer Celgar Ltd. Partnership,"Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",1050.56,Classified: 4703.21
Zhejiang Provincial Light And,Mercer Celgar Ltd. Partnership,"Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",525.28,Classified: 4703.21
"Zhejiang East Paper Co., Ltd.",Kruger Kamloops Pulp L.P.,"Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",511.08,Parsed: 4703.21
"Zhejiang East Paper Co., Ltd.",Kruger Kamloops Pulp L.P.,"Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",244.59,Parsed: 4703.21
"Zhejiang East Paper Co., Ltd.",Kruger Kamloops Pulp L.P.,"Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",511.08,Parsed: 4703.21
West Fraser Mills Ltd.,"West Fraser Timber Co., Ltd.","Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",542.87,Classified: 4703.21
West Fraser Mills Ltd.,"West Fraser Timber Co., Ltd.","Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",325.9,Classified: 4703.21
West Fraser Mills Ltd.,"West Fraser Timber Co., Ltd.","Port of Seattle, Seattle, Washington","All Other Canada Pacific Region Ports, Canada",325.58,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","All Other Uruguay Ports, Uruguay",2989.66,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Port Arthur, Texas","All Other Uruguay Ports, Uruguay",727.61,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",15626.87,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",7008.3,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",13516.15,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",3504.57,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",9010.29,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Port Arthur, Texas","Nueva Palmira, Uruguay",499.64,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",2003.67,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",6508.24,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",10014.9,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",12015.41,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",10315.83,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",13976.7,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",8008.9,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",14468.12,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Port Arthur, Texas","Nueva Palmira, Uruguay",1.98,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",8010.47,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",14464.15,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Alabama State Port Authority, Mobile, Alabama","Nueva Palmira, Uruguay",10513.14,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Baltimore, Maryland","Nueva Palmira, Uruguay",9661.93,Classified: 4703.21
Upm Pulp Inc.,Upm Pulp Sales Oy,"Port Arthur, Texas","Nueva Palmira, Uruguay",4403.3,Classified: 4703.21
