Code,Description
0111,| WHEAT
0112,| RICE
0115,| CORN
0116,| SOYBEANS
0119,"| CASH GRAINS, NSPF"
0131,| COTTON AND COTTONSEED
0132,| TOBACCO
0133,| SUGAR CROPS
0134,"| POTATOES, WHITE OR IRISH"
0139,"| FIELD CROPS, EXCEPT CASH GRAINS, NSPF"
0161,| VEGETABLES AND MELONS
0171,| BERRY CROPS
0172,| GRAPES
0173,| TREE NUTS
0174,| CITRUS FRUITS
0175,| DECIDUOUS TREE FRUITS
0179,"| FRUITS AND TREE NUTS, NSPF"
0181,| ORNAMENTAL FLORICULTURE AND NURSERY PRODUCTS
0182,| MUSHROOMS
0211,| BEEF CATTLE AND BULL SEMEN
0213,| HOGS
0214,| SHEEP AND GOATS
0241,"| DAIRY CATTLE FOR BREEDING, LIVE"
0259,"| POULTRY AND EGGS, NSPF"
0271,"| FURSKINS, RAW OR UNDRESSED AND FUR-BEARING ANIMALS"
0272,"| HORSES, ASSES, MULES, AND BURROS"
0273,| ANIMAL AQUACULTURE
0279,"| FURSKINS, WHOLE, UNDRESSED; AND LIVE ANIMALS, NSPF"
0811,"| FOLIAGE, BRANCHES, ETC, FOR BOUQUETS OR ORNAMENTAL PURPOSES (INCLUDING CHRISTMAS TREES)"
0831,"| FORESTRY PRODUCTS, NSPF"
0912,| FINFISH
0913,| SHELLFISH
0919,"| MISCELLANEOUS MARINE PRODUCTS, NSPF"
1011,| IRON ORES
1021,| COPPER ORES
1031,| LEAD AND ZINC ORES
1041,| GOLD ORES
1044,| SILVER ORES
1061,"| FERROALLOY ORES, EXCEPT VANADIUM"
1094,| VANADIUM AND URANIUM ORES
1099,"| METALLIC ORES, NSPF"
1221,| BITUMINOUS COAL AND LIGNITE
1231,| ANTHRACITE COAL
1311,| CRUDE PETROLEUM AND NATURAL GAS
1321,| NATURAL GAS LIQUIDS
1411,| DIMENSION STONE
1429,"| CRUSHED AND BROKEN STONE, NSPF"
1446,"| SAND, INDUSTRIAL"
1455,"| KAOLIN CLAY INCLUDING CALCINED, AND BALL CLAY"
1459,"| CLAY, CERAMIC, AND REFRACTORY MINERALS, NSPF"
1474,"| SODIUM NITRATE, POTASSIUM CHLORIDE OR MURIATE OF POTASH; AND POTASSIUM SULPHATE"
1475,"| PHOSPHATES, CRUDE, AND APATITE"
1479,| CHEMICALS AND FERTILIZER MINERALS
1499,"| NONMETALLIC MINERALS, NSPF"
2011,"| MEAT PRODUCTS AND MEAT PACKING PRODUCTS, EXCEPT POULTRY AND SMALL GAME ANIMALS"
2015,"| POULTRY, NSPF, AND EGGS, PREPARED OR PRESERVED"
2021,| CREAMERY BUTTER
2022,"| CHEESE, NATURAL AND PROCESSED"
2023,"| MILK AND CREAM, CONDENSED, EVAPORATED, AND DRY"
2024,| ICE CREAM
2026,"| FLUID MILK AND CREAM, AND RELATED PRODUCTS"
2032,| CANNED SPECIALTIES
2033,"| CANNED FRUITS, VEGETABLES, PRESERVES, JAMS, AND JELLIES"
2034,"| FOOD PRODUCTS, DRIED AND DEHYDRATED"
2035,"| PICKLED FRUITS AND VEGETABLES, VEGETABLE SAUCES AND SEASONINGS, AND SALAD DRESSINGS"
2037,"| FROZEN FRUITS, FRUIT JUICES, AND VEGETABLES"
