Shipper,Consignee,Port of Lading,Port of Unlading,HS Code,Count,tons
Seah Coated Metal Corp.,Pusan Pipe America Inc.,"Busan, South Korea","Tampa, Florida",Classified: 7210.61,2,311.66
,Summit Global Trading,"Kaohsiung, Taiwan","Tampa, Florida",Classified: 7210.70,3,735.71
,Optima Steel International Llc,"Kaohsiung, Taiwan","Tampa, Florida",Classified: 7210.70,14,567.3
"Yieh Phui Enterprise Co., Ltd.",Mizuho Bank Ltd.,"Kaohsiung, Taiwan","Port of Vancouver USA, Vancouver, Washington",Classified: 7210.70,4,218.23
,Central Steel And Wire Co.,"Algoma, Ont, Canada","Illinois International Port District, Chicago, Illinois",Classified: 7219.33,17,8286.98
Hyundai Steel Co.,Hyundai Steel Co.,"All Other South Korea Ports, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7219.90,10,7146.88
Hyundai Steel Co.,Hyundai Steel Co.,"All Other South Korea Ports, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7210.49,11,20570.02
Hyundai Steel Co.,Hyundai Steel America Inc.,"All Other South Korea Ports, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7308.90,2,81.69
Hyundai Steel Co.,Hyundai Steel Co.,"Kwangyang, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7210.49,8,13681.82
Hyundai Steel Co.,Hyundai Steel Co.,"Kwangyang, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7219.90,4,2510.05
,Bmo Bank N.A.,"Kuantan, Malaysia","Houston, Houston, Texas",Classified: 7210.49,2,2442.83
,,"Osaka, Japan","Houston, Houston, Texas",Classified: 7210.70,31,1759.76
Jfe Shoji Trade Corp.,Jfe Shoji Trade America Inc.,"Osaka, Japan","Houston, Houston, Texas",Classified: 7210.70,47,6261.95
Sumitomo Corporation,Summit Global Trading,"Osaka, Japan","Houston, Houston, Texas",Classified: 7210.70,3,609.96
Hyundai Steel Co.,Hyundai Glovis Mexico S De Rl De Cv,"All Other South Korea Ports, South Korea","Tampa, Florida",Classified: 7209.17,2,1018.18
Hyundai Steel Co.,Hyundai Glovis Mexico S De Rl De Cv,"All Other South Korea Ports, South Korea","Tampa, Florida",Classified: 7210.49,3,5763.55
"Yieh Phui Enterprise Co., Ltd.",Mizuho Bank Ltd.,"Kaohsiung, Taiwan","The Port of Los Angeles, Los Angeles, California",Classified: 7210.70,10,762.53
,Summit Global Trading,"Kaohsiung, Taiwan","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",Classified: 7210.70,1,96.1
"Mitsui & Co., Ltd.",Symbol Technologies Inc. Mos,"Osaka, Japan","Port of New Orleans, New Orleans, Louisiana",Classified: 7210.70,51,3840.41
"Hanwa Co., Ltd.",San Diego Vista Steel Service Corp.,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,10,1206.91
,Jfe Shoji Steel De Mexico,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,14,2588.67
,,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,60,9178.98
Sumitomo Corporation,Summit Global Trading,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,1,41.18
Sumitomo Corporation,Accuride International Sa De Cv,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,9,1010.2
Marubeni Itochu Steel Inc.,Mi Metal Processing Mexicana Sa De,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,2,258.78
Metal One Corp.,Aa Alfredo Valdez Gomez,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,2,87.67
Metal One Corp.,Gonvauto Puebla Sa De Cv,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,1,45.15
,Toyota Tsusho De Mexico,"Osaka, Japan","Port of Long Beach, Long Beach, California",Classified: 7210.70,1,61.43
Sumitomo Corporation,Summit Global Trading,"Osaka, Japan","Wilmington, Wilmington, North Carolina",Classified: 7210.70,32,2862.79
Marubeni Itochu Steel Inc.,Marubeni Itochu Steel America Inc.,"Osaka, Japan","Wilmington, Wilmington, North Carolina",Classified: 7210.70,29,1703.12
Hyundai Steel Co.,Hyundai Steel Georgia,"Pyongtaek, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7209.18,1,33.77
Hyundai Steel Co.,Hyundai Steel Georgia,"Pyongtaek, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7210.70,2,430.8
Hyundai Steel Co.,Hyundai Steel America Inc.,"Pyongtaek, South Korea","Alabama State Port Authority, Mobile, Alabama",Classified: 7210.70,2,4745.37
