Waterway_code,Waterway_Name
1,"ST. CROIX RIVER, ME"
2,"LUBEC CHANNEL, ME"
3,"CUTLER HARBOR, ME"
4,"MACHIAS RIVER, ME"
5,"PLEASANT RIVER, ME"
6,"NARRAGUAGUS RIVER, ME"
7,"SULLIVAN RIVER, ME"
8,"UNION RIVER, ME"
9,"DEER ISLAND THOROUGHFARE, ME"
10,"ISLE AU HAUT THOROUGHFARE, ME"
11,"BAGADUCE RIVER, ME"
12,"PENOBSCOT RIVER, ME"
13,"GEORGES RIVER, ME"
14,"MEDOMAK RIVER, ME"
15,"DAMARISCOTTA RIVER, ME"
16,"KENNEBEC RIVER, ME"
17,"SASANOA RIVER, ME"
18,"CATHANCE RIVER, ME"
19,"HARRASEEKET RIVER, ME"
20,"ROYAL RIVER, ME"
21,"PRESUMPSCOT RIVER, ME"
22,"FORE RIVER, ME (INCLUDED IN STATISTICS FOR PORTLAND HARBOR, ME)"
23,"SCARBORO RIVER, ME"
24,"SACO RIVER, ME"
25,"KENNEBUNK RIVER, ME"
26,"JOSIAS RIVER, ME"
27,"YORK HARBOR, ME"
28,"PISCATAQUA RIVER, ME AND NEW HAMPSHIRE"
29,"COCHECO RIVER, NH"
30,"BELLAMY RIVER, NH"
31,"LAMPREY RIVER, NH"
32,"EXETER RIVER, NH"
33,"MERRIMACK RIVER, MA"
34,"IPSWICH RIVER, MA"
35,"ESSEX RIVER, MA"
36,"ANNISQUAM RIVER, MA"
37,"PORTER RIVER, MA"
38,"DANVERS RIVER, MA"
39,"SOUTH RIVER, MA"
40,"SAUGUS RIVER, MA"
41,"HERRING RIVER, MA"
42,"CROSS RIP SHOALS, NANTUCKET SOUND, MA"
43,"CANAPITSIT CHANNEL, MA"
44,"MENEMSHA CREEK, MARTHA'S VINEYARD, MA"
45,"ACUSHNET RIVER, MA"
46,"WESTPORT RIVER, MA"
47,"TAUNTON RIVER, MA"
48,"MT. HOPE BAY, RI AND MA"
49,"SEEKONK RIVER, RI"
50,"WARREN RIVER, RI"
51,"POTOWOMUT RIVER, RI"
52,"PAWCATUCK RIVER, RI AND CT"
53,"MYSTIC RIVER, CT"
54,"THAMES RIVER, CT"
55,"CONNECTICUT RIVER ABOVE HARTFORD, CT"
56,"CONNECTICUT RIVER BELOW HARTFORD, CT"
57,"WETHERSFIELD COVE, CT (INCLUDED IN STATISTICS FOR CONNECTICUT RIVER BELOW HARTFORD, CT)"
58,"PATCHOGUE RIVER, CT"
59,"QUINNIPIAC RIVER, CT"
60,"WEST RIVER, CT"
61,"MILL RIVER, CT"
62,"WEPAWAUG RIVER, CT"
63,"HOUSATONIC RIVER, CT"
64,"YELLOW MILL CHANNEL, CT"
65,"POQUONNOCK RIVER, CT"
66,"JOHNSON RIVER, CT"
67,"EAST BRANCH, CT"
68,"WEST BRANCH, CT"
69,"CEDAR CREEK, CT"
70,"BLACK ROCK HARBOR, CT"
71,"BRIDGEPORT, CT MAIN HARBOR"
72,"MOOSABEC BAR, ME"
73,PORT OF HUNTINGTON
74,"SHEEPSCOT RIVER, ME"
75,BLACK ROCK HARBOR SPINE ACCESS
80,"PAWTUXET COVE, RI"
81,"WARWICK COVE, WARWICK, RI"
82,"GREENWICH BAY, RI"
83,"NIANTIC BAY AND HARBOR, CT"
84,"EIGHTMILE RIVER, HAMBURG COVE, CT"
85,"STONY CREEK, CT"
86,"FARM RIVER, CT"
100,"COBSCOOK BAY, ME"
101,"EASTPORT HARBOR, ME"
102,"BEALS HARBOR, ME"
103,"COREA HARBOR, ME"
104,"SULLIVAN FALLS HARBOR, ME"
105,"BAR HARBOR, ME"
106,"NORTHEAST HARBOR, ME"
107,"SOUTHWEST HARBOR, ME"
108,"BASS HARBOR, ME"
109,"STONINGTON HARBOR, ME"
110,"BUCKSPORT HARBOR, ME (INCLUDED IN PENOBSCOT RIVER, ME)"
