Shipper,Consignee,Port of Unlading,Port of Lading
Zf Wind Power Coimbatore Ltd.,Ge Vernova International Llc,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Vernova Operations Llc,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge International Inc.,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Renewables North America,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Vestas Nacelles America Inc.,"Freeport, Freeport, Texas","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Vernova International Inc.,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Zf Services Llc,"Baltimore, Maryland","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Siemens Gamesa Renewable Energy Eol,"Houston, Houston, Texas","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Renewables North America,"Baltimore, Maryland","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Vestas Nacelles America Inc.,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Vestas Nacelles America Inc.,"Houston, Houston, Texas","All Other India East Coast Ports, India"
,Revolution Wind Llc,"ProvPort, Providence, Rhode Island","Dordrecht, Netherlands"
,Revolution Wind Llc,"New York/Newark Area, Newark, New Jersey","Liverpool, United Kingdom"
,Windarmex Sa De Cv,"Houston, Houston, Texas","Zhanjiang, China"
,Windarmex Sa De Cv,"Houston, Houston, Texas","Taicang, China"
,Revolution Wind Llc,"ProvPort, Providence, Rhode Island","Aigion, Greece"
,Vestas American Wind,"The Port of Brownsville, Brownsville, Texas","Pohang, South Korea"
,Vestas American Wind,"Baltimore, Maryland","Pohang, South Korea"
,Vestas American Wind,"Buffalo?Niagara Falls, New York","Pohang, South Korea"
,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Pohang, South Korea"
"Vsp Enterprises Pvt., Ltd.",Wind Turbine And Energy Cables Corp.,"Port Manatee, Florida","Mumbai, India"
"Vsp Enterprises Pvt., Ltd.",Wind Turbine And Energy Cables Corp.,"Houston, Houston, Texas","All Other India West Coast Ports, India"
Vineyard Wind 1 Llc,Vineyard Wind 1 Llc,"Plymouth, Massachusetts","All Other Canada Atlantic Region Ports, Canada"
Vestas Wind Technology India,Vestas American Wind,"Buffalo?Niagara Falls, New York","All Other India East Coast Ports, India"
Vestas Wind Technology India,Vestas American Wind,"Houston, Houston, Texas","All Other India East Coast Ports, India"
