Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
1,Dry Bulk,Minerals & Ores,Zircon,Zircon,10,NONE,\bZIRCON\b,,Zircon sand
2,Break Bulk,Metals,Zinc,Zinc,2,NONE,ZINC\s*INGOTS?|ZINC\s*CONCENTRATE,,Zinc products - ingots/concentrate
3,Liquid Bulk,Chemicals,Chemicals,Xylene,10,NONE,\bXYLENE\b|\bOXYLENE\b,,Xylene/oxylene
4,Dry Bulk,Agricultural,Biomass,Wood Pellets,10,NONE,WOOD\s*PELLETS?|WOODPELLETS?,,Wood pellets for biomass fuel
5,Dry Bulk,Agricultural,Biomass,Wood Chips,10,NONE,WOOD\s*CHIPS?|WOODCHIPS?,,Wood chips for biomass fuel
6,Break Bulk,General Cargo,Project,Wind,2,NONE,\bWIND\b|NACELLES?|TOWER\s*SECTIONS?|BLADES?|\bwindmill\b,,Wind turbine components - nacelles/tower sections/blades
7,Dry Bulk,Agricultural,Grain,Wheat,10,NONE,\bWHEAT\b,,Wheat
8,Liquid Bulk,Agricultural,Vegetable Oils,Vegetable Oils,10,NONE,VEGETABLE\s*OILS?|CORN\s*OIL|SOY\s*OIL|SOYBEAN\s*OIL|\bCOCONUT\b|\bOLIVE\b|\bLINSEED\b|FATTY\s*ACIDS?|STEARIC\s*ACID|\bSTEARATE\b|PALMITIC\s*ACID|\bPALMITATE\b|OLEIC\s*ACID|\bOLEATE\b|LAURIC\s*ACID|\bLAURATE\b|\bPALM\b|\bRBD\b|\bSTEARIN\b|\bOLEIN\b|\bCPO\b|\bsunflower\s+oil\b,,Vegetable oils + fatty acids from palm/vegetable oil processing
9,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Urea,10,NONE,\bUREA\b|\bkali\b|\bnitrates\b|\bnitrate\b,SOLUTION,Urea - exclude solutions (see liquid fertilizers)
10,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,\bPIPES?\b|\bTUBES?\b|\bTUBING\b|\bSEAMLESS\b|\bERW\b|\bLSAW\b|\bOCTG\b|\bCASING\b|\bCOUPLING\b|PUP\s*JOINTS?|\bLINEPIPE\b|\bmpg\s+mother\b,,Tubular steel products - pipe/tube/casing
11,Liquid Bulk,Chemicals,Chemicals,Toluene,10,NONE,\bTOLUENE\b,,Toluene aromatic hydrocarbon
12,Dry Bulk,Non-Ferrous Raw Materials,TiO2,TiO2,10,NONE,\bTIO2\b|TITANIUM\s*SLAG|TITANIUM\s*CHLORIDE|\bRUTILE\b|\bILMENITE\b,,Titanium ores and products
13,Break Bulk,Forestry,Pulp & Paper,Timber,2,NONE,\bTIMBER\b|PLANED\s*TIMBER,,Timber products
14,Dry Bulk,Minerals & Ores,Talc,Talc,10,NONE,\bTALC\b,,Talc mineral
15,Liquid Bulk,Chemicals,Sulphuric Acid,Sulphuric Acid,10,NONE,\bSULPHURIC\b|\bSULFURIC\b|SULPH?URIC\s*ACID,,Sulphuric/Sulfuric acid
16,Dry Bulk,Fertilizer,Sulphur,Sulphur,10,NONE,\bSULF?UR\b|PRILLED\s*SULF?UR,,Elemental sulphur/sulfur - prilled variants
17,Liquid Bulk,Agricultural,Sugars,Sugars,10,NONE,\bMOLASSES\b|ORANGE\s*JUICE,,Molasses and juice products
18,Dry Bulk,Agricultural,Sugar,Sugar,10,NONE,\bSUGAR\b|\bAZUCAR\b,,Sugar - English and Spanish
19,Dry Bulk,Agricultural,Grain,Soybeans,10,NONE,\bSOYBEANS?\b|SOY\s*BEANS?|\bSBM\b|SOYBEAN\s*MEAL|SOY\s*MEAL,,Soybeans and soybean meal
20,Dry Bulk,Agricultural,Grain,Sorghum,10,NONE,\bSORGHUM\b,,Sorghum
21,Break Bulk,General Cargo,Project,Solar,2,NONE,\bSOLAR\b|TRACKER\s*BEAMS?|TRACKER\s*POSTS?,,Solar equipment - tracker beams/posts
22,Dry Bulk,Minerals & Ores,,sodium silicate,10,NONE,,,
23,Dry Bulk,Minerals & Ores,SCM,Slag,10,NONE,\bSLAG\b|BLAST\s*FURNACE\s*SLAG|GRANULATED\s*SLAG|BF\s*SLAG|\bGBFS\b|\biron\s+silicate\b,,Blast furnace slag and granulated slag
24,Break Bulk,Steel,Slabs & Billets,Slabs,2,NONE,STEEL\s*SLABS?|CONTINU[OI]US\s*CASTING\s*SLABS?,,Unfinished steel slabs
25,Dry Bulk,Minerals & Ores,,silicon carbide,10,NONE,,,
26,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,10,NONE,STEEL\s*SCRAP|\bBUSHELING\b|HEAVY\s*MELTING|STAINLESS\s*SCRAP|SCRAP\s*STEEL|SCRAP\s*METAL,,Steel and metal scrap
27,Dry Bulk,Minerals & Ores,Salt,Salt,10,NONE,\bSALT\b,,Salt
28,Break Bulk,Agricultural,Rubber,Rubber,2,NONE,\bRUBBER\b|RUBBER\s*PRODUCTS|NATURAL\s*RUBBER,,Rubber products
29,Liquid Bulk,Chemicals,,rmk,10,NONE,,,
30,Dry Bulk,Agricultural,Grain,Rice,10,NONE,\bRICE\b,,Rice
31,Liquid Bulk,Chemicals,,rhodimet,10,NONE,,,
32,Break Bulk,Forestry,Pulp & Paper,Pulp,2,NONE,\bPULP\b|WOOD\s*PULP|\bSUZANO\b|\bSCA\b|\bUPM\b|\bECF\b|\bckb\b|\bcrownboard\b,,Pulp products
33,Liquid Bulk,Chemicals,Chemicals,Propylene Glycol,10,NONE,PROPYLENE\s*GLYCOL,,Propylene glycol
34,Liquid Bulk,Chemicals,,prayfos,10,NONE,,,
35,Dry Bulk,Construction Materials,Pozzolan,Pozzolan,10,NONE,\bPOZZOLAN\b,,Pozzolan
36,Dry Bulk,Fertilizer,Potassium Fertilizers,Potash,10,NONE,\bPOTASH\b,,Potash
37,Liquid Bulk,Chemicals,Chemicals,Polypropylene,10,NONE,\bPOLYPROPYLENE\b,,Polypropylene resins
38,Liquid Bulk,Chemicals,Chemicals,Polyethylene,10,NONE,\bPOLYETHYLENE\b,,Polyethylene resins
39,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,10,NONE,PIG\s*IRON|PIGIRON,,Raw iron for steelmaking
40,Dry Bulk,Fertilizer,Phosphorus Fertilizers,PhosRock,10,NONE,PHOS\s*ROCK|PHOSROCK|PHOSPHATE\s*ROCK,,Phosphate rock
41,Dry Bulk,Fertilizer,Phosphorus Fertilizers,Phosphates,10,NONE,\bGTSB\b|\bMAP\b|\bDAP\b|DIAMMONIUM\s*PHOSPHATE|DI\s*-?\s*AMMONIUM\s*PHOSPHATE|MONOAMMONIUM\s*PHOSPHATE|MONO\s*-?\s*AMMONIUM\s*PHOSPHATE,,Phosphate fertilizers - MAP/DAP/diammonium/monoammonium
42,Dry Bulk,Carbon Products,Petcoke,Petcoke,10,NONE,GREEN\s*DELAYED|PETROLEUM\s*COKE|PETR\s*COKE|CALCINED\s*PETCOKE|CALCINED\s*PETROLEUM\s*COKE|\bCOKE\b,,Petroleum coke products
43,Dry Bulk,Minerals & Ores,Industrial Minerals,Perlite,10,NONE,\bPERLITE\b|EXPANDED\s*PERLITE,,Perlite mineral aggregate
44,Liquid Bulk,Chemicals,,parrafin,10,NONE,,,
45,Liquid Bulk,Chemicals,Paraxylene,Paraxylene,10,NONE,\bPARAXYLENE\b|\bPX\b|PARA\s*XYLENE,,Paraxylene - petroleum chemical
46,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,\bPAPER\b|PAPER\s*REELS?|\bNEWSPRINT\b|\bKLB\b|\bOSB\b|\bPAPERBOARD\b|PAPER\s*BOARD|\bKRAFT\b|LINER\s*BOARD|\bperforma\b|\bcupforma\b|\benscoat\b|\bmurata\b,,Paper products
47,Liquid Bulk,Chemicals,Chemicals,Organic Acids,10,NONE,ISONONANOIC\s*ACID|2-ETHYLHEXANOIC\s*ACID|ETHYLHEXANOIC,,"Specific organic acids (isononanoic, 2-ethylhexanoic)"
48,Dry Bulk,Agricultural,Grain,Oats,10,NONE,\bOATS\b,,Oats
49,Dry Bulk,Carbon Products,Carbon Products,Misc Bulk,10,NONE,\bCarbon\s+Additive\b|\bGraphite\b|\bSintermag\b,,
50,Liquid Bulk,Chemicals,Chemicals,MIBK,10,NONE,\bMIBK\b|METHYL\s*ISOBUTYL\s*KETONE,,Methyl isobutyl ketone
51,Liquid Bulk,Chemicals,Chemicals,MIBC,10,NONE,METHYL\s*ISOBUTYL\s*CARBINOL|\bMIBC\b,,Methyl isobutyl carbinol (froth flotation reagent)
52,Liquid Bulk,Chemicals,Methylcyclohexane,Methylcyclohexane,10,NONE,\bMETHYLCYCLOHEXANE\b|METHYL\s*CYCLOHEXANE|\bSOLANE\b,,Methylcyclohexane - petroleum chemical
53,Liquid Bulk,Chemicals,Chemicals,Methanol,10,NONE,\bMETHANOL\b,,Methanol
54,Liquid Bulk,Chemicals,Chemicals,MEK,10,NONE,\bMEK\b|METHYL\s*ETHYL\s*KETONE,,Methyl ethyl ketone
55,Dry Bulk,Non-Ferrous Raw Materials,Manganese,Manganese Products,10,NONE,\bMANGANESE\b|SILICOMANGANESE,,Manganese products
56,Dry Bulk,Minerals & Ores,,magnesium oxide,10,NONE,,,
57,Dry Bulk,Minerals & Ores,,magnesite,10,NONE,,,
58,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,\bLUMBER\b|\bSPRUCE\b|\bBIRCH\b|\bWHITEWOOD\b|WHITE\s*WOOD|\bPLYWOOD\b|PLY\s*WOOD|\bVENEER\b|MEDIUM\s*DENSITY\s*FI[BU]RE\s*BOARD|\bMDF\b|FI[BU]RE\s*BOARD|\beucalyptus\b|\bprimary\s+wood\b|\bredwood\b,,Lumber and wood products
59,Liquid Bulk,Petroleum,Refined Products,Lubricating Oils,10,NONE,BASE\s*OIL|\bYUBASE\b|\bDEASAN\b|LUBRICAT(E|ING)\s*OIL|\bLUBE\b|BRIGHT\s*STOCK|SLACK\s*WAX|\bSN\s*\d+\b|SLACKWAX|\bbapbase\b|\bsaraline\b,,"Lubricating oils including base oils, YUBASE, DEASAN"
