Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
1,Dry Bulk,Minerals & Ores,Zircon,Zircon,10,NONE,\bZIRCON\b,,Zircon sand
2,Dry Bulk,Minerals & Ores,,zinc sulphate,10,NONE,,,
3,Break Bulk,Metals,Zinc,Zinc,2,NONE,ZINC\s*INGOTS?|ZINC\s*CONCENTRATE,,Zinc products - ingots/concentrate
4,Liquid Bulk,Chemicals,Chemicals,Xylene,10,NONE,\bXYLENE\b|\bOXYLENE\b,,Xylene/oxylene
5,Dry Bulk,Agricultural,Biomass,Wood Pellets,10,NONE,WOOD\s*PELLETS?|WOODPELLETS?,,Wood pellets for biomass fuel
6,Dry Bulk,Agricultural,Biomass,Wood Chips,10,NONE,WOOD\s*CHIPS?|WOODCHIPS?,,Wood chips for biomass fuel
7,Break Bulk,General Cargo,Project,Wind,2,NONE,\bWIND\b|NACELLES?|TOWER\s*SECTIONS?|BLADES?|\bwindmill\b,,Wind turbine components - nacelles/tower sections/blades
8,Dry Bulk,Agricultural,Grain,Wheat,10,NONE,\bWHEAT\b,,Wheat
9,Liquid Bulk,Agricultural,Vegetable Oils,Vegetable Oils,10,NONE,VEGETABLE\s*OILS?|CORN\s*OIL|SOY\s*OIL|SOYBEAN\s*OIL|\bCOCONUT\b|\bOLIVE\b|\bLINSEED\b|FATTY\s*ACIDS?|STEARIC\s*ACID|\bSTEARATE\b|PALMITIC\s*ACID|\bPALMITATE\b|OLEIC\s*ACID|\bOLEATE\b|LAURIC\s*ACID|\bLAURATE\b|\bPALM\b|\bRBD\b|\bSTEARIN\b|\bOLEIN\b|\bCPO\b|\bsunflower\s+oil\b,,Vegetable oils + fatty acids from palm/vegetable oil processing
10,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Urea,10,NONE,\bUREA\b|\bkali\b|\bnitrates\b|\bnitrate\b,SOLUTION,Urea - exclude solutions (see liquid fertilizers)
11,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,\bPIPES?\b|\bTUBES?\b|\bTUBING\b|\bSEAMLESS\b|\bERW\b|\bLSAW\b|\bOCTG\b|\bCASING\b|\bCOUPLING\b|PUP\s*JOINTS?|\bLINEPIPE\b|\bmpg\s+mother\b,,Tubular steel products - pipe/tube/casing
12,Liquid Bulk,Chemicals,Chemicals,Toluene,10,NONE,\bTOLUENE\b,,Toluene aromatic hydrocarbon
13,Dry Bulk,Non-Ferrous Raw Materials,TiO2,TiO2,10,NONE,\bTIO2\b|TITANIUM\s*SLAG|TITANIUM\s*CHLORIDE|\bRUTILE\b|\bILMENITE\b,,Titanium ores and products
14,Break Bulk,Forestry,Pulp & Paper,Timber,2,NONE,\bTIMBER\b|PLANED\s*TIMBER,,Timber products
15,Dry Bulk,Minerals & Ores,Talc,Talc,10,NONE,\bTALC\b,,Talc mineral
