Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note,add
25,Dry Bulk,Minerals & Ores,Zircon,Zircon,10,NONE,\bZIRCON\b,,Zircon sand,
,Dry Bulk,Minerals & Ores,,zinc sulphate,10,NONE,,,,
6,Break Bulk,Metals,Zinc,Zinc,2,NONE,ZINC\s*INGOTS?|ZINC\s*CONCENTRATE,,Zinc products - ingots/concentrate,
68,Liquid Bulk,Chemicals,Chemicals,Xylene,10,NONE,\bXYLENE\b|\bOXYLENE\b,,Xylene/oxylene,
45,Dry Bulk,Agricultural,Biomass,Wood Pellets,10,NONE,WOOD\s*PELLETS?|WOODPELLETS?,,Wood pellets for biomass fuel,
46,Dry Bulk,Agricultural,Biomass,Wood Chips,10,NONE,WOOD\s*CHIPS?|WOODCHIPS?,,Wood chips for biomass fuel,
59,Break Bulk,General Cargo,Project,Wind,2,NONE,\bWIND\b|NACELLES?|TOWER\s*SECTIONS?|BLADES?,,Wind turbine components - nacelles/tower sections/blades,windmill
39,Dry Bulk,Agricultural,Grain,Wheat,10,NONE,\bWHEAT\b,,Wheat,
63,Break Bulk,General Cargo,Project,Vehicles,2,NONE,\bTRUCKS?\b|AUTOMOBILES?|\bAUTOS?\b|\bCARS?\b,,Vehicles - trucks/automobiles/cars,
34,Liquid Bulk,Agricultural,Vegetable Oils,Vegetable Oils,10,NONE,VEGETABLE\s*OILS?|CORN\s*OIL|SOY\s*OIL|SOYBEAN\s*OIL|\bCOCONUT\b|\bOLIVE\b|\bLINSEED\b|FATTY\s*ACIDS?|STEARIC\s*ACID|\bSTEARATE\b|PALMITIC\s*ACID|\bPALMITATE\b|OLEIC\s*ACID|\bOLEATE\b|LAURIC\s*ACID|\bLAURATE\b|\bPALM\b|\bRBD\b|\bSTEARIN\b|\bOLEIN\b|\bCPO\b,,Vegetable oils + fatty acids from palm/vegetable oil processing,sunflower oil
51,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Urea,10,NONE,\bUREA\b,SOLUTION,Urea - exclude solutions (see liquid fertilizers),"kali, nitrates, nitrate"
1,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,\bPIPES?\b|\bTUBES?\b|\bTUBING\b|\bSEAMLESS\b|\bERW\b|\bLSAW\b|\bOCTG\b|\bCASING\b|\bCOUPLING\b|PUP\s*JOINTS?|\bLINEPIPE\b,,Tubular steel products - pipe/tube/casing,mpg mother
85,Liquid Bulk,Chemicals,Chemicals,Toluene,10,NONE,\bTOLUENE\b,,Toluene aromatic hydrocarbon,
18,Dry Bulk,Non-Ferrous Raw Materials,TiO2,TiO2,10,NONE,\bTIO2\b|TITANIUM\s*SLAG|TITANIUM\s*CHLORIDE|\bRUTILE\b|\bILMENITE\b,,Titanium ores and products,
14,Break Bulk,Forestry,Pulp & Paper,Timber,2,NONE,\bTIMBER\b|PLANED\s*TIMBER,,Timber products,
20,Dry Bulk,Minerals & Ores,Talc,Talc,10,NONE,\bTALC\b,,Talc mineral,
96,Liquid Bulk,Chemicals,Sulphuric Acid,Sulphuric Acid,10,NONE,\bSULPHURIC\b|\bSULFURIC\b|SULPH?URIC\s*ACID,,Sulphuric/Sulfuric acid,
56,Dry Bulk,Fertilizer,Sulphur,Sulphur,10,NONE,\bSULF?UR\b|PRILLED\s*SULF?UR,,Elemental sulphur/sulfur - prilled variants,
36,Liquid Bulk,Agricultural,Sugars,Sugars,10,NONE,\bMOLASSES\b|ORANGE\s*JUICE,,Molasses and juice products,
44,Dry Bulk,Agricultural,Sugar,Sugar,10,NONE,\bSUGAR\b|\bAZUCAR\b,,Sugar - English and Spanish,
37,Dry Bulk,Agricultural,Grain,Soybeans,10,NONE,\bSOYBEANS?\b|SOY\s*BEANS?|\bSBM\b|SOYBEAN\s*MEAL|SOY\s*MEAL,,Soybeans and soybean meal,
41,Dry Bulk,Agricultural,Grain,Sorghum,10,NONE,\bSORGHUM\b,,Sorghum,
61,Break Bulk,General Cargo,Project,Solar,2,NONE,\bSOLAR\b|TRACKER\s*BEAMS?|TRACKER\s*POSTS?,,Solar equipment - tracker beams/posts,
,Dry Bulk,Minerals & Ores,,sodium silicate,10,NONE,,,,
