Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
1,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,\bPIPES?\b|\bTUBES?\b|\bTUBING\b|\bSEAMLESS\b|\bERW\b|\bLSAW\b|\bOCTG\b|\bCASING\b|\bCOUPLING\b|PUP\s*JOINTS?|\bLINEPIPE\b,,Tubular steel products - pipe/tube/casing
2,Break Bulk,Steel,Finished Steel,Long Products,2,NONE,WIRE\s*RODS?|WIRE\s*ROD\s*COILS?|\bWRC\b|\bREBAR\b|\bDEFORMED\b|RE[II]NFORCED|STEEL\s*BARS?|STEEL\s*RODS?|H[\s-]*BEAMS?|WF[\s-]*BEAMS?|WIDE\s*FLANGE\s*BEAMS?|\bANGLES\b|\bCHANNELS\b,,Long steel products - beams/bars/rebar
3,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,STEEL\s*COILS?|STEEL\s*PLATES?|STEEL\s*SHEETS?|TIN\s*PLATES?|TINPLATES?|BLACK\s*PLATES?|BLACKPLATES?|AL\s*/\s*ZN|STEEL\s*PRODUCTS|HOT[\s-]*ROLLED|COLD[\s-]*ROLLED,,Flat rolled steel - coils/plates/sheets
4,Break Bulk,Metals,Aluminum,Aluminum,2,NONE,ALUMIN[IU]M\s*INGOTS?|ALUMIN[IU]M\s*BARS?|\bSOWS?\b|T[\s-]*BARS?|UNWROUGHT\s*ALUMIN[IU]M|ALUMIN[IU]M\s*SCRAP,,Aluminum products - ingots/bars/scrap
5,Break Bulk,Metals,Copper,Copper,2,NONE,\bCATHODES?\b|COPPER\s*SCRAP|COPPER\s*WIRES?|COPPER\s*BARS?|COPPER\s*PRODUCTS|COPPER\s*CONCENTRATE,,Copper products - cathodes/scrap/wire/bar/concentrate
6,Break Bulk,Metals,Zinc,Zinc,2,NONE,ZINC\s*INGOTS?|ZINC\s*CONCENTRATE,,Zinc products - ingots/concentrate
7,Break Bulk,Metals,Lead,Lead,2,NONE,LEAD\s*INGOTS?|LEAD\s*CONCENTRATE,,Lead products - ingots/concentrate
8,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,10,NONE,PIG\s*IRON|PIGIRON,,Raw iron for steelmaking
9,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,10,NONE,IRON\s*ORE|IRON\s*ORE\s*PELLETS?|\bTALCONITE\b|\bDRI\b|DIRECT\s*REDUCED\s*IRON|\bLKAB\b|IRON\s*CONCENTRATE,,Iron ore and pellets
10,Dry Bulk,Ferrous Raw Materials,Slabs,Slabs,10,NONE,STEEL\s*SLABS?|CONTINU[OI]US\s*CASTING\s*SLABS?,,Unfinished steel slabs
11,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,10,NONE,STEEL\s*SCRAP|\bBUSHELING\b|HEAVY\s*MELTING|STAINLESS\s*SCRAP|SCRAP\s*STEEL|SCRAP\s*METAL,,Steel and metal scrap
12,Dry Bulk,Construction Materials,Cement,Cement,10,NONE,\bCEMENT\b|\bCLINKER\b|\bPORTLAND\b|LOW\s*ALKALI,,Cement and clinker
13,Dry Bulk,Construction Materials,Gypsum,Gypsum,10,NONE,\bGYPSUM\b,,Gypsum
14,Dry Bulk,Construction Materials,Pozzolan,Pozzolan,10,NONE,\bPOZZOLAN\b,,Pozzolan
15,Dry Bulk,Construction Materials,Aggregates,Aggregates,10,NONE,LIME\s*STONE|\bSTONES?\b|\bGRAVEL\b|CONSTRUCTION\s*SAND|\bAGGREGATES?\b|\bLADOTD\b|\bFDOT\b|\bTXDOT\b|\bCOBBLES?\b,,Construction aggregates - state DOT specs
16,Dry Bulk,Non-Ferrous Raw Materials,Bauxite,Bauxite,10,NONE,\bBAUXITE\b,,Bauxite ore for aluminum
17,Dry Bulk,Non-Ferrous Raw Materials,Alumina,Alumina,10,NONE,\bALUMINA\b,,Processed bauxite
18,Dry Bulk,Non-Ferrous Raw Materials,TiO2,TiO2,10,NONE,\bTIO2\b|TITANIUM\s*SLAG|TITANIUM\s*CHLORIDE|\bRUTILE\b|\bILMENITE\b,,Titanium ores and products
19,Dry Bulk,Minerals & Ores,Barite,Barite,10,NONE,\bBARYTE\b|\bBARITE\b,,Barite/Baryte ore
20,Dry Bulk,Minerals & Ores,Talc,Talc,10,NONE,\bTALC\b,,Talc mineral
21,Dry Bulk,Minerals & Ores,Salt,Salt,10,NONE,\bSALT\b,,Salt
22,Dry Bulk,Minerals & Ores,Fluorspar,Fluorspar,10,NONE,\bFLUORSPAR\b,,Fluorspar ore
23,Dry Bulk,Minerals & Ores,Feldspar,Feldspar,10,NONE,\bFELDSPAR\b,,Feldspar mineral
24,Dry Bulk,Minerals & Ores,Garnet,Garnet,10,NONE,\bGARNET\b,,Garnet abrasive
25,Dry Bulk,Minerals & Ores,Zircon,Zircon,10,NONE,\bZIRCON\b,,Zircon sand
26,Dry Bulk,Carbon Products,Coal,Coal,10,NONE,\bCOAL\b|\bANTHRACITE\b|\bNUTCOKE\b|\bMETCOKE\b,,Coal and coke products
27,Dry Bulk,Carbon Products,Petcoke,Petcoke,10,NONE,GREEN\s*DELAYED|PETROLEUM\s*COKE|PETR\s*COKE|CALCINED\s*PETCOKE|CALCINED\s*PETROLEUM\s*COKE|\bCOKE\b,,Petroleum coke products
28,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,\bPAPER\b|PAPER\s*REELS?|\bNEWSPRINT\b|\bKLB\b|\bOSB\b|\bPAPERBOARD\b|PAPER\s*BOARD|\bKRAFT\b|LINER\s*BOARD,,Paper products
29,Break Bulk,Forestry,Pulp & Paper,Pulp,2,NONE,\bPULP\b|WOOD\s*PULP|\bSUZANO\b|\bSCA\b|\bUPM\b|\bECF\b,,Pulp products
