Script Name,Type,Commodity,Group,Status,Notes
classify_steel.py,CONSOLIDATED,Steel & Metals,Break Bulk,✅ RAN,"Flat, Long, Tubular, Slabs, Pig Iron, Ferro, Scrap"
classify_nonferrous_metals.py,CONSOLIDATED,Steel & Metals,Break Bulk,✅ RAN,"Aluminum, Copper, Zinc, Lead, Nickel, Tin"
classify_forestry.py,CONSOLIDATED,Forestry,Break Bulk,✅ RAN,"Pulp, Paper, Lumber"
classify_construction_materials.py,CONSOLIDATED,Construction Materials,Dry Bulk,✅ RAN,"Aggregates, Cement, Gypsum"
classify_iron_ore.py,CONSOLIDATED,Ferrous Raw Materials,Dry Bulk,✅ RAN,Iron Ore
classify_nonferrous_raw_materials.py,CONSOLIDATED,NonFerrous Raw Materials,Dry Bulk,✅ RAN,"Bauxite, Alumina, TiO2"
classify_fertilizers_v1.0.0.py,VERSIONED,Fertilizers,Dry Bulk,EXISTS,"Urea, Phosphates, Potash - NEEDS CONSOLIDATION"
classify_fertilizers_v1.1.0.py,VERSIONED,Fertilizers,Dry Bulk,EXISTS,DUPLICATE - newer version
classify_grains_v1.0.0.py,VERSIONED,Grains,Dry Bulk,EXISTS,"Corn, Wheat, Soybeans - NEEDS CONSOLIDATION"
classify_minerals_ores_v1.0.0.py,VERSIONED,???,Dry Bulk,EXISTS,WHAT DOES THIS COVER?
classify_minerals_ores_v1.1.0.py,VERSIONED,???,Dry Bulk,EXISTS,DUPLICATE - newer version
classify_lpg_lng_v1.0.0.py,VERSIONED,Gas,Gas,EXISTS,NEEDS CONSOLIDATION
classify_crude_oil_v1.0.0.py,VERSIONED,Petroleum,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_clean_products_v1.0.0.py,VERSIONED,Petroleum,Liquid Bulk,EXISTS,Diesel/Gasoline - NEEDS CONSOLIDATION
classify_dirty_products_v1.0.0.py,VERSIONED,Petroleum,Liquid Bulk,EXISTS,Fuel Oil/Bunker - NEEDS CONSOLIDATION
classify_vlsfo_heating_oils_v1.0.0.py,VERSIONED,Petroleum,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_naphtha_reformate_v1.0.0.py,VERSIONED,Petroleum,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_additional_refined_products_v1.0.0.py,VERSIONED,Petroleum,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_chemicals_v1.0.0.py,VERSIONED,Chemicals,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_chemicals_v1.1.0.py,VERSIONED,Chemicals,Liquid Bulk,EXISTS,DUPLICATE - newer version
classify_ethylene_glycol_v1.0.0.py,VERSIONED,Chemicals,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_fatty_acids_v1.0.0.py,VERSIONED,Chemicals,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_mek_mibk_v1.0.0.py,VERSIONED,Chemicals,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_vegetable_oils_animal_fats_v1.0.0.py,VERSIONED,Ag Products,Liquid Bulk,EXISTS,NEEDS CONSOLIDATION
classify_carbon_products_v1.0.0.py,VERSIONED,???,Dry Bulk?,EXISTS,Coal? NEEDS REVIEW
classify_sugar_cocoa_coffee_v1.0.0.py,VERSIONED,Ag Products,Dry Bulk?,EXISTS,NEEDS CONSOLIDATION
classify_flat_rolled_steel_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_flat_rolled_steel_v1.1.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
