Sequence,Group,Commodity,Cargo Types,Script Name,Status,Records,Classification %,Notes
1,Break Bulk,Steel & Metals,Flat/Long/Tubular/Slabs/Pig Iron/Ferro/Scrap,classify_steel.py,✅ COMPLETE,56625,38.6% → 53.0%,Ran successfully
2,Break Bulk,Steel & Metals,Aluminum/Copper/Zinc/Lead/Nickel/Tin,classify_nonferrous_metals.py,✅ COMPLETE,4461,53.0% → 54.1%,Ran successfully
3,Break Bulk,Forestry,Pulp/Paper/Lumber,classify_forestry.py,✅ COMPLETE,22668,54.1% → 59.5%,Ran successfully
4,Dry Bulk,Construction Materials,Aggregates/Cement/Gypsum,classify_construction_materials.py,✅ COMPLETE,4502,59.5% → 60.6%,Ran successfully
5,Dry Bulk,Ferrous Raw Materials,Iron Ore,classify_iron_ore.py,✅ COMPLETE,228,60.6% → 60.6%,Ran successfully
6,Dry Bulk,NonFerrous Raw Materials,Bauxite/Alumina/TiO2,classify_nonferrous_raw_materials.py,✅ COMPLETE,528,60.6% → 60.7%,Ran successfully
7,Dry Bulk,Fertilizer,Urea/Phosphates/Potash/DAP/MAP,classify_fertilizers.py,❌ NEEDS CONSOLIDATION,,,"Exists as v1.0.0, v1.1.0 - needs no-version update"
8,Dry Bulk,Agricultural Products,Corn/Wheat/Soybeans/Barley/Rice/Sorghum,classify_grains.py,❌ NEEDS CONSOLIDATION,,,"Exists as v1.0.0 - needs no-version update"
9,Dry Bulk,Agricultural Products,Sugar/Cocoa/Coffee,classify_sugar_cocoa_coffee.py,❌ NEEDS CONSOLIDATION,,,"Exists as v1.0.0 - needs no-version update"
10,Dry Bulk,Solid Fuels,Coal/Petcoke,classify_coal.py,❌ NEEDS CONSOLIDATION,,,"Exists as carbon_products v1.0.0 - needs consolidation"
11,Dry Bulk,Minerals & Ores,Salt,classify_salt.py,❌ NEEDS CREATION,,,Simple keyword - in dictionary
12,Liquid Bulk,Petroleum,Crude Oil,classify_crude_oil.py,❌ NEEDS CONSOLIDATION,,,"Exists as v1.0.0 - needs no-version update"
13,Liquid Bulk,Petroleum,Diesel/Gasoline/Jet Fuel,classify_clean_products.py,❌ NEEDS CONSOLIDATION,,,"Exists as v1.0.0 - needs no-version update"
14,Liquid Bulk,Petroleum,Fuel Oil/Bunker/VLSFO,classify_dirty_products.py,❌ NEEDS CONSOLIDATION,,,"Multiple versioned scripts - needs consolidation"
15,Liquid Bulk,Petroleum,Naphtha/Reformate/VGO,classify_naphtha_reformate.py,❌ NEEDS CONSOLIDATION,,,"Multiple versioned scripts - needs consolidation"
16,Liquid Bulk,Chemicals,Methanol/Ethanol/Glycols,classify_chemicals.py,❌ NEEDS CONSOLIDATION,,,"Multiple versioned scripts - needs consolidation"
17,Liquid Bulk,Chemicals,MEK/MIBK/Fatty Acids,classify_chemicals.py,❌ NEEDS CONSOLIDATION,,,"Part of chemicals consolidation"
18,Liquid Bulk,Agricultural Products,Palm Oil/Soybean Oil/Tallow,classify_vegetable_oils.py,❌ NEEDS CONSOLIDATION,,,"Exists as v1.0.0 - needs no-version update"
19,Gas,LNG/LPG,LNG/Propane/Butane/Ammonia,classify_gas.py,❌ NEEDS CONSOLIDATION,,,"Exists as lpg_lng v1.0.0 - needs consolidation"
