Column_ID,Raw_Column_Name,Stage01_Preprocess,Stage02_Vessel_Enrich,Stage03_Classification,Final_Column_Name,Transformation_Type,Notes
1,Bill of Lading Number,Bill of Lading Number,Bill of Lading Number,Bill of Lading Number,Bill of Lading Number,KEPT,Unique shipment identifier
2,Bill of Lading Type,DROPPED,,,,[DROPPED at Stage01],Not needed for analysis
3,Master Bill of Lading Number,DROPPED,,,,[DROPPED at Stage01],Not needed for analysis
4,Arrival Date,Arrival Date,Arrival Date,Arrival Date,Arrival Date,KEPT,Formatted as dd-MMM-yy
5,Matching Fields,DROPPED,,,,[DROPPED at Stage01],Internal metadata
6,Consignee,Consignee,Consignee,Consignee,Consignee,KEPT,Buyer/receiver
7,Consignee Address,DROPPED,,,,[DROPPED at Stage01],Not needed
8,Consignee City,DROPPED,,,,[DROPPED at Stage01],Not needed
9,Consignee State/Region,DROPPED,,,,[DROPPED at Stage01],Not needed
10,Consignee Postal Code,DROPPED,,,,[DROPPED at Stage01],Not needed
11,Consignee Country,DROPPED,,,,[DROPPED at Stage01],Not needed
12,Consignee Full Address,DROPPED,,,,[DROPPED at Stage01],Not needed
13,Consignee Email 1,DROPPED,,,,[DROPPED at Stage01],Not needed
14,Consignee Email 2,DROPPED,,,,[DROPPED at Stage01],Not needed
15,Consignee Email 3,DROPPED,,,,[DROPPED at Stage01],Not needed
16,Consignee Phone 1,DROPPED,,,,[DROPPED at Stage01],Not needed
17,Consignee Phone 2,DROPPED,,,,[DROPPED at Stage01],Not needed
18,Consignee Phone 3,DROPPED,,,,[DROPPED at Stage01],Not needed
19,Consignee Fax,DROPPED,,,,[DROPPED at Stage01],Not needed
20,Consignee Website 1,DROPPED,,,,[DROPPED at Stage01],Not needed
21,Consignee Website 2,DROPPED,,,,[DROPPED at Stage01],Not needed
22,Consignee Profile,DROPPED,,,,[DROPPED at Stage01],Not needed
23,Consignee SPCIQ ID,DROPPED,,,,[DROPPED at Stage01],Not needed
24,Consignee MI Key,DROPPED,,,,[DROPPED at Stage01],Not needed
25,Consignee D-U-N-S®,DROPPED,,,,[DROPPED at Stage01],Not needed
26,Consignee Industry,DROPPED,,,,[DROPPED at Stage01],Not needed
27,Consignee Revenue,DROPPED,,,,[DROPPED at Stage01],Not needed
28,Consignee Employees,DROPPED,,,,[DROPPED at Stage01],Not needed
29,Consignee Market Capitalization,DROPPED,,,,[DROPPED at Stage01],Not needed
30,Consignee Incorporation Year,DROPPED,,,,[DROPPED at Stage01],Not needed
31,Consignee Trade Roles,DROPPED,,,,[DROPPED at Stage01],Not needed
32,Consignee SIC Codes,Consignee SIC Codes,Consignee SIC Codes,Consignee SIC Codes,Consignee SIC Codes,KEPT,Industry classification
33,Consignee Stock Tickers,DROPPED,,,,[DROPPED at Stage01],Not needed
34,Consignee (Original Format),Consignee (Original Format),Consignee (Original Format),Consignee (Original Format),Consignee (Original Format),KEPT,Original name format
35,Consignee Global HQ,DROPPED,,,,[DROPPED at Stage01],Not needed
36,Consignee Global HQ Address,DROPPED,,,,[DROPPED at Stage01],Not needed
37,Consignee Global HQ D-U-N-S®,DROPPED,,,,[DROPPED at Stage01],Not needed
38,Consignee Domestic HQ,DROPPED,,,,[DROPPED at Stage01],Not needed
39,Consignee Domestic HQ Address,DROPPED,,,,[DROPPED at Stage01],Not needed
40,Consignee Domestic HQ D-U-N-S®,DROPPED,,,,[DROPPED at Stage01],Not needed
41,Consignee Ultimate Parent,DROPPED,,,,[DROPPED at Stage01],Not needed
42,Consignee Ultimate Parent Website,DROPPED,,,,[DROPPED at Stage01],Not needed
43,Consignee Ultimate Parent Headquarters Address,DROPPED,,,,[DROPPED at Stage01],Not needed
44,Consignee Ultimate Parent Profile,DROPPED,,,,[DROPPED at Stage01],Not needed
45,Consignee Ultimate Parent SPCIQ ID,DROPPED,,,,[DROPPED at Stage01],Not needed
46,Consignee Ultimate Parent MI Key,DROPPED,,,,[DROPPED at Stage01],Not needed
47,Consignee Ultimate Parent Stock Tickers,DROPPED,,,,[DROPPED at Stage01],Not needed
48,Shipper,Shipper,Shipper,Shipper,Shipper,KEPT,Seller/sender
49,Shipper Address,DROPPED,,,,[DROPPED at Stage01],Not needed
50,Shipper City,DROPPED,,,,[DROPPED at Stage01],Not needed
51,Shipper State/Region,DROPPED,,,,[DROPPED at Stage01],Not needed
52,Shipper Postal Code,DROPPED,,,,[DROPPED at Stage01],Not needed
53,Shipper Country,DROPPED,,,,[DROPPED at Stage01],Not needed
54,Shipper Full Address,DROPPED,,,,[DROPPED at Stage01],Not needed
55,Shipper Email 1,DROPPED,,,,[DROPPED at Stage01],Not needed
56,Shipper Email 2,DROPPED,,,,[DROPPED at Stage01],Not needed
57,Shipper Email 3,DROPPED,,,,[DROPPED at Stage01],Not needed
58,Shipper Phone 1,DROPPED,,,,[DROPPED at Stage01],Not needed
59,Shipper Phone 2,DROPPED,,,,[DROPPED at Stage01],Not needed
60,Shipper Phone 3,DROPPED,,,,[DROPPED at Stage01],Not needed
61,Shipper Fax,DROPPED,,,,[DROPPED at Stage01],Not needed
62,Shipper Website 1,DROPPED,,,,[DROPPED at Stage01],Not needed
63,Shipper Website 2,DROPPED,,,,[DROPPED at Stage01],Not needed
64,Shipper Profile,DROPPED,,,,[DROPPED at Stage01],Not needed
65,Shipper SPCIQ ID,DROPPED,,,,[DROPPED at Stage01],Not needed
66,Shipper MI Key,DROPPED,,,,[DROPPED at Stage01],Not needed
67,Shipper D-U-N-S®,DROPPED,,,,[DROPPED at Stage01],Not needed
68,Shipper Industry,DROPPED,,,,[DROPPED at Stage01],Not needed
69,Shipper Revenue,DROPPED,,,,[DROPPED at Stage01],Not needed
70,Shipper Employees,DROPPED,,,,[DROPPED at Stage01],Not needed
71,Shipper Market Capitalization,DROPPED,,,,[DROPPED at Stage01],Not needed
72,Shipper Incorporation Year,DROPPED,,,,[DROPPED at Stage01],Not needed
73,Shipper Trade Roles,DROPPED,,,,[DROPPED at Stage01],Not needed
74,Shipper SIC Codes,Shipper SIC Codes,Shipper SIC Codes,Shipper SIC Codes,Shipper SIC Codes,KEPT,Industry classification
75,Shipper Stock Tickers,DROPPED,,,,[DROPPED at Stage01],Not needed
76,Shipper (Original Format),Shipper (Original Format),Shipper (Original Format),Shipper (Original Format),Shipper (Original Format),KEPT,Original name format
77,Shipper Global HQ,DROPPED,,,,[DROPPED at Stage01],Not needed
