Group,Commodity,Cargo,Cargo Detail,Source,Min Tons,Max Tons,Script Exists,Script Ran,Notes
Break Bulk,Steel & Metals,Steel,Flat Rolled Steel,CREATED,2,NONE,classify_steel.py,YES,Consolidated - covers all steel products
Break Bulk,Steel & Metals,Steel,Long Steel,CREATED,2,NONE,classify_steel.py,YES,Part of consolidated steel script
Break Bulk,Steel & Metals,Steel,Tubular Steel,CREATED,2,NONE,classify_steel.py,YES,Part of consolidated steel script
Break Bulk,Steel & Metals,Ferrous Raw Materials,Steel Slabs,CREATED,2,NONE,classify_steel.py,YES,Part of consolidated steel script
Break Bulk,Steel & Metals,Ferrous Raw Materials,Pig Iron,CREATED,2,NONE,classify_steel.py,YES,Part of consolidated steel script
Break Bulk,Steel & Metals,Ferrous Raw Materials,Ferro Alloys,CREATED,2,NONE,classify_steel.py,YES,Part of consolidated steel script
Break Bulk,Steel & Metals,Ferrous Raw Materials,Scrap Steel,CREATED,2,NONE,classify_steel.py,YES,Part of consolidated steel script
Break Bulk,Steel & Metals,Aluminum,Aluminum,CREATED,2,NONE,classify_nonferrous_metals.py,YES,Consolidated nonferrous metals
Break Bulk,Steel & Metals,Copper,Copper,CREATED,2,NONE,classify_nonferrous_metals.py,YES,Part of consolidated nonferrous
Break Bulk,Steel & Metals,Zinc,Zinc,CREATED,2,NONE,classify_nonferrous_metals.py,YES,Part of consolidated nonferrous
Break Bulk,Steel & Metals,Lead,Lead,CREATED,2,NONE,classify_nonferrous_metals.py,YES,Part of consolidated nonferrous
Break Bulk,Steel & Metals,Nickel,Nickel,CREATED,2,NONE,classify_nonferrous_metals.py,YES,Part of consolidated nonferrous
Break Bulk,Steel & Metals,Tin,Tin,CREATED,2,NONE,classify_nonferrous_metals.py,YES,Part of consolidated nonferrous
Break Bulk,Forestry,Pulp,Pulp,CREATED,2,NONE,classify_forestry.py,YES,Consolidated forestry
Break Bulk,Forestry,Paper,Paper,CREATED,2,NONE,classify_forestry.py,YES,Part of consolidated forestry
Break Bulk,Forestry,Lumber,Lumber,CREATED,2,NONE,classify_forestry.py,YES,Part of consolidated forestry
Dry Bulk,Construction Materials,Aggregates,Aggregates,CREATED,500,NONE,classify_construction_materials.py,YES,Consolidated construction materials
Dry Bulk,Construction Materials,Cement,Cement,CREATED,500,NONE,classify_construction_materials.py,YES,Part of consolidated construction
Dry Bulk,Construction Materials,Gypsum,Gypsum,CREATED,500,NONE,classify_construction_materials.py,YES,Part of consolidated construction
Dry Bulk,Construction Materials,Pumice,Pumice,DICTIONARY,500,NONE,NONE,NO,In dictionary - not in scripts yet
Dry Bulk,Construction Materials,SCMs,Slag,DICTIONARY,500,NONE,NONE,NO,Supplementary Cementitious Materials
Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,CREATED,500,NONE,classify_iron_ore.py,YES,Iron ore + pellets + DRI
Dry Bulk,NonFerrous Raw Materials,Bauxite,Bauxite,CREATED,500,NONE,classify_nonferrous_raw_materials.py,YES,Consolidated nonferrous raw
Dry Bulk,NonFerrous Raw Materials,Alumina,Alumina,CREATED,500,NONE,classify_nonferrous_raw_materials.py,YES,Part of consolidated nonferrous raw
Dry Bulk,NonFerrous Raw Materials,TiO2,TiO2,CREATED,500,NONE,classify_nonferrous_raw_materials.py,YES,Titanium ores/slag
Dry Bulk,Fertilizer,Nitrogen Fertilizers,Urea,DICTIONARY,500,NONE,classify_fertilizers_v1.1.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Fertilizer,Phosphorous Fertilizers,PhosRock,DICTIONARY,500,NONE,classify_fertilizers_v1.1.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Fertilizer,Phosphorous Fertilizers,DAP,DICTIONARY,500,NONE,classify_fertilizers_v1.1.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Fertilizer,Phosphorous Fertilizers,MAP,DICTIONARY,500,NONE,classify_fertilizers_v1.1.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Fertilizer,Potassic Fertilizers,Potash,DICTIONARY,500,NONE,classify_fertilizers_v1.1.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Fertilizer,Potassic Fertilizers,MOP,DICTIONARY,500,NONE,classify_fertilizers_v1.1.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Grain,Wheat,DICTIONARY,500,NONE,classify_grains_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Grain,Corn,DICTIONARY,500,NONE,classify_grains_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Grain,Soybeans,DICTIONARY,500,NONE,classify_grains_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Grain,Barley,DICTIONARY,500,NONE,classify_grains_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Grain,Rice,DICTIONARY,500,NONE,classify_grains_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Grain,Sorghum,DICTIONARY,500,NONE,classify_grains_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Sugar,Sugar,DICTIONARY,500,NONE,classify_sugar_cocoa_coffee_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Cocoa,Cocoa,DICTIONARY,500,NONE,classify_sugar_cocoa_coffee_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Agricultural Products,Coffee,Coffee,DICTIONARY,500,NONE,classify_sugar_cocoa_coffee_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Solid Fuels,Coal,Coal,DICTIONARY,500,NONE,classify_carbon_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Dry Bulk,Solid Fuels,Petcoke,Petcoke,DICTIONARY,500,NONE,classify_carbon_products_v1.0.0.py,NO,Part of carbon products
Dry Bulk,Minerals & Ores,Salt,Salt,DICTIONARY,500,NONE,NONE,NO,In dictionary - simple keyword
Dry Bulk,Minerals & Ores,Misc,Various,DICTIONARY,500,NONE,classify_minerals_ores_v1.1.0.py,NO,Exists but versioned - WHAT DOES THIS COVER?
Liquid Bulk,Petroleum,Crude Oil,Crude Oil,DICTIONARY,500,NONE,classify_crude_oil_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Clean Products,Diesel,DICTIONARY,500,NONE,classify_clean_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Clean Products,Gasoline,DICTIONARY,500,NONE,classify_clean_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Clean Products,Jet Fuel,DICTIONARY,500,NONE,classify_clean_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Dirty Products,Fuel Oil,DICTIONARY,500,NONE,classify_dirty_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Dirty Products,Bunker Fuel,DICTIONARY,500,NONE,classify_dirty_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Refined Products,VLSFO,DICTIONARY,500,NONE,classify_vlsfo_heating_oils_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Refined Products,Naphtha,DICTIONARY,500,NONE,classify_naphtha_reformate_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Refined Products,Reformate,DICTIONARY,500,NONE,classify_naphtha_reformate_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Petroleum,Refined Products,VGO,DICTIONARY,500,NONE,classify_additional_refined_products_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Chemicals,Organic Chemicals,Methanol,DICTIONARY,500,NONE,classify_chemicals_v1.1.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Chemicals,Organic Chemicals,Ethanol,DICTIONARY,500,NONE,classify_chemicals_v1.1.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Chemicals,Organic Chemicals,Ethylene Glycol,DICTIONARY,500,NONE,classify_ethylene_glycol_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Chemicals,Organic Chemicals,MEK,DICTIONARY,500,NONE,classify_mek_mibk_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Chemicals,Organic Chemicals,MIBK,DICTIONARY,500,NONE,classify_mek_mibk_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Chemicals,Organic Chemicals,Fatty Acids,DICTIONARY,500,NONE,classify_fatty_acids_v1.0.0.py,NO,Exists but versioned - needs consolidation
Liquid Bulk,Agricultural Products,Vegetable Oils,Palm Oil,DICTIONARY,500,NONE,classify_vegetable_oils_animal_fats_v1.0.0.py,NO,Exists but versioned - needs consolidation
