Rule_ID,Phase,Active,Carrier_SCAC,Vessel_Type,Package_Type,HS2,HS4,Keywords,Min_Tons,Max_Tons,Lock_Group,Lock_Commodity,Lock_Cargo,Lock_Cargo_Detail,Group,Commodity,Cargo,Cargo_Detail,Note,Date_Added,Tonnage_Impact
CARRIER-RORO,1,TRUE,,RoRo,,,,,,,TRUE,TRUE,TRUE,TRUE,Ro/Ro,Ro/Ro,Ro/Ro,Ro/Ro,RoRo vessel type lock,2026-02-01,Very High
CARRIER-REEFER,1,TRUE,,Reefer,,,,,,,TRUE,TRUE,TRUE,TRUE,Refrigerated,Refrigerated,Refrigerated,Refrigerated,Reefer vessel type lock,2026-02-01,High
CARRIER-EXCLUDE,1,TRUE,CRNV|RCCU|DCRL|NOCL|VWTG|PNSS,,,,,,,TRUE,TRUE,TRUE,TRUE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Exclusion carrier list,2026-02-01,Medium
CARRIER-DRYBULK,2,TRUE,,Bulk Carrier,,,,,,,TRUE,FALSE,FALSE,FALSE,Dry Bulk,TBN,TBN,TBN,Dry bulk vessel - group lock only,2026-02-01,High
CARRIER-TANKER,2,TRUE,,Tanker,,,,,,,TRUE,FALSE,FALSE,FALSE,Liquid Bulk,TBN,TBN,TBN,Tanker vessel - group lock only,2026-02-01,High
CARRIER-LNG,2,TRUE,,LNG Carrier,,,,,,,TRUE,FALSE,FALSE,FALSE,Liquid Gas,TBN,TBN,TBN,LNG carrier - group lock only,2026-02-01,Medium
NOISE-LIGHT-LIQUID,3,TRUE,,,LBK,,,,,75,TRUE,TRUE,TRUE,TRUE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Liquid bulk under 75 tons excluded,2026-02-01,Low
NOISE-LIGHT-GAS,3,TRUE,,,,,,,75,TRUE,TRUE,TRUE,TRUE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Liquid gas under 75 tons excluded,2026-02-01,Low
NOISE-SHIPSPARES,3,TRUE,,,,,life raft|liferaft|ship spares|ships spares|ship equipment|ships equipment,,,TRUE,TRUE,TRUE,TRUE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Ship spares and equipment excluded,2026-02-01,Low
NOISE-NONCARGO,3,TRUE,,,,,slops|washings|empty|landed for repair,,,TRUE,TRUE,TRUE,TRUE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Slops washings empty excluded,2026-02-01,Low
NOISE-SMALL-CONTAINERS,3,TRUE,,,,,bottle|bottles,,,TRUE,TRUE,TRUE,TRUE,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,Bottles and small containers excluded,2026-02-01,Low
SALT,4,TRUE,,,,25,,salt,500,,TRUE,TRUE,TRUE,TRUE,Dry Bulk,Minerals,Salt,Salt,Salt - BIG ONE,2026-02-01,Very High
CEMENT,4,TRUE,,,,25,2523,cement|clinker|low alkali|low alkaline|portland,500,,TRUE,TRUE,TRUE,TRUE,Dry Bulk,Construction Materials,Cement,Cement,Cement HS4 95%+ accurate,2026-02-01,Very High
AGGREGATES,4,TRUE,,,,25,,aggregate|limestone|lime stone|gravel|pebbles|sand|stones,500,,TRUE,TRUE,TRUE,TRUE,Dry Bulk,Construction Materials,Aggregates,Aggregates,Construction aggregates,2026-02-01,High
GYPSUM,4,TRUE,,,,25,,gypsum,500,,TRUE,TRUE,TRUE,TRUE,Dry Bulk,Construction Materials,Gypsum,Gypsum,Gypsum,2026-02-01,Medium
CRUDE-OIL,4,TRUE,,,,27,,maya|merey|arab|hibernia|cold lake|wti|syncrude|dco|crude oil|crude,5000,,TRUE,TRUE,TRUE,TRUE,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,Crude oil HS2 27 only,2026-02-01,Very High
DIESEL,4,TRUE,,,,27,,diesel|gasoil|ago|ulsd,1000,,TRUE,TRUE,TRUE,TRUE,Liquid Bulk,Petroleum,Refined Products,Diesel,Diesel fuel,2026-02-01,Very High
JET-FUEL,4,TRUE,,,,27,,jet fuel|jet a|jet a1|kerosene|kero,1000,,TRUE,TRUE,TRUE,TRUE,Liquid Bulk,Petroleum,Refined Products,Jet Fuel,Jet fuel and kerosene,2026-02-01,High
GASOLINE,4,TRUE,,,,27,,gasoline|cbob|rbob|mogas|premium|regular unleaded,1000,,TRUE,TRUE,TRUE,TRUE,Liquid Bulk,Petroleum,Refined Products,Gasoline,Gasoline,2026-02-01,Very High
FUEL-OIL,4,TRUE,,,,27,,fuel oil|residual fuel|bunker|mazut|vgol|ifo,1000,,TRUE,TRUE,TRUE,TRUE,Liquid Bulk,Petroleum,Refined Products,Fuel Oil,Fuel oil,2026-02-01,High
NAPHTHA,4,TRUE,,,,27,,naphtha,1000,,TRUE,TRUE,TRUE,TRUE,Liquid Bulk,Petroleum,Refined Products,Naphtha,Naphtha,2026-02-01,Medium
