Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Valero Marketing And Supply Co.,42352903.46,1165,36354.42357081545,2508.49,140372.0,42352903.46,7.4,7.44,Valero Marketing & Supply Co.; Valero Supply & Marketing,2
Chevron Marine Products Llc,40476231.05,780,51892.60391025641,2500.49,141627.01,82829134.50999999,14.6,7.11,,0
Pbf Holding Co. Llc,17758236.04,367,48387.56414168937,2689.37,470424.0,100587370.54999998,17.7,3.12,Pbf Holding Co.; Pbf Holding Co. Llcp; Joe Hurst Pbf Holding Co. Llc; Kevin Downtain Pbf Holding Co.; Pbf Holding,5
Marathon Petroleum Co. Llc,16478869.36,326,50548.67901840491,2689.0,278239.0,117066239.90999998,20.6,2.9,Marathon Petroleum Co. Lp; Marathon Ashland Petroleum; Marathon Petroleum Trading; Marathon Petroleum Co.,4
Irving Oil Terminals Inc.,16265895.62,2050,7934.583229268293,2587.0,172000.0,133332135.52999999,23.4,2.86,Irving Oil,1
Saudi Refining Inc.,14980445.959999999,216,69353.91648148147,54329.48,79836.8,148312581.48999998,26.1,2.63,,0
Chevron Global Technology,14632379.4,220,66510.81545454546,24014.0,83398.96,162944960.89,28.6,2.57,,0
Exxonmobil Oil Corporation,11678899.77,301,38800.33146179402,2839.0,355160.5,174623860.66,30.7,2.05,Exxonmobil Oilcorporation; Exxonmobil Oil Corp. New York,2
Ecopetrol Us Trading Llc,9763373.13,151,64658.1001986755,6254.11,151091.07,184387233.79,32.4,1.72,,0
Ega America Inc.,7978317.09,56,142469.94803571427,2522.0,492636.0,192365550.88,33.8,1.4,,0
Martin Marietta Aggregates,7466212.0,163,45804.981595092024,16500.0,65000.0,199831762.88,35.1,1.31,Martin Marietta Aggregates Inc.,1
Ternium Mexico Sa De Cv,7447646.71,161,46258.675217391305,16266.0,55032.0,207279409.59,36.4,1.31,Ternium Mexico S.A. De C.V.,1
Pmi Norteamerica Sa De Cv,6181309.06,77,80276.74103896103,31641.05,91193.69,213460718.65,37.5,1.09,Pmi Norteamerica S.A. De C.V.,1
Monroe Energy Llc,5837947.35,133,43894.34097744361,2575.0,96302.0,219298666.0,38.5,1.03,,0
Mosaic Fertilizer Llc,5144476.47,96,53588.2965625,27499.94,80143.68,224443142.47,39.4,0.9,,0
Eagle Rock Aggregates Inc.,5117592.0,173,29581.456647398845,11000.0,68558.3,229560734.47,40.3,0.9,,0
Citgo Petroleum Corp.,4922735.88,102,48262.11647058823,3485.0,99562.0,234483470.35,41.2,0.87,,0
"Trafigura Pte., Ltd.",4848884.88,146,33211.540273972605,2576.0,122246.0,239332355.23,42.1,0.85,,0
Exxonmobil Chemical Co.,4699693.82,29,162058.40758620691,2974.55,499911.0,244032049.04999998,42.9,0.83,Exxonmobil Chemical Asia Pacific,1
Bp Products North America,4610750.55,189,24395.505555555555,2821.0,123854.83,248642799.6,43.7,0.81,Bp Products North America Inc.; Bp Products North America Na,2
Celanese Europe Gmb H,4448159.33,53,83927.53452830188,2799.58,400011.0,253090958.93,44.5,0.78,,0
Atalco Gramercy Llc,3975558.0,96,41412.0625,10049.0,63861.0,257066516.93,45.2,0.7,,0
Eucatex Of North America Inc.,3563825.84,39,91380.14974358973,2989.87,462700.0,260630342.77,45.8,0.63,,0
Fibria Celulose Usa Inc.,3463924.0,490,7069.2326530612245,2500.0,30000.0,264094266.77,46.4,0.61,,0
Par Hawaii Refining Llc,3414594.74,63,54199.91650793651,3852.0,149406.0,267508861.51000002,47.0,0.6,,0
North American Marine Inc.,3328462.48,59,56414.61830508475,2622.6,469337.0,270837323.99,47.6,0.58,North American Fuel Corp.; North American Salt Co.; Stora Enso North American Sales,3
Compass Minerals America,3318698.03,196,16932.13280612245,2678.37,116078.76,274156022.02,48.2,0.58,Compass Minerals Manistee,1
Vulcan Construction Materials,3292577.23,66,49887.53378787879,7262.0,60400.0,277448599.25,48.8,0.58,,0
Cemex Construction Materials,3284134.69,173,18983.437514450867,4000.0,54191.0,280732733.94,49.3,0.58,Cemex Construction Materials Pacific Llc; Cemex Construction Materials Florid,2
Vitol Inc.,3259969.65,154,21168.63409090909,2504.0,92496.31,283992703.59,49.9,0.57,"Vitol Sa; Vitol Asia Pte., Ltd.; Vitol Energy America; Vitol Sa Place Des Bergues 3; Vitol Bahrain",13
Idemitsu Apollo Corp.,3195489.51,114,28030.609736842103,2678.0,41530.27,287188193.09999996,50.5,0.56,Idemitsu Apollo Corportion,1
