Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
"CHEVRON PRODUCTS COMPANY
1500 LOUISIANA STREET, 5TH FLOOR, HOUSTON TX77002 US",21462972.97,461,46557.42509761388,2788.0,135528.99,21462972.97,4.6,4.58,"CHEVRON PRODUCTS COMPANY
A DIVISION OF CHEVRON USA INC 1500, LOUISIANA STREET 5TH FLOOR HOUSTON, TX 77002; CHEVRON PRODUCTS COMPANY
A DIVISION OF CHEVRON USA INC, 1500 LOUISIANA STREET 5TH FLOOR, HOUSTON TX 77002; CHEVRON PRODUCTS CO
A DIVISION OF CHEVRON USA, 1500 LOUISIANA STREET 5TH FLOOR, HOUSTON, TX. 77002; CHEVRON PRODUCTS CO
A DIV OF CHEVRON USA INC, 1500 LOUISIANA ST 5TH FL, HOUSTON, TX 77002; CHEVRON PRODUCTS CO
250 INDUSTRIAL RD, PASCAGOULA, MS 39581",114
"VALERO MARKETING & SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249   US",11389405.0,206,55288.37378640777,5817.54,80485.32,32852377.97,7.0,2.43,"VALERO MARKETING &AMP; SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING AND SUPPLY
ONE VALERO WAY, SAN ANTONIO, TEXAS 78249; VALERO  MARKETING &AMP; SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING & SUP
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING AND SUPPLY CO
ONE VALERO WAY, SAN ANTONIO,TX 78249",122
"MOTIVA ENTERPRISES LLC
500 DALLAS ST, HOUSTON, TX 77002",10193467.459999999,147,69343.31605442177,54329.48,79836.8,43045845.43,9.2,2.18,"MOTIVA ENTERPRISES LLC
500 DALLAS ST, HOUSTON, TX, 77002; MOTIVA ENTERPRISES LLC
500 DALLAS STREET HOUSTON TX 77002; MOTIVA ENTERPRISES LLC
500 DALLAS STREET HOUSTON TX 77002, USA; MOTIVA ENTERPRISES LLC
ONE ALLEN CNTR 500 DALLAS ST, HOUSTON, TX 77002; MOTIVA ENTERPRISES LLC
ONE ALLEN CENTER, 500 DALLAS STREET, HOUSTON, TEXAS 77002",12
"VALERO MARKETING &AMP; SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249",9254056.18,246,37618.11455284553,10926.11,94082.47,52299901.61,11.2,1.97,"VALERO MARKETING & SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249   US; VALERO MARKETING AND SUPPLY
ONE VALERO WAY, SAN ANTONIO, TEXAS 78249; VALERO  MARKETING &AMP; SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING & SUP
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING AND SUPPLY CO
ONE VALERO WAY, SAN ANTONIO,TX 78249",122
"JEREMY TROTTER C/O
ALEXANDER & CO., 22 CENTURY BLVD SUITE 510, NASHVILLE, TN 37214 USA",7905156.22,42,188218.00523809524,24331.0,492636.0,60205057.83,12.8,1.69,"JEREMY TROTTER C/O V. ALEXANDER&CO.
22, Century Boulevard, Nashville, Tennessee, 37214, United States; JEREMY TROTTER
22, Century Boulevard, Nashville, Tennessee, 37214, United States; JEREMY TROTTER CARE OF ALEXANDER
AND CO 22 CENTURY BOULEVARD SUITE, 510 NASHVILLE TN 37214 USA; JEREMY TROTTER
CARE OFF V ALEXANDER AND CO 22, CENTURY BOULEVARD SUITE 510, NASHVILLE TN 37214 USA",4
"TERNIUM MEXICO S.A. DE C.V.
C/O ICF CUSTOMS SERVICES, 8709 KILLAM INDUSTRIAL BLVD, LAREDO, TX 78045  JESSICA PACHECO",6180404.0,132,46821.242424242424,16266.0,55032.0,66385461.83,14.2,1.32,"TERNIUM MEXICO S.A DE C.V., C/O
ICF CUSTOMS SERVICES, 8709 KILLAM, INDUSTRIAL BLVD., LAREDO, TX 78045, PHONE +5281 1157 8523; TERNIUM MEXICO SA DE CV
C/O ICF CUSTOMS SERVICES, 8709 KILLIAM INDUSTRIAL BLVD, LAREDOTX 78045, TEUS; TERNIUM MEXICO S.A. DE C.V.
C/O ICF CUSTOMS SERVICES, 8709 KILLAM INDUSTRIAL BLVD, LAREDO, TX 78045   JESSICA PACHECO; TERNIUM MEXICO SA DE CV
Avenue Guerrero Nte. 151, Col. Cuauhtemoc, San Nicolas De Los Garza, Nuevo Leon, 66450, Mexico; TERNIUM MEXICO SA DE CV
TERNIUM MEXICO SA DE CV C/O ICF CUS, TOMS SERVICES 8709 KILLAM INDUSTRIA, L BLVD. LAREDO PHONE   5281 1157 85, 233 /EMAIL C.JL NELDA_RODRIGUEZ@TER",15
"CELANESE EUROPE B.V., C/O ADPO
ANTWERP, 1077ZX AMSTERDAM, NL, C/O HAVEN 1111, STEENLANDLAAN 3, B-9130 KALLO, BELGIUM",4448159.33,53,83927.53452830188,2799.58,400011.0,70833621.16,15.1,0.95,,0
"ATALCO GRAMERCY LLC
1111 AIRLINE HWY, GRAMERCY, LA, US, 70052, TE225-869-2529",3975558.0,96,41412.0625,10049.0,63861.0,74809179.16,16.0,0.85,,0
"MOTIVA ENTERPRISES LLC
500 DALLAS ST, HOUSTON, TX, 77002",3876507.4,56,69223.34642857143,61487.82,76260.5,78685686.56,16.8,0.83,"MOTIVA ENTERPRISES LLC
500 DALLAS ST, HOUSTON, TX 77002; MOTIVA ENTERPRISES LLC
500 DALLAS STREET HOUSTON TX 77002; MOTIVA ENTERPRISES LLC
500 DALLAS STREET HOUSTON TX 77002, USA; MOTIVA ENTERPRISES LLC
ONE ALLEN CNTR 500 DALLAS ST, HOUSTON, TX 77002; MOTIVA ENTERPRISES LLC
ONE ALLEN CENTER, 500 DALLAS STREET, HOUSTON, TEXAS 77002",12
"EUCATEX OF NORTH AMERICA INC
11475 GREAT OAKS WAY  SUITE 305, ALPHARETTA  GA  30022, MARI YOSHIDA / PH: 678-624-0160",3563825.84,39,91380.14974358973,2989.87,462700.0,82249512.4,17.6,0.76,,0
"GREEN WORLDWIDE SHIPPING LLC
450 GEARS RD, STE 212, HOUSTON, TX 77067, MARY 281-744-3910",3316196.42,55,60294.480363636365,3435.0,469337.0,85565708.82000001,18.3,0.71,"GREEN WORLDWIDE SHIPPING LLC
450 GEARS ROAD SUITE 212, HOUSTON TX 77067, TEL 832-554-1204, IMPORTS.HOU@GREENWORLDWIDE.COM; GREEN WORLDWIDE SHIPPING LLC
450 GEARS RD STE 212 HOUSTON TX, 77067",2
"VULCAN CONSTRUCTION MATERIALS
1200 URBAN CENTER DRIVE, BIRMINGHAM AL 35242 US",3292577.23,66,49887.53378787879,7262.0,60400.0,88858286.05000001,19.0,0.7,,0
"COPPERSMITH GLOABAL LOGISTICS
15920 INTERNATIONAL PLAZA DR, HOUSTON 77032 USPATRICIA WILLIAMS TE2814424800",3083489.3,27,114203.3074074074,5004.3,411409.0,91941775.35000001,19.6,0.66,"COPPERSMITH GLOABAL LOGISTICS
15920 INTERNATIONAL PLAZA DR, HOUSTON TX77032 USPATRICIA WILLIAMS TE2814424800",1
"PERIN TRADING CO LLC
4160 TEMESCAL CANYON RD  SUITE 401, CORONA  CA  92883, PH: 951 281-2557 // PIC: JEFFERSON",3046598.5,17,179211.67647058822,44271.0,432728.0,94988373.85000001,20.3,0.65,,0
"SUDATI USA LLC
7345 W SAND LAKE RD, STE 210 - OFFICE 734, ORLANDO  FL  32819",2948522.22,36,81903.395,4919.51,319968.0,97936896.07000001,20.9,0.63,,0
"VALERO MARKETING AND SUPPLY
ONE VALERO WAY, SAN ANTONIO, TEXAS 78249",2824098.0,80,35301.225,3571.0,108390.0,100760994.07000001,21.5,0.6,"VALERO MARKETING & SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249   US; VALERO MARKETING &AMP; SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO  MARKETING &AMP; SUPPLY CO
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING & SUP
ONE VALERO WAY, SAN ANTONIO, TX 78249; VALERO MARKETING AND SUPPLY CO
ONE VALERO WAY, SAN ANTONIO,TX 78249",122
"HOUSTON REFINING LP
1221 MC KINNEY, PO BOX 3646, HOUSTON, TX 77253-3646",2819564.0,40,70489.1,26277.0,82992.0,103580558.07000001,22.1,0.6,"HOUSTON REFINING LP
1221 MCKINNEY PO BOX 3646, HOUSTON, TX 77010; HOUSTON REFINING LP
LYONDELLBASELL TOWER, 1221 MCKINNEY ST, HOUSTON, TX 77010; HOUSTON REFINING LP
1221 MCKINNEY, PO BOX 3646, HOUSTON, TX 77010; HOUSTON REFINING LP
1221 MCKINNEY ST, SUITE 300, HOUSTON TX 77010 US; HOUSTON REFINING LP
1221 MCKINNEY PO BOX 3646 HOUSTON, TX 77010 HOUSTON TX 77253 3646 USA",43
"EBROKERAGE SERVICE INC.
3050 POST OAK BLVD, SUITE 444, HOUSTON, TEXAS 77056, KATRINA BRANCH / URIEL RODRIQUEZ",2718346.0,6,453057.6666666667,400527.0,499911.0,106298904.07000001,22.7,0.58,,0
"Morton Salt, Inc.
123 North Wacker Drive, Chicago, Illinois, 60606-1743, United States",2705438.0,79,34246.05063291139,10000.0,51624.0,109004342.07000001,23.3,0.58,"MORTON SALT INC
DANBURY RD., NEW HAVEN, CT; MORTON SALT
225 NEWCASTLE STREET, BRUNSWICK GA 31520 US",2
"PAULSBORO REFINING COMPANY
800 BILLINGSPORT RD, PAULSBORO, NJ 08066",2432454.19,37,65742.00513513513,13777.2,75121.3,111436796.26,23.8,0.52,"PAULSBORO REFINING COMPANY
800 BILLINGSPORT ROAD, PAULSBORONJ 08066, US, TE856-224-6090; PAULSBORO REFINING COMPANY
800 BILLINGSPORT RD, PAULSBORO, NJ, 08066; PAULSBORO REFINING COMPANY
800 BILLINGS ROAD, PAULSBORO, NJ 08066; PAULSBORO REFINING COMPANY
800 BILLINGSPORT RD, PAULSBORONJ 08066, US; PAULSBORO REFINING CO
800 BILLINGSPORT RD, PAULSBORO NJ08066 USOPS TE856-224-6090",18
"NUCOR STEEL LOUISIANA LLC
9101 LA HIGHWAY 3125, CONVENT LA, USA",2087928.0,27,77330.66666666667,74972.0,78888.0,113524724.26,24.2,0.45,,0
"CHEVRON PRODUCTS COMPANY
A DIVISION OF CHEVRON USA INC 1500, LOUISIANA STREET 5TH FLOOR HOUSTON, TX 77002",1989686.07,39,51017.591538461544,4840.5,110652.34,115514410.33,24.7,0.42,"CHEVRON PRODUCTS COMPANY
1500 LOUISIANA STREET, 5TH FLOOR, HOUSTON TX77002 US; CHEVRON PRODUCTS COMPANY
A DIVISION OF CHEVRON USA INC, 1500 LOUISIANA STREET 5TH FLOOR, HOUSTON TX 77002; CHEVRON PRODUCTS CO
A DIVISION OF CHEVRON USA, 1500 LOUISIANA STREET 5TH FLOOR, HOUSTON, TX. 77002; CHEVRON PRODUCTS CO
A DIV OF CHEVRON USA INC, 1500 LOUISIANA ST 5TH FL, HOUSTON, TX 77002; CHEVRON PRODUCTS CO
250 INDUSTRIAL RD, PASCAGOULA, MS 39581",114
