Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Pmi Trading Ltd.,26721241.96,450,59380.53768888889,2689.37,91193.69,26721241.96,5.1,5.11,Pmi Trading Designated Activity Co.; Pmi Trading Dac; Pmi Trading Designated Activity; Pmi Trading Designated Activity Com,4
Irving Oil Ltd.,17094412.32,2193,7794.989658002736,2587.0,172000.0,43815654.28,8.4,3.27,Irving Oil Refining Gp; Irving Oil Commercial Gp; Irving Oil Terminals Inc.,3
Bolanter Corp. Nv,14980445.959999999,216,69353.91648148147,54329.48,79836.8,58796100.24,11.2,2.86,,0
Somo Oil And Marketing,12637933.32,198,63827.94606060606,17842.0,278239.0,71434033.56,13.7,2.42,Oil Marketing Co. (Somo); State Oil Marketing Co. (Somo); Somo Oil Marketing Co.,3
Ecopetrol S.A.,11695637.81,205,57051.89175609756,3632.0,151091.07,83129671.37,15.9,2.24,Ecopetrol S.A. Covenas Off Shore Pt; Ecopetrol Us Trading Llc; Ecopetrol S A; Ecopetrol Gerencia De Ops,4
Chevron Panama Fuels Ltd.,9664050.67,149,64859.40046979866,3487.0,141627.01,92793722.04,17.7,1.85,,0
"Trafigura Pte., Ltd.",8666927.47,279,31064.256164874554,2576.0,122246.0,101460649.51,19.4,1.66,,0
Pbf Holding Co. Llc,8002706.31,143,55962.98118881119,6915.19,97520.0,109463355.82000001,20.9,1.53,Pbf Holding Co.,1
Pdvsa Petroleo S.A.,7567088.98,124,61024.91112903226,4105.0,95307.0,117030444.80000001,22.4,1.45,Pdvsa Petroleo S.A. Edificio Petrol; Pdvsa Petroleo Sa,2
Valero Marketing And Supply Co.,6781465.53,139,48787.52179856115,4502.15,105217.64,123811910.33000001,23.7,1.3,,0
Ternium Brasil Ltda,6256363.0,131,47758.49618320611,16266.0,57059.0,130068273.33000001,24.9,1.2,,0
Chevron Marine Products Llc,5812566.01,120,48438.05008333333,5571.0,104544.0,135880839.34,26.0,1.11,,0
Chevron Global Technology,5742493.9799999995,206,27876.184368932038,11052.0,67271.0,141623333.32,27.1,1.1,Chevron Global Supply And Trading,1
