Party_Name,Total_Tons,Record_Count,Avg_Tons
Pmi Norteamerica Sa De Cv,6181309.06,77,80276.74103896103
Monroe Energy Llc,5837947.35,133,43894.34097744361
Atalco Gramercy Llc,3975558.0,96,41412.0625
Eucatex Of North America Inc.,3563825.84,39,91380.14974358973
Fibria Celulose Usa Inc.,3463924.0,490,7069.2326530612245
Par Hawaii Refining Llc,3414594.74,63,54199.91650793651
North American Marine Inc.,3328462.48,59,56414.61830508475
Compass Minerals America,3318698.03,196,16932.13280612245
Cemex Construction Materials,3284134.69,173,18983.437514450867
Vitol Inc.,3259969.65,154,21168.63409090909
Idemitsu Apollo Corp.,3195489.51,114,28030.609736842103
Glacier Northwest Inc.,3154133.0,138,22856.036231884056
Houston Refining Lp,3122272.85,41,76152.99634146341
Coppersmith Gloabal Logistics,3113777.3,28,111206.33214285714
Perin Trading Co.,3046598.5,17,179211.67647058822
Sudati Usa Llc,2948522.22,36,81903.395
Arcelormittal International America Llc,2896189.14,98,29552.950408163266
Puerto Rico Energy Llc,2857992.01,164,17426.780548780487
Aramco Americas,2808688.02,77,36476.46779220779
Arcelormittal Texas Hbi Llc,2777947.0,32,86810.84375
Aes Puerto Rico Lp,2468800.0,64,38575.0
Houston Cement Co.,2300928.0,49,46957.71428571428
Eastern Salt Co. Inc.,2270802.06,54,42051.89
Hollingshead Cement Llc,2192906.4,53,41375.592452830184
Nucor Steel Louisiana Llc,2087928.0,27,77330.66666666667
Argos Usa,2030823.06,95,21377.084842105265
Sesco Cement Corp.,1893218.96,81,23373.073580246913
Blue Water Industries Llc,1809276.0,34,53214.0
Ril Usa Inc.,1801194.99,73,24673.90397260274
New Fortress Energy,1792155.22,244,7344.898442622951
Wilmar Oleo Quimico S.De.Rl.De.C.V.,1760616.0,4,440154.0
Hm Southeast Cement Llc,1707715.01,40,42692.87525
The David J. Joseph Co.,1682715.35,52,32359.910576923077
Biehl & Co.,1623801.25,58,27996.57327586207
Carver Sand & Gravel Se Llc,1602948.05,40,40073.70125
Coppersmith Global Logistics,1600709.26,18,88928.29222222223
Diamond Green Diesel Llc,1582271.77,283,5591.066325088339
Ash Grove Cement Co.,1561670.0,142,10997.676056338029
Eurochem North America Corp.,1533975.79,93,16494.363333333335
Freepoint Commodities,1527302.16,80,19091.277
Suncor Energy Usa Marketing Inc.,1475561.61,56,26349.314464285715
Csc Sugar Llc,1444124.79,76,19001.64197368421
Yara North America,1412918.77,241,5862.733485477179
Vitol Sa,1373044.42,67,20493.20029850746
Puerto Rico Electric Power Authorit,1348083.7,57,23650.591228070174
Iig Capital,1336205.0,43,31074.53488372093
Naturgy Aprovisionamientos Sa,1331800.36,42,31709.532380952383
Hunt Crude Oil Supply Co.,1331520.51,31,42952.27451612903
Carib Lpg Trading Ltd.,1290155.22,7,184307.88857142857
Host Agency,1264591.09,148,8544.534391891892
Ubs Switzerland Ag,1262087.08,43,29350.8623255814
California Steel Industries Inc.,1254075.82,41,30587.21512195122
On Site Concrete Solutions,1207480.2,48,25155.837499999998
Shell Western Supply & Trading Ltd.,1191573.44,20,59578.672
Gunvor Usa,1147668.26,67,17129.377014925372
Equinor Marketing And Trading Us,1132378.18,17,66610.48117647058
St. Mary's Cement Co.,1124150.2,59,19053.39322033898
Heidelberg Materials Us Cement Llc,1110727.0,30,37024.23333333333
Eco Fertilizers Inc.,1077556.99,47,22926.744468085108
Neste Us Inc.,1054502.47,101,10440.618514851485
Mitsui & Co Usa Inc.,1051340.4,13,80872.33846153846
Suncor Energy (Usa),1041629.86,23,45288.254782608696
Archer Daniels Midland Co.,1028557.67,100,10285.5767
Ups Supply Chain Solutions,1020619.06,30,34020.63533333333
Toyota Motor Sales,1019689.22,278,3667.946834532374
Eni Trade & Biofuels Sp A,1011477.0,24,42144.875
Sunoco Llc,982203.4299999999,63,15590.530634920633
Ergon Oil Purchasing Inc.,976432.73,14,69745.19499999999
Ing Bank N.V. Amsterdam,939053.11,62,15146.017903225806
North American Fuel Corp.,936636.37,28,33451.29892857143
Dow Europe Gmb H Plant F412,924876.04,2,462438.02
