Party_Name,Total_Tons,Record_Count,Avg_Tons
"JEREMY TROTTER C/O
ALEXANDER & CO., 22 CENTURY BLVD SUITE 510, NASHVILLE, TN 37214 USA",7905156.22,42,188218.00523809524
"ATALCO GRAMERCY LLC
1111 AIRLINE HWY, GRAMERCY, LA, US, 70052, TE225-869-2529",3975558.0,96,41412.0625
"EUCATEX OF NORTH AMERICA INC
11475 GREAT OAKS WAY  SUITE 305, ALPHARETTA  GA  30022, MARI YOSHIDA / PH: 678-624-0160",3563825.84,39,91380.14974358973
"GREEN WORLDWIDE SHIPPING LLC
450 GEARS RD, STE 212, HOUSTON, TX 77067, MARY 281-744-3910",3316196.42,55,60294.480363636365
"COPPERSMITH GLOABAL LOGISTICS
15920 INTERNATIONAL PLAZA DR, HOUSTON 77032 USPATRICIA WILLIAMS TE2814424800",3083489.3,27,114203.3074074074
"PERIN TRADING CO LLC
4160 TEMESCAL CANYON RD  SUITE 401, CORONA  CA  92883, PH: 951 281-2557 // PIC: JEFFERSON",3046598.5,17,179211.67647058822
"SUDATI USA LLC
7345 W SAND LAKE RD, STE 210 - OFFICE 734, ORLANDO  FL  32819",2948522.22,36,81903.395
"HOUSTON REFINING LP
1221 MC KINNEY, PO BOX 3646, HOUSTON, TX 77253-3646",2819564.0,40,70489.1
"EBROKERAGE SERVICE INC.
3050 POST OAK BLVD, SUITE 444, HOUSTON, TEXAS 77056, KATRINA BRANCH / URIEL RODRIQUEZ",2718346.0,6,453057.6666666667
"PAULSBORO REFINING COMPANY
800 BILLINGSPORT RD, PAULSBORO, NJ 08066",2432454.19,37,65742.00513513513
"NUCOR STEEL LOUISIANA LLC
9101 LA HIGHWAY 3125, CONVENT LA, USA",2087928.0,27,77330.66666666667
"COMPASS MINERALS AMERICA
9900 W 109TH STREET, OVERLAND PARK KS US",1955387.1,104,18801.79903846154
"BLUE WATER INDUSTRIES, LLC
200 WEST FORSYTH STREET, SUITE 1200, JACKSONVILLE, FLORIDA 32202, USA, TEL. +1-904-545-0594 ATT: MR. TED",1809276.0,34,53214.0
"GRUPO MEDINA
AV.IGNACIO, ALLENDE NO 2156, COL., CENTRO, VERACRUZ, CP 91700, MARIA FERNANDA MURO / 2292810251",1760616.0,4,440154.0
"BIEHL & CO
1400 PIER SIDE, BUILDING 190, SUITE B, CHARLESTON SC29405 US",1631345.72,46,35464.037391304344
"MARATHON CARSON REFINERY
1801  E. SEPULVEDA BLVD, CARSON, CA. 90745",1415393.0,9,157265.88888888888
"COPPERSMITH GLOBAL LOGISTICS
15920 INTERNATIONAL PLAZA DR, SUITE 1725, HOUSTON TX77032 USPATRICIA WILLIAMS TE281-442-4800",1406361.3,10,140636.13
"B.R.ANDERSON &AMP; CO
1011 SW KLICKITAT WAY, STE 203, SEATTLE, WA, US, 98134, TE206-623-1346",1400010.78,192,7291.7228125
