Party_Name,Total_Tons,Record_Count,Avg_Tons
Orca Sand And Gravel Ltd.,5586143.98,189,29556.317354497358
Discovery Bauxite Operations Ltd.,3975558.0,96,41412.0625
Compass Minerals Canada,3585601.15,214,16755.145560747664
Bahama Rock Ltd.,3578416.0,95,37667.53684210526
Eucatex Industria E Comercio Ltda,3563825.84,39,91380.14974358973
Interpipe Ukraine,3328462.48,59,56414.61830508475
Reliance Industries Ltd.,3209894.32,140,22927.81657142857
Medcem Global Pazarlama A.S.,3115238.5,94,33140.835106382976
Shell Western Supply & Trading Ltd.,3107098.77,58,53570.668448275865
Suncor Energy Marketing Inc.,2855563.67,220,12979.834863636363
Aramco Americas,2843096.38,70,40615.66257142857
Sociedad Punta De Lobos S.A.,2541426.0,74,34343.59459459459
Drummond Ltd.,2468800.0,64,38575.0
S Oil Corp.,2455635.01,135,18189.888962962963
"Heritage Petroleum Co., Ltd.",2427327.98,37,65603.45891891891
Abu Dhabi National,2340587.01,98,23883.540918367344
Industries Stria De Compensados Sudati,2303444.63,48,47988.42979166666
Arcelormittal Brasil S.A.,2237232.27,80,27965.403375
Iron Ore Co. Of Canada,2200823.0,27,81511.96296296296
Vale S.A.,2187522.0,28,78125.78571428571
Grupo Minero Del Mar De Cortes,2147600.0,79,27184.810126582277
Arcelormittal Pecem S.A.,2127573.89,50,42551.4778
Novum Energy Trading Corp.,2108587.3,86,24518.456976744183
Ep Petroecuador,2097149.52,47,44620.20255319149
Lafarge North America,2059366.23,154,13372.507987012987
Totsa Totalenergies Trading Sa,2050111.32,131,15649.704732824428
Samarco Mineracao Sa,2022059.0,26,77771.5
Gs Caltex Corporation,2003927.55,89,22516.03988764045
Vissai Ninh Binh Jsc,1999890.0,87,22987.241379310344
St. Mary's Cement Corp.,1915315.82,138,13879.100144927537
Gunvor Group,1897692.78,78,24329.394615384615
Taiheiyo Cement Corporation,1888977.0,67,28193.68656716418
Titan Cement Company S.A.,1877647.0,44,42673.795454545456
Nfe Transport Partners Llc,1792155.22,244,7344.898442622951
Natural Oleochemicals Sdn Bhd,1760616.0,4,440154.0
Nuh Cimento Sanayi A.S.,1733121.0,43,40305.13953488372
Arcelormittal Mexico S.A. De C.V.,1698579.13,35,48530.832285714285
Nu Iron Unlimited,1612511.35,48,33593.98645833333
Carver Materials Canada Ltd.,1602948.05,40,40073.70125
Equinor Asa,1517419.99,49,30967.754897959185
Cemex Materials Newfoundland Inc.,1489733.0,52,28648.71153846154
"Nippon Steel Trading Co., Ltd.",1456520.87,62,23492.272096774195
Ontario Trap Rock,1448191.9,79,18331.543037974683
Cemtech Global Muhendislik As,1419801.64,57,24908.800701754386
Carib Lpg Trading Ltd.,1290155.22,7,184307.88857142857
Lafrage Emirates Cement Llc,1263341.0,31,40752.93548387097
Saudi Cement Co.,1245848.0,29,42960.275862068964
Cenovus Energy,1238623.86,25,49544.9544
Pmi Commercio International S.A. De,1233260.23,19,64908.43315789474
Suncor International Energy & Trading,1216919.8399999999,18,67606.65777777777
Zona Franca Argos S.A.S.,1211213.06,84,14419.203095238096
Sonatrach,1208028.16,21,57525.15047619047
Neste Oil Oyj,1193555.12,81,14735.24839506173
Lafarge Na Meldrum Bay,1173900.0,63,18633.333333333332
Morton Bahamas Ltd.,1173631.0,29,40470.03448275862
Shell Brasil Petroleo Ltda,1135268.1,20,56763.405000000006
Akcansa Cimento San. Tic. A.S.,1130488.0,42,26916.380952380954
Inustria De Compensados Sudati,1128647.0899999999,13,86819.00692307691
Galaxy Oil Fz Llc,1106419.48,46,24052.59739130435
Monroe Energy Llc,1106322.72,18,61462.37333333333
Saint Gobain Placo Iberica Sa,1085841.0,24,45243.375
"Sk Energy Co., Ltd.",1070369.83,37,28928.914324324327
Aramco Trading Fujairah,1052761.54,35,30078.901142857143
National Oil Corp,1045724.8,9,116191.64444444445
Lafarge Texada Quarrying,1032788.0,119,8678.89075630252
Galtrade Ltd.,1016388.54,33,30799.65272727273
K And S Windsor Salt Ltd.,1001640.0,32,31301.25
Mitsui & Co. Deutschland Gmb H,999290.0,2,499645.0
Duferco Sa,994834.0,28,35529.78571428572
Kuwait Petroleum Corp.,968827.0,26,37262.57692307692
Alunorte Alumina Do Norte Do,960028.35,55,17455.06090909091
Toyota Motor Corporation,948836.48,254,3735.5766929133856
Asociacion De Azucareros De,932645.1,20,46632.255
The Dow Chemical Co.,924876.04,2,462438.02
Petrochina International America,923560.64,17,54327.096470588236
Marathon International Product,894527.78,28,31947.420714285716
Ontario Trap Rock A Division Of,891728.14,91,9799.21032967033
Sabic Agri Nutrients Co.,831948.89,22,37815.858636363635
Ergon Oil Purchasing Inc.,822734.24,12,68561.18666666666
Food Security Solutions Dmcc,818078.11,42,19478.05023809524
