Commodity,Total_Tons,Top_Shipper_1,Top_Shipper_1_Tons,Top_Shipper_2,Top_Shipper_2_Tons,Top_Shipper_3,Top_Shipper_3_Tons,Top_Consignee_1,Top_Consignee_1_Tons,Top_Consignee_2,Top_Consignee_2_Tons,Top_Consignee_3,Top_Consignee_3_Tons
General Cargo,179369483.61,,38179936.9,COMPANIA MINERA MISKI MAYO SRL,4319319.86,EMIRATES ALUMINIUM,4191138.57,,21433254.66,EGA AMERICA INC.,8107362.01,MOSAIC FERTILIZER LLC,4714465.31
Crude Oil,104413409.85,BOLANTER CORP. NV,14772771.959999999,,9993755.9,SOMO OIL AND MARKETING,7803368.46,CHEVRON MARINE PRODUCTS LLC,23406385.77,SAUDI REFINING INC.,14772771.959999999,VALERO MARKETING AND SUPPLY CO.,14251659.18
Petroleum Products,74134684.93,,17746883.07,CHEVRON PANAMA FUELS LTD.,3678190.47,PMI TRADING LTD.,3299927.86,,11978272.78,CHEVRON MARINE PRODUCTS LLC,7725379.18,VALERO MARKETING AND SUPPLY CO.,7455806.46
Chemicals,38235252.01,,9277487.32,CELANESE OPERATIONS MEXICO S. DE,4537391.49,EXXONMOBIL CHEMICAL HOLLAND BV,3829285.58,EXXONMOBIL CHEMICAL CO.,4795254.8100000005,CELANESE EUROPE GMB H,4537391.49,,3146454.58
Construction Materials,35033418.79,,5728328.04,ORCA SAND AND GRAVEL LTD.,5568969.43,MARTIN MARIETTA MATERIALS CANADA LIMITED,5310170.0,MARTIN MARIETTA AGGREGATES,7466212.0,,7043116.0,EAGLE ROCK AGGREGATES INC.,5117592.23
Ro/Ro,29554678.67,,8294688.0,TOYOTA MOTOR CORPORATION,2074702.64,KIA,1547194.48,,2507033.28,TOYOTA MOTOR SALES,2057954.56,VOLKSWAGEN GRP OF AMERICA,1504034.53
Steel,15219409.46,,8708291.94,POSCO,1167961.39,HYUNDAI STEEL CO.,545200.51,,6241014.59,FIBRIA CELULOSE USA INC.,1763935.6,THYSSENKRUPP STAINLESS USA LLC,587925.75
Forestry,13216593.12,,4817191.05,UPM SALES OY,764172.66,UPM PULP SALES OY,499612.45,FIBRIA CELULOSE USA INC.,2036195.74,UPM NAPERVILLE,764172.66,CMPC USA,594031.32
Agricultural Products,5049758.21,,886841.62,CITROSUCO SA AGROINDUSTRIA,559085.77,PT INTIBENUA PERKASATAMA,237498.95,,1129613.99,CITROSUCO N.A. INC.,532268.05,DIAMOND GREEN DIESEL LLC,311162.48
Refrigerated Products,631772.24,BANDEGUA S.A.,314488.93,CORPORACION DE DESARROLLO AGRICOLA,142445.97,FRUTICOLA Y EXPORTADORA ATACAMA LTDA,15497.48,DEL MONTE FRESH PRODUCE N A INC.,192135.62,DEL MONTE FRESH PRODUCE N. A. INC.,173047.6,DEL MONTE FRESH PRODUCE CO.,83292.23
Ferrous Raw Materials,498455.32,,95053.95999999999,COMILOG,81965.0,SUPER CEMENT MFG. CO. LLC,53300.0,ERAMET MARIETTA INC.,127965.0,SATHI LLC,106560.0,,92953.95999999999
LNG,397294.58,PLANTA REGASIFICADORA SAGUNTO SL,116058.0,ATLANTIC LNG CO. OF TRINIDAD,83576.0,BP TRINDAD PROCESSING LTD.,57318.99,NATURGY APROVISIONAMIENTOS SA,255384.0,EXCELERATE GAS MARKETING LP,57318.99,CONSTELLATION ENERGY COMMODITIES,54787.59
Minerals & Ores,348078.52,,143869.22,HZM MARMI AND PIETRE (SMC PVT.) LTD.,48745.0,IMERYS INDUSTRIAL MINERALS GREECE,40000.0,,101889.69,IMI FABI LLC,56988.94,IMERYS PERLITE USA INC.,50978.0
LPG,219766.34,,86834.06999999999,PCS NITROGEN TRINIDAD LTD.,38600.01,NITROGEN 2000 UNLIMITED,31400.8,INEOS NITRILES USA LLC,70600.09,RH TEXAS INC.,31399.07,KOCH TAFT,25400.8
Misc Bulk,138815.43,"ARAMCO TRADING SINAPORE PTE., LTD.",53690.0,,51539.45,INNER MONGOLIA HONGTE NEW MATERIAL,10932.7,MOSAIC FERTILIZER LLC,53690.0,,47230.98,LARPEN METALLURGICAL SERVICE,23072.99
