Section,Commodity,Metric,Value,Rank,Details
HEADER,Commodity Trade Lane Analysis v1.0.0,Generated: 2026-02-05 23:33,Harmonized 2024 Panjiva Data,,
,,,,,
OVERVIEW,"Steel Products (HS72, HS73)",Total Records,"72,178",,
OVERVIEW,"Steel Products (HS72, HS73)",Total Tonnage,63.95M,,"63,953,692 metric tons"
OVERVIEW,"Steel Products (HS72, HS73)",Total Value,"$93,267,748,254",,
OVERVIEW,"Steel Products (HS72, HS73)",Unique Origins,415,,
OVERVIEW,"Steel Products (HS72, HS73)",Unique Destinations,88,,
,,,,,
TRADE_LANES,"Steel Products (HS72, HS73)",Sepetiba Bay -> Houston,7.07M,1142,"370 shipments | $9,497,880,300"
TRADE_LANES,"Steel Products (HS72, HS73)",Rio De Janeiro -> The Port of Charleston,4.09M,1094,"111 shipments | $1,996,987,000"
TRADE_LANES,"Steel Products (HS72, HS73)",All Other Ports In Bulgaria -> Houston,3.38M,171,"153 shipments | $4,933,574,300"
TRADE_LANES,"Steel Products (HS72, HS73)",Sepetiba Bay -> The Port of Brownsville,2.19M,1148,"48 shipments | $1,462,834,000"
TRADE_LANES,"Steel Products (HS72, HS73)",Point Lisas -> The Port of Charleston,1.88M,1011,"53 shipments | $2,140,345,000"
TRADE_LANES,"Steel Products (HS72, HS73)",Sepetiba Bay -> Philadelphia Regional Port Authority,1.80M,1143,"260 shipments | $3,467,378,300"
TRADE_LANES,"Steel Products (HS72, HS73)",Lazaro Cardenas -> Alabama State Port Authority,1.49M,815,"33 shipments | $1,363,583,000"
TRADE_LANES,"Steel Products (HS72, HS73)",Sepetiba Bay -> Tampa,1.47M,1147,"7 shipments | $1,834,491,000"
TRADE_LANES,"Steel Products (HS72, HS73)",Gemlik -> Houston,1.34M,550,"112 shipments | $2,454,604,080"
TRADE_LANES,"Steel Products (HS72, HS73)",Alexandria -> San Juan,1.32M,32,"10 shipments | $1,005,864,200"
,,,,,
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Interpipe Ukraine,3.35M,590,5.2% market share | 186 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Ternium,2.19M,1334,3.4% market share | 49 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Nu Iron Unlimited,1.61M,952,2.5% market share | 48 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Arcelormittal Mexico S.A. De C.V.,1.49M,101,2.3% market share | 33 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Duferco Sa,1.00M,334,1.6% market share | 33 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Posco,975.1K,1018,"1.5% market share | 2,625 shipments"
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Formosa Ha Tinh Steel,790.2K,416,1.2% market share | 27 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Global Trade Operations,708.7K,453,1.1% market share | 4 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Al Ezz Dekheila Steel Co.,662.3K,30,1.0% market share | 51 shipments
TOP_SHIPPERS,"Steel Products (HS72, HS73)",Stemcor London Ltd.,623.2K,1260,1.0% market share | 18 shipments
,,,,,
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",North American Marine Inc.,3.35M,1767,5.2% market share | 192 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Ternium,3.32M,2484,5.2% market share | 509 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Coppersmith Gloabal Logistics,3.11M,590,4.9% market share | 28 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Arcelormittal International America Llc,2.28M,195,"3.6% market share | 3,221 shipments"
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Coppersmith Global Logistics,1.85M,591,2.9% market share | 615 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",The David J. Joseph Co.,1.68M,2493,2.6% market share | 52 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Biehl & Co.,1.64M,322,2.6% market share | 72 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Host Agency,1.32M,1143,2.1% market share | 204 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Jaime Maduro Customs Broker,867.5K,1275,1.4% market share | 3 shipments
TOP_CONSIGNEES,"Steel Products (HS72, HS73)",Ferrosource,725.8K,864,1.1% market share | 42 shipments
,,,,,
HS_CODES,"Steel Products (HS72, HS73)",HS72,51.99M,,"81.3% of tonnage | 48,355.0 shipments"
HS_CODES,"Steel Products (HS72, HS73)",HS73,11.97M,,"18.7% of tonnage | 23,823.0 shipments"
,,,,,
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Brazil,24.48M,14,"38.3% of tonnage | 3,724 shipments"
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",South Korea,4.47M,78,"7.0% of tonnage | 17,551 shipments"
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Bulgaria,3.50M,16,5.5% of tonnage | 194 shipments
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Trinidad and Tobago,3.01M,84,4.7% of tonnage | 110 shipments
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Vietnam,2.91M,92,"4.5% of tonnage | 5,025 shipments"
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Turkey,2.88M,85,4.5% of tonnage | 515 shipments
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Belgium,2.46M,11,"3.8% of tonnage | 11,197 shipments"
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Canada,2.37M,17,"3.7% of tonnage | 1,865 shipments"
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Mexico,2.13M,56,"3.3% of tonnage | 2,057 shipments"
ORIGIN_COUNTRIES,"Steel Products (HS72, HS73)",Japan,1.62M,50,"2.5% of tonnage | 6,031 shipments"
,,,,,
VESSEL_TYPES,"Steel Products (HS72, HS73)",Bulk Carrier,36.78M,,"57.5% of tonnage | 37,533 shipments"
VESSEL_TYPES,"Steel Products (HS72, HS73)",General Cargo,14.13M,,"22.1% of tonnage | 14,468 shipments"
VESSEL_TYPES,"Steel Products (HS72, HS73)",Tanker,505.1K,,0.8% of tonnage | 984 shipments
VESSEL_TYPES,"Steel Products (HS72, HS73)",LPG/LNG Carrier,127.7K,,0.2% of tonnage | 60 shipments
VESSEL_TYPES,"Steel Products (HS72, HS73)",RoRo,113.5K,,"0.2% of tonnage | 1,649 shipments"
VESSEL_TYPES,"Steel Products (HS72, HS73)",Container,5.9K,,0.0% of tonnage | 75 shipments
VESSEL_TYPES,"Steel Products (HS72, HS73)",Reefer,41.1,,0.0% of tonnage | 3 shipments
,,,,,
,,,,,
OVERVIEW,Grain & Oilseeds (HS10-12),Total Records,"1,470",,
OVERVIEW,Grain & Oilseeds (HS10-12),Total Tonnage,3.76M,,"3,760,022 metric tons"
OVERVIEW,Grain & Oilseeds (HS10-12),Total Value,"$4,102,826,471",,
OVERVIEW,Grain & Oilseeds (HS10-12),Unique Origins,122,,
OVERVIEW,Grain & Oilseeds (HS10-12),Unique Destinations,58,,
,,,,,
TRADE_LANES,Grain & Oilseeds (HS10-12),Milos Island -> Port of Brunswick,308.8K,141,"18 shipments | $333,192,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),Fort Williams -> BuffaloNiagara Falls,254.4K,73,"12 shipments | $188,541,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),Fort Williams -> Toledo-Lucas Port Authority,200.7K,79,"16 shipments | $208,027,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),All Other Saudi Arabia Ports -> Port of New Orleans,121.0K,14,"2 shipments | $160,445,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),Windsor -> Toledo-Lucas Port Authority,108.0K,201,"4 shipments | $263,790,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),Dairen -> San Juan,105.0K,62,"5 shipments | $107,835,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),San Pedro -> Baltimore,104.3K,175,"44 shipments | $69,488,400"
TRADE_LANES,Grain & Oilseeds (HS10-12),Itacoatiara -> Port of Virginia,103.2K,116,"5 shipments | $55,214,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),Sao Paulo -> Houston,102.4K,178,"6 shipments | $350,910,000"
TRADE_LANES,Grain & Oilseeds (HS10-12),All Other Republic Of South Africa Ports -> Philadelphia Regional Port Authority,99.9K,13,"2 shipments | $188,188,000"
,,,,,
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Viterra Inc.,221.7K,170,5.9% market share | 28 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),James Richardson International Ltd.,168.0K,88,4.5% market share | 7 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Parrish & Heimbecker Ltd.,134.2K,133,3.6% market share | 19 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Imerys Industrial Minerals Greece,132.2K,84,3.5% market share | 7 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Amaggi Exportacao E Importacao Ltda,130.8K,11,3.5% market share | 10 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Sabic Agri Nutrients Co.,121.0K,147,3.2% market share | 2 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Richardson International Ltd.,109.9K,143,2.9% market share | 7 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Adm Agri Industries Co.,108.2K,4,2.9% market share | 5 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Garnet International Resources (Pty) ),99.9K,68,2.7% market share | 2 shipments
TOP_SHIPPERS,Grain & Oilseeds (HS10-12),Penny Newman Grain Co.,85.4K,134,2.3% market share | 4 shipments
,,,,,
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Imerys Perlite Usa Inc.,226.2K,95,6.0% market share | 14 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Pan American Grain Mfg. Co. Inc.,218.9K,154,5.8% market share | 28 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),General Mills,172.0K,81,4.6% market share | 7 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Glacier Northwest Inc.,149.8K,83,4.0% market share | 25 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Molinos De Puerto Rico,148.1K,137,3.9% market share | 16 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Sabic Americas,121.0K,186,3.2% market share | 2 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Hansen Mueller,120.0K,88,3.2% market share | 8 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Adm Toledo,108.0K,4,2.9% market share | 4 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Penny Newman Grain Co.,103.8K,158,2.8% market share | 6 shipments
TOP_CONSIGNEES,Grain & Oilseeds (HS10-12),Lyondell Chemical Co.,102.4K,116,2.7% market share | 6 shipments
,,,,,
HS_CODES,Grain & Oilseeds (HS10-12),HS10,1.56M,,41.6% of tonnage | 359.0 shipments
HS_CODES,Grain & Oilseeds (HS10-12),HS12,1.39M,,36.9% of tonnage | 880.0 shipments
HS_CODES,Grain & Oilseeds (HS10-12),HS11,808.1K,,21.5% of tonnage | 231.0 shipments
,,,,,
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Canada,1.24M,9,33.0% of tonnage | 267 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Brazil,459.0K,8,12.2% of tonnage | 37 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Argentina,324.8K,2,8.6% of tonnage | 111 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Greece,323.8K,19,8.6% of tonnage | 22 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Thailand,159.9K,43,4.3% of tonnage | 38 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),South Africa,154.9K,38,4.1% of tonnage | 6 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Turkey,144.5K,45,3.8% of tonnage | 28 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),China,128.3K,10,3.4% of tonnage | 61 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Poland,121.9K,33,3.2% of tonnage | 9 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Saudi Arabia,121.0K,37,3.2% of tonnage | 2 shipments
,,,,,
VESSEL_TYPES,Grain & Oilseeds (HS10-12),Bulk Carrier,2.20M,,58.6% of tonnage | 650 shipments
