Category,Entity_Type,Competitor_1,Competitor_2,Overlap_Tons,Overlap_Pct_1,Overlap_Pct_2,Trade_Lanes,Top_Lane
Oil Refiners,Consignee,EXXONMOBIL OIL CORPORATION,VALERO MARKETING AND SUPPLY CO.,2517178.12,21.50047342836257,5.93431362520935,32,"PAJARITOS, MEXICO to HOUSTON|UNCLASSIFIED"
Oil Refiners,Consignee,MARATHON PETROLEUM CO. LLC,VALERO MARKETING AND SUPPLY CO.,2034263.53,12.294224374497254,4.795829777570714,22,"PAJARITOS, MEXICO to NEW ORLEANS|UNCLASSIFIED"
Oil Refiners,Consignee,CHEVRON MARINE PRODUCTS LLC,MARATHON PETROLEUM CO. LLC,1898021.98,4.684734386170601,11.470838338161398,14,"ARMUELLES, PANAMA to LA-LONG BEACH|UNCLASSIFIED"
Oil Refiners,Consignee,EXXONMOBIL OIL CORPORATION,MARATHON PETROLEUM CO. LLC,959682.15,8.197123756084796,5.79991112572319,10,"PAJARITOS, MEXICO to NEW ORLEANS|UNCLASSIFIED"
Oil Refiners,Shipper,EXXONMOBIL CHEMICAL BELGIUM,EXXONMOBIL CHEMICAL HOLLAND BV,861183.2,99.69822522814864,22.489396050738016,3,"ROTTERDAM, NETHERLANDS to NEW YORK|CHEMICALS"
Oil Refiners,Consignee,MARATHON CARSON REFINERY,MARATHON PETROLEUM CO. LLC,548511.0700000001,100.0,3.314967833334539,1,"AL BASRAH, IRAQ to LA-LONG BEACH|PETROLEUM PRODUCTS"
Oil Refiners,Consignee,CHEVRON GLOBAL TECHNOLOGY,CHEVRON TEXACO,527012.0,3.6016443221822554,100.0,4,"JOSE, VENEZUELA to NEW ORLEANS|CRUDE OIL"
Oil Refiners,Consignee,CHEVRON MARINE PRODUCTS LLC,CHEVRON PRODUCTS CO.,420586.6,1.0380999420157295,57.78337452029753,2,"SKIKDA, ALGERIA to SAN FRANCISO|UNCLASSIFIED"
Oil Refiners,Consignee,MARATHON CARSON REFINERY,VALERO MARKETING AND SUPPLY CO.,406799.0,74.1642278978982,0.9590393422065572,1,"AL BASRAH, IRAQ to LA-LONG BEACH|PETROLEUM PRODUCTS"
Oil Refiners,Consignee,CHEVRON MARINE PRODUCTS LLC,"CHEVRON SINGAPORE PTE., LTD.",345398.7,0.8525197199395044,80.60881024939044,2,"HIGH SEAS,NORTH PACIFIC to SAN FRANCISO|CRUDE OIL"
Oil Refiners,Consignee,CHEVRON MARINE PRODUCTS LLC,CHEVRON USA INC.,322421.1,0.7958059653223561,44.06455767778359,2,"HIGH SEAS,NORTH PACIFIC to SAN FRANCISO|CRUDE OIL"
Oil Refiners,Consignee,MARATHON INTERNATIONAL PRODUCT,MARATHON PETROLEUM CO. LLC,315667.42,74.3742242706421,1.9077597528372645,5,"FREEPORT, GRAND BAHAMA I, BAHAMAS to SOUTH FLORIDA|UNCLASSIFIED"
Oil Refiners,Consignee,"CHEVRON SINGAPORE PTE., LTD.",CHEVRON USA INC.,306706.0,71.57874582721229,41.916810739502765,1,"HIGH SEAS,NORTH PACIFIC to SAN FRANCISO|CRUDE OIL"
Oil Refiners,Consignee,EXXONMOBIL OIL CORPORATION,EXXONMOBIL OILCORPORATION,301825.59,2.5780428592772195,33.97242029032814,6,"AMSTERDAM, NETHERLANDS to NEW YORK|PETROLEUM PRODUCTS"
Oil Refiners,Consignee,VALERO ENERGY,VALERO MARKETING AND SUPPLY CO.,301537.92,60.16187674746778,0.7108835775091223,3,"CAMPECHE, MEXICO to SABINE RIVER|UNCLASSIFIED"
Oil Refiners,Shipper,EXXONMOBIL OIL CORPORATION,VALERO MARKETING AND SUPPLY CO.,298264.22,13.76411559858699,4.395177564348566,4,"HIGH SEAS,GULF OF MEXICO to SABINE RIVER|CRUDE OIL"
Oil Refiners,Shipper,VALERO ENERGY LTD.,VALERO MARKETING AND SUPPLY CO.,276355.01,13.905399290918508,4.072326676486117,2,"PEMBROKE, UNITED KINGDOM to BOSTON|UNCLASSIFIED"
Oil Refiners,Shipper,CHEVRON CANADA,EXXONMOBIL CANADA,248498.0,91.03824736225089,24.142966373483524,2,"WHIFFEN HEAD, NFLD, CANADA to DELAWARE RIVER|UNCLASSIFIED"
Oil Refiners,Consignee,EXXONMOBIL OILCORPORATION,MARATHON PETROLEUM CO. LLC,239924.0,27.004996381309777,1.4499987073095093,4,"HIGH SEAS,GULF OF MEXICO to HOUSTON|UNCLASSIFIED"
Oil Refiners,Consignee,EXXONMOBIL OILCORPORATION,VALERO MARKETING AND SUPPLY CO.,239924.0,27.004996381309777,0.5656271405277938,4,"HIGH SEAS,GULF OF MEXICO to HOUSTON|UNCLASSIFIED"
Oil Refiners,Consignee,CHEVRON,CHEVRON MARINE PRODUCTS LLC,219865.64,83.68270263608589,0.5426766048543897,3,"CAYO ARCAS, MEXICO to MOBILE|CRUDE OIL"
