Entity_Type,Entity_1,Entity_2,Entity_1_Total_Tons,Entity_2_Total_Tons,Overlapping_Trade_Lanes,Overlap_Tonnage,Overlap_Pct_Entity_1,Overlap_Pct_Entity_2,Max_Overlap_Pct,Top_Competing_Lane_1,Top_Competing_Lane_2,Top_Competing_Lane_3
Shipper,CHEVRON MARINE PRODUCTS LLC,SOMO OIL AND MARKETING,5813949.01,12640938.78,1,4766327.0,81.98088754823807,37.705482820161244,81.98088754823807,"HIGH SEAS,NORTH PACIFIC→SAN FRANCISO|CRUDE OIL",,
Shipper,PDVSA PETROLEO S.A.,PETROPIAR S.A.,7567088.98,5679106.739999999,10,3391084.72,44.81359646969554,59.71158626259595,59.71158626259595,"JOSE, VENEZUELA→MOBILE|CRUDE OIL","JOSE, VENEZUELA→HOUSTON|CRUDE OIL","ALL OTHER VENEZUELA PORTS, VENEZUELA→NEW ORLEANS|UNCLASSIFIED"
Shipper,DUBAI ALUMINIUM,EMIRATES ALUMINIUM,3969769.940000002,4252181.790000002,16,3142398.6500000004,79.15820557601378,73.90085384848983,79.15820557601378,"ALL OTHER UNITED ARAB EMIRATES PORTS, UNITED ARAB EMIRATES→BALTIMORE|GENERAL CARGO","ALL OTHER UNITED ARAB EMIRATES PORTS, UNITED ARAB EMIRATES→HOUSTON|GENERAL CARGO","ALL OTHER UNITED ARAB EMIRATES PORTS, UNITED ARAB EMIRATES→GEORGIA PORTS|GENERAL CARGO"
Consignee,EXXONMOBIL OIL CORPORATION,VALERO MARKETING AND SUPPLY CO.,11707547.409999998,42417342.23999999,32,2517178.12,21.50047342836257,5.93431362520935,21.50047342836257,"PAJARITOS, MEXICO→HOUSTON|UNCLASSIFIED","HIGH SEAS,GULF OF MEXICO→HOUSTON|UNCLASSIFIED","PAJARITOS, MEXICO→NEW ORLEANS|UNCLASSIFIED"
Shipper,ABU DHABI NATIONAL,SOMO OIL AND MARKETING,2398571.7299999995,12640938.78,2,2044316.5999999999,85.23058011694319,16.17218970504341,85.23058011694319,"HIGH SEAS,NORTH PACIFIC→SAN FRANCISO|CRUDE OIL","HIGH SEAS,NORTH PACIFIC→LA-LONG BEACH|CRUDE OIL",
Consignee,MARATHON PETROLEUM CO. LLC,VALERO MARKETING AND SUPPLY CO.,16546497.50999999,42417342.23999999,22,2034263.53,12.294224374497254,4.795829777570714,12.294224374497254,"PAJARITOS, MEXICO→NEW ORLEANS|UNCLASSIFIED","AL BASRAH, IRAQ→LA-LONG BEACH|PETROLEUM PRODUCTS","HIGH SEAS,GULF OF MEXICO→HOUSTON|UNCLASSIFIED"
Shipper,ABU DHABI NATIONAL,CHEVRON MARINE PRODUCTS LLC,2398571.7299999995,5813949.01,1,2012534.5999999999,83.9055415699409,34.615621783721146,83.9055415699409,"HIGH SEAS,NORTH PACIFIC→SAN FRANCISO|CRUDE OIL",,
Consignee,ECOPETROL US TRADING LLC,HOUSTON REFINING LP,9763373.13,3127074.8500000006,4,1924013.0,19.706437256690197,61.52756465039523,61.52756465039523,"COVENAS, COLOMBIA→HOUSTON|UNCLASSIFIED","HIGH SEAS,GULF OF MEXICO→HOUSTON|UNCLASSIFIED","ALL OTHER COLOMBIAN CARIBBEAN REGION PORTS, COLOMBIA→HOUSTON|CRUDE OIL"
Consignee,CHEVRON MARINE PRODUCTS LLC,MARATHON PETROLEUM CO. LLC,40515039.35,16546497.50999999,14,1898021.98,4.684734386170601,11.470838338161398,11.470838338161398,"ARMUELLES, PANAMA→LA-LONG BEACH|UNCLASSIFIED","ARMUELLES, PANAMA→LA-LONG BEACH|PETROLEUM PRODUCTS","ESMERALDAS, ECUADOR→LA-LONG BEACH|PETROLEUM PRODUCTS"
Shipper,PMI COME INT SA DE CO.,PMI TRADING LTD.,4286711.199999998,26721241.960000034,12,1770812.07,41.30933919691163,6.626982655412466,41.30933919691163,"PAJARITOS, MEXICO→MOBILE|CRUDE OIL","PAJARITOS, MEXICO→MOBILE|UNCLASSIFIED","DOS BOCAS, MEXICO→HOUSTON|CRUDE OIL"
Consignee,EXXONMOBIL CHEMICAL CO.,WILMAR OLEO QUIMICO S.DE.RL.DE.C.V.,4864974.1099999985,1770293.6400000001,2,1764486.98,36.2691956854011,99.67199452854612,99.67199452854612,"ROTTERDAM, NETHERLANDS→NEW YORK|CHEMICALS","ROTTERDAM, NETHERLANDS→HOUSTON|CHEMICALS",
Shipper,EXXONMOBIL CHEMICAL HOLLAND BV,NATURAL OLEOCHEMICALS SDN BHD,3829285.579999998,1760616.0,1,1760616.0,45.97766249651197,100.0,100.0,"ROTTERDAM, NETHERLANDS→NEW YORK|CHEMICALS",,
Shipper,PMI TRAD DESIGN ACT CO.,PMI TRADING DESIGNATED ACTIVITY CO.,3749501.9499999997,3920909.8900000006,14,1434585.81,38.26070313151858,36.588084150028756,38.26070313151858,"PAJARITOS, MEXICO→HOUSTON|UNCLASSIFIED","ALTAMIRA, MEXICO→HOUSTON|CRUDE OIL","SALINA CRUZ, MEXICO→NEW ORLEANS|CRUDE OIL"
Consignee,CITGO PETROLEUM CORP.,VALERO MARKETING AND SUPPLY CO.,4937851.879999998,42417342.23999999,11,1267566.23,25.670397995008315,2.988320726998949,25.670397995008315,"DOS BOCAS, MEXICO→SOUTH TEXAS|UNCLASSIFIED","HIGH SEAS,GULF OF MEXICO→SOUTH TEXAS|UNCLASSIFIED","PAJARITOS, MEXICO→SOUTH TEXAS|UNCLASSIFIED"
Consignee,MARATHON PETROLEUM CO. LLC,PBF HOLDING CO. LLC,16546497.50999999,17766760.23000001,9,1187320.6800000002,7.175661672704055,6.68282041649413,7.175661672704055,"HIGH SEAS,NORTH PACIFIC→LA-LONG BEACH|UNCLASSIFIED","HIGH SEAS,NORTH PACIFIC→LA-LONG BEACH|PETROLEUM PRODUCTS","ESMERALDAS, ECUADOR→LA-LONG BEACH|PETROLEUM PRODUCTS"
Consignee,CHEVRON MARINE PRODUCTS LLC,PBF HOLDING CO. LLC,40515039.35,17766760.23000001,14,1157529.3800000001,2.8570362970658203,6.515140436495885,6.515140436495885,"ARMUELLES, PANAMA→SAN FRANCISO|CRUDE OIL","HIGH SEAS,NORTH PACIFIC→LA-LONG BEACH|UNCLASSIFIED","HIGH SEAS,GULF OF MEXICO→LA-LONG BEACH|UNCLASSIFIED"
Consignee,PERIN TRADING CO.,SUDATI USA LLC,3046725.06,2952281.9200000004,1,1142535.1600000001,37.50043530347304,38.70006967356288,38.70006967356288,"ALL OTHER BRAZIL PORTS SOUTH OF RECIFE, BRAZIL→MOBILE|GENERAL CARGO",,
Consignee,HOUSTON REFINING LP,PMI NORTEAMERICA SA DE CV,3127074.8500000006,6181309.6,6,1121484.07,35.86367847894654,18.14314672088258,35.86367847894654,"DOS BOCAS, MEXICO→HOUSTON|CRUDE OIL","CAYO ARCAS, MEXICO→HOUSTON|UNCLASSIFIED","HIGH SEAS,GULF OF MEXICO→HOUSTON|UNCLASSIFIED"
Consignee,CHEVRON MARINE PRODUCTS LLC,HUNT CRUDE OIL SUPPLY CO.,40515039.35,1331520.51,4,1111436.24,2.743268321668309,83.47120691366594,83.47120691366594,"PAJARITOS, MEXICO→MOBILE|UNCLASSIFIED","PAJARITOS, MEXICO→MOBILE|CRUDE OIL","DOS BOCAS, MEXICO→MOBILE|CRUDE OIL"
