Port,Source_Country,Tonnage
"Port Arthur, Texas",Aruba,3385231.16
"Port Arthur, Texas",Mexico,1621069.05
"Port Arthur, Texas",Venezuela,694245.76
"Port of Richmond, Richmond, California",Panama,1113498.28
"Port of Richmond, Richmond, California",Algeria,751564.54
"Port of Richmond, Richmond, California",Argentina,268898.44
"Port of Long Beach, Long Beach, California",Iraq,2319426.04
"Port of Long Beach, Long Beach, California",Brazil,2099921.98
"Port of Long Beach, Long Beach, California",Panama,1552741.87
"Houston, Houston, Texas",Mexico,4848486.95
"Houston, Houston, Texas",Colombia,3485405.75
"Houston, Houston, Texas",Canada,1029816.28
"The Port of Los Angeles, Los Angeles, California",Panama,8198419.14
"The Port of Los Angeles, Los Angeles, California",Canada,486706.58
"The Port of Los Angeles, Los Angeles, California",Ecuador,360910.32999999996
"New York/Newark Area, Newark, New Jersey",Canada,1807581.65
"New York/Newark Area, Newark, New Jersey",Libya,1221148.44
"New York/Newark Area, Newark, New Jersey",Netherlands Antilles,632583.12
"Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",Nigeria,524244.0
"Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",Mexico,240966.0
"Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",Canada,222521.34
"Corpus Christi, Corpus Christi, Texas",Aruba,2070062.66
"Corpus Christi, Corpus Christi, Texas",Colombia,1434076.8
"Corpus Christi, Corpus Christi, Texas",Trinidad and Tobago,863989.12
"Port of Pascagoula, Pascagoula, Mississippi",Venezuela,3695680.05
"Port of Pascagoula, Pascagoula, Mississippi",Brazil,691621.88
"Port of Pascagoula, Pascagoula, Mississippi",United Kingdom,593357.49
"Port of New Orleans, New Orleans, Louisiana",Venezuela,2818586.88
"Port of New Orleans, New Orleans, Louisiana",Mexico,955164.09
"Port of New Orleans, New Orleans, Louisiana",Algeria,333538.0
