Entity_1,Entity_2,Cooccurrence_Count
Toyota Motor Corporation,Toyota Motor Sales,1039
Toyota Motor Sales,Toyota Motor Corporation,1039
Valero,PMI Trading,332
PMI Trading,Valero,332
New Fortress Energy,Nfe Transport Partners Llc,248
Nfe Transport Partners Llc,New Fortress Energy,248
Saudi Refining Inc,Bolanter Corporation,216
Bolanter Corporation,Saudi Refining Inc,216
Valero,Chevron,206
Chevron,Valero,206
Dubai Aluminium,Emirates Aluminium (EGA),201
Emirates Aluminium (EGA),Dubai Aluminium,201
Orca Sand and Gravel,Emirates Aluminium (EGA),188
Emirates Aluminium (EGA),Orca Sand and Gravel,188
North American Marine,Interpipe,187
Interpipe,North American Marine,187
State Oil Marketing Company (SOMO),Chevron,147
Chevron,State Oil Marketing Company (SOMO),147
PDVSA,Chevron,116
Chevron,PDVSA,116
Atalco Gramercy,Discovery Bauxite,96
Discovery Bauxite,Atalco Gramercy,96
Petropiar,Chevron,93
Chevron,Petropiar,93
Bahama Rock,Martin Marietta,89
Martin Marietta,Bahama Rock,89
Morton Salt,Sociedad Punta de Lobos,88
Sociedad Punta de Lobos,Morton Salt,88
Compania Minera,Mosaic,84
Mosaic,Compania Minera,84
PMI Trading,ExxonMobil,83
ExxonMobil,PMI Trading,83
Chevron,PMI Trading,74
PMI Trading,Chevron,74
Taiheiyo Cement Corporation,Glacier Northwest,73
Glacier Northwest,Taiheiyo Cement Corporation,73
Vulcan Materials,Emirates Aluminium (EGA),69
Emirates Aluminium (EGA),Vulcan Materials,69
PMI Trading,PBF Energy,68
PBF Energy,PMI Trading,68
Drummond,Aes Puerto Rico Lp,66
Aes Puerto Rico Lp,Drummond,66
Trafigura,Marathon Petroleum,49
Marathon Petroleum,Trafigura,49
Compania Minera,Eastern Salt Co. Inc.,46
Eastern Salt Co. Inc.,Compania Minera,46
Emirates Aluminium (EGA),Blue Water Industries,36
Vissai Ninh Binh Jsc,Cemex,36
Blue Water Industries,Emirates Aluminium (EGA),36
Cemex,Vissai Ninh Binh Jsc,36
Chevron,Trafigura,35
Trafigura,Chevron,35
Valero,Gunvor Group,33
Gunvor Group,Valero,33
Marathon Petroleum,PMI Trading,32
Valero,State Oil Marketing Company (SOMO),32
PMI Trading,Marathon Petroleum,32
State Oil Marketing Company (SOMO),Valero,32
Cemex,Medcem Global,31
S-Oil,Idemitsu Apollo,31
Idemitsu Apollo,S-Oil,31
Shell,PBF Energy,31
PBF Energy,Shell,31
Medcem Global,Cemex,31
State Oil Marketing Company (SOMO),Marathon Petroleum,30
Marathon Petroleum,State Oil Marketing Company (SOMO),30
Lafarge North America,Emirates Aluminium (EGA),29
Emirates Aluminium (EGA),Lafarge North America,29
Trafigura,PAR Hawaii Refining,24
PAR Hawaii Refining,Trafigura,24
Marathon Petroleum,Suncor Energy,23
Suncor Energy,Marathon Petroleum,23
Trafigura,Puerto Rico Energy,20
Chevron,Gs Caltex Corporation,20
Puerto Rico Energy,Trafigura,20
Gs Caltex Corporation,Chevron,20
Totsa Totalenergies Trading Sa,Citgo,19
Citgo,Totsa Totalenergies Trading Sa,19
Abu Dhabi National Oil Company,Chevron,18
ExxonMobil,Petrobras,18
Petrobras,ExxonMobil,18
Chevron,Abu Dhabi National Oil Company,18
Shell,Ep Petroecuador,17
Ecopetrol,Houston Refining,17
Ep Petroecuador,Shell,17
Houston Refining,Ecopetrol,17
Marathon Petroleum,Shell,16
PMI Trading,Vitol,16
Shell,Marathon Petroleum,16
Vitol,PMI Trading,16
Puerto Rico Energy,Totsa Totalenergies Trading Sa,15
Totsa Totalenergies Trading Sa,Puerto Rico Energy,15
Glacier Northwest,Vissai Ninh Binh Jsc,15
PBF Energy,Ecopetrol,15
Vissai Ninh Binh Jsc,Glacier Northwest,15
Ecopetrol,PBF Energy,15
Citgo,PMI Trading,14
BP,Petrobras,14
PMI Trading,Citgo,14
Houston Cement Co.,Medcem Global,14
Medcem Global,Houston Cement Co.,14
Petrobras,BP,14
Houston Refining,PMI Trading,13
PBF Energy,Trafigura,13
Trafigura,PBF Energy,13
PMI Trading,Houston Refining,13
Ecopetrol,Vitol,12
Vulcan Materials,Cemex,12
ArcelorMittal,Emirates Aluminium (EGA),12
Emirates Aluminium (EGA),ArcelorMittal,12
Vitol,Ecopetrol,12
Cemex,Vulcan Materials,12
Heritage Petroleum,PBF Energy,11
Valero,Trafigura,11
Totsa Totalenergies Trading Sa,ExxonMobil,11
PBF Energy,Heritage Petroleum,11
Trafigura,Valero,11
ExxonMobil,Totsa Totalenergies Trading Sa,11
Valero,Citgo,10
ExxonMobil,Reliance Industries,10
Marathon Petroleum,S-Oil,10
Irving Oil,Puerto Rico Energy,10
PBF Energy,Ep Petroecuador,10
Reliance Industries,ExxonMobil,10
S-Oil,Marathon Petroleum,10
Ep Petroecuador,PBF Energy,10
Citgo,Valero,10
Puerto Rico Energy,Irving Oil,10
Valero,Ecopetrol,9
Valero,Suncor Energy,9
Trafigura,Houston Refining,9
ExxonMobil,Aramco Americas,9
Ecopetrol,Valero,9
Citgo,Heritage Petroleum,9
Suncor Energy,Valero,9
Heritage Petroleum,Citgo,9
Aramco Americas,ExxonMobil,9
Houston Refining,Trafigura,9
ArcelorMittal,Ternium,8
Ternium,ArcelorMittal,8
ExxonMobil,BP,8
BP,ExxonMobil,8
Marathon Petroleum,Petrobras,8
Suncor Energy,Puerto Rico Energy,8
Valero,BP,8
BP,Valero,8
Puerto Rico Energy,Suncor Energy,8
Petrobras,Marathon Petroleum,8
Ecopetrol,Citgo,7
Monroe Energy,Aramco Americas,7
ExxonMobil,PBF Energy,7
Emirates Aluminium (EGA),Cemex,7
BP,Totsa Totalenergies Trading Sa,7
Reliance Industries,BP,7
PBF Energy,ExxonMobil,7
Totsa Totalenergies Trading Sa,BP,7
Aramco Americas,Monroe Energy,7
Citgo,Ecopetrol,7
BP,Reliance Industries,7
Cemex,Emirates Aluminium (EGA),7
Chevron,ExxonMobil,6
Ep Petroecuador,Marathon Petroleum,6
ExxonMobil,Chevron,6
Valero,Aramco Americas,6
Shell,Valero,6
Chevron,Totsa Totalenergies Trading Sa,6
Valero,Vitol,6
Chevron,Reliance Industries,6
Aramco Americas,Valero,6
Reliance Industries,Chevron,6
Totsa Totalenergies Trading Sa,Chevron,6
Vitol,Valero,6
Valero,Shell,6
Marathon Petroleum,Ep Petroecuador,6
Gunvor Group,Marathon Petroleum,5
Valero,ExxonMobil,5
Marathon Petroleum,Gunvor Group,5
Marathon Petroleum,ExxonMobil,5
ExxonMobil,Marathon Petroleum,5
Puerto Rico Energy,Gunvor Group,5
Emirates Aluminium (EGA),BP,5
Gunvor Group,Puerto Rico Energy,5
BP,Emirates Aluminium (EGA),5
ExxonMobil,Valero,5
Trafigura,Monroe Energy,4
Shell,Puerto Rico Energy,4
