Entity,Roles,Role_Count,As_Shipper_Tons,As_Consignee_Tons,As_Notify_Party_Tons,Total_Tons
Chevron,Shipper+Consignee+Notify_Party,3,28006104.540000003,56791997.379999995,48973768.730000004,133771870.65
Valero,Shipper+Consignee+Notify_Party,3,11070498.370000001,43375095.33,51680822.0,106126415.7
PMI Trading,Shipper+Consignee+Notify_Party,3,40848649.69,6978565.74,5389929.350000001,53217144.78
Irving Oil,Shipper+Consignee+Notify_Party,3,18945928.939999998,18220174.78,486444.04,37652547.76
PBF Energy,Shipper+Consignee+Notify_Party,3,8153373.3100000005,17640898.18,11497017.170000002,37291288.660000004
ExxonMobil,Shipper+Consignee+Notify_Party,3,9563714.25,15746437.86,11003283.87,36313435.98
Marathon Petroleum,Shipper+Consignee+Notify_Party,3,1149797.63,17602242.250000004,12388101.260000002,31140141.140000004
Emirates Aluminium (EGA),Shipper+Consignee+Notify_Party,3,9379131.94,15226359.72,665502.8,25270994.46
Ternium,Shipper+Consignee+Notify_Party,3,6259517.0,8372261.75,8185547.57,22817326.32
Ecopetrol,Shipper+Consignee+Notify_Party,3,11932934.370000001,8441056.29,1326812.31,21700802.97
ArcelorMittal,Shipper+Consignee+Notify_Party,3,8481644.36,6770919.84,2076418.8599999999,17328983.06
State Oil Marketing Company (SOMO),Shipper+Notify_Party,2,15507624.02,0.0,63.0,15507687.02
Motiva Enterprises,Consignee+Notify_Party,2,0.0,474163.4300000001,14807532.99,15281696.42
Trafigura,Shipper+Consignee+Notify_Party,3,9981441.06,4734765.66,82129.78,14798336.5
Monroe Energy,Shipper+Consignee+Notify_Party,3,1106322.72,5483735.35,7909919.49,14499977.559999999
Citgo,Shipper+Consignee+Notify_Party,3,503859.25,5037822.34,8279002.78,13820684.370000001
Celanese,Shipper+Consignee+Notify_Party,3,4588390.66,4592361.840000001,4590322.840000001,13771075.34
Martin Marietta,Shipper+Consignee,2,5216170.0,8481079.17,0.0,13697249.17
Houston Refining,Consignee+Notify_Party,2,0.0,3127074.85,8640165.01,11767239.86
