Shipper,Consignee,Shipments,Tons,BOL_Count
Chevron,Chevron,646,21632293.85,646
Irving Oil,Irving Oil,2700,18220174.78,2700
PMI Trading,Valero,332,16424364.89,332
Bolanter Corporation,Saudi Refining Inc,216,14980445.959999999,216
Valero,Valero,397,10255851.85,397
Ecopetrol,Ecopetrol,116,8361024.29,116
PBF Energy,PBF Energy,146,8153373.31,146
ExxonMobil,ExxonMobil,236,7673326.7,236
PDVSA,Chevron,116,7228288.32,116
State Oil Marketing Company (SOMO),Chevron,147,6701045.46,147
PMI Trading,PMI Trading,97,6541391.2,97
Petropiar,Chevron,93,6461492.57,93
Ternium,Ternium,131,6202458.0,131
Chevron,Valero,206,5742493.9799999995,206
Orca Sand and Gravel,Emirates Aluminium (EGA),186,5550969.43,186
Martin Marietta,Martin Marietta,103,5216170.0,103
State Oil Marketing Company (SOMO),Marathon Petroleum,30,4861910.62,30
PMI Trading,Chevron,74,4654909.12,74
Celanese,Celanese,199,4588386.0,199
Compania Minera,Mosaic,84,4482763.0200000005,84
ArcelorMittal,ArcelorMittal,3715,4479043.63,3715
Emirates Aluminium (EGA),Emirates Aluminium (EGA),305,4250608.27,305
Discovery Bauxite,Atalco Gramercy,96,3975558.0,96
Dubai Aluminium,Emirates Aluminium (EGA),201,3963003.27,201
Trafigura,Trafigura,104,3922716.96,104
Eucatex,Eucatex,49,3579905.34,49
Interpipe,North American Marine,187,3372548.17,187
Compass Minerals,Compass Minerals,203,3348505.03,203
Bahama Rock,Martin Marietta,89,3264909.17,89
Sudati,Sudati,53,2951958.27,53
Emirates Aluminium (EGA),Vulcan Materials,69,2889135.51,69
PMI Trading,PBF Energy,68,2595396.22,68
Drummond,Aes Puerto Rico Lp,64,2468800.0,64
Sociedad Punta de Lobos,Morton Salt,88,2431965.46,88
PMI Trading,ExxonMobil,83,2226446.31,83
Shell,PBF Energy,31,2101188.38,31
PMI Trading,Marathon Petroleum,32,2099277.03,32
Suncor Energy,Suncor Energy,72,1933699.39,72
Cemex,Cemex,106,1922165.65,106
Taiheiyo Cement Corporation,Glacier Northwest,73,1889043.74,73
Compania Minera,Eastern Salt Co. Inc.,46,1872121.06,46
State Oil Marketing Company (SOMO),Valero,32,1828860.93,32
Toyota Motor Corporation,Toyota Motor Sales,1039,1810376.49,1039
Emirates Aluminium (EGA),Blue Water Industries,36,1809300.0,36
Nfe Transport Partners Llc,New Fortress Energy,248,1797643.28,248
Natural Oleochemicals Sdn Bhd,Wilmar Oleo Quimico S.De.Rl.De.C.V.,4,1760616.0,4
Nu Iron Unlimited,The David J. Joseph Co.,48,1612511.35,48
Carver Materials Canada Ltd.,Carver Sand & Gravel Se Llc,40,1602948.05,40
Ecopetrol,Houston Refining,17,1427055.68,17
Petrobras,ExxonMobil,18,1418423.75,18
Novum Energy Trading Corp.,Puerto Rico Electric Power Authorit,57,1315867.85,57
Aramco Americas,Aramco Americas,36,1310664.44,36
Carib Lpg Trading Ltd.,Carib Lpg Trading Ltd.,19,1300385.22,19
Lafrage Emirates Cement Llc,Hollingshead Cement Llc,31,1263341.0,31
Trafigura,Marathon Petroleum,49,1256275.6,49
Reliance Industries,Ril Usa Inc.,47,1245046.85,47
Iron Ore Company of Canada,ArcelorMittal,15,1226705.0,15
Trafigura,Chevron,35,1225220.83,35
Suncor International Energy & Trading,Suncor Energy,20,1217473.8399999999,20
ArcelorMittal,California Steel Industries Inc.,40,1197016.82,40
Morton Bahamas Ltd.,Morton Salt,29,1173631.0,29
Cemtech Global Muhendislik As,On Site Concrete Solutions,53,1167517.48,53
S-Oil,Idemitsu Apollo,31,1159076.03,31
PMI Trading,Hunt Crude Oil Supply Co.,27,1117086.31,27
PMI Trading,Houston Refining,13,1030708.85,13
Mitsui & Co. Deutschland Gmb H,Mitsui & Co Usa Inc.,14,1020307.0,14
Mazda Motor Corporation,Mazda Motor Of America Inc.,1272,1013303.55,1272
PMI Trading,Citgo,14,996360.03,14
Marathon Petroleum,Marathon Petroleum,15,995988.96,15
Cenovus Energy,Chevron,18,974867.18,18
National Oil Corp,PAR Hawaii Refining,7,967110.8,7
Vitol,Vitol,90,964043.54,90
Petrobras,BP,14,952718.0,14
Lafarge Texada Quarrying,Ash Grove Cement Co.,106,951372.0,106
Saudi Cement Co.,Sesco Cement Corp.,21,943974.0,21
Vale,Nucor Steel,12,931350.0,12
The Dow Chemical Co.,Dow Europe Gmb H Plant F412,4,925952.1000000001,4
Gs Caltex Corporation,Iig Capital,26,923940.0,26
Hyundai Mobis,Hyundai Motor America,1730,922348.74,1730
St. Mary's Cement Corp.,Mcinnis Usa Inc.,64,914706.33,64
Asociacion De Azucareros De,Csc Sugar Llc,22,907866.1,22
Subaru Corp.,Subaru Ofamerica Inc.,968,886177.37,968
Petrobras,Petrobras,20,879983.41,20
State Oil Marketing Company (SOMO),Eni Trade & Biofuels Sp A,18,857808.0,18
Sabic Agri Nutrients Co.,Sabic Americas,23,834100.89,23
Ergon Oil Purchasing Inc.,Ergon Oil Purchasing Inc.,12,822734.24,12
Perstorp Oxo Ab,Perstorp Polyols Inc.,27,818894.64,27
Food Security Solutions Dmcc,Ukt Chicago Inc.,43,818112.29,43
Zona Franca Argos S.A.S.,Argos Usa,99,792026.96,99
Nnpc Suppliers To Nnpc Trading Sa,Monroe Energy,15,784088.66,15
ArcelorMittal,Nlmk Pennsylvania Corp.,16,775034.51,16
Upm Sales Oy,Upm Naperville,12604,764172.66,12604
Shell,Marathon Petroleum,16,756763.41,16
Kia,Kia America Inc.,577,756760.22,577
Formosa Ha Tinh Steel,Ternium,16,756661.0,16
