Entity_ID,Entity_Name,Total_Records,Total_Tons,Record_Count_Shipper,Total_Tons_Shipper,Record_Count_Consignee,Total_Tons_Consignee,Record_Count_Notify Party,Total_Tons_Notify Party
CHEVRON-001,Chevron,3422,135942763.68,878,28006106.28,1457,58716615.65,1087,49220041.75
VALERO-001,Valero,3759,106899456.3,448,11177163.43,1245,43527418.33,2066,52194874.54
PMI-001,PMI Trading,1039,53500149.4,855,40851684.15,107,7067185.74,77,5581279.51
EXXONMOBIL-001,ExxonMobil,1368,41887889.94,311,9563714.25,692,19038868.36,365,13285307.33
PBF-001,PBF Energy,812,38618606.599999994,146,8153373.31,391,18298928.56,275,12166304.73
IRVING-001,Irving Oil,5551,37884295.800000004,2773,18945928.94,2706,18336048.8,72,602318.06
MARATHON-001,Marathon Petroleum,783,31884023.9,23,1149797.63,437,17913587.53,323,12820638.74
EMIRATES-001,Emirates Aluminium (EGA),3491,25544585.07,944,9439835.24,1368,15338585.41,1179,766164.42
ECOPETROL-001,Ecopetrol,412,23440479.009999998,236,11950543.91,158,10163122.79,18,1326812.31
TERNIUM-001,Ternium,955,22863652.939999998,132,6259517.0,629,8418588.37,194,8185547.57
ARCELORMITTAL-001,ArcelorMittal,9076,17394622.77,4287,8509860.02,4676,6808343.89,113,2076418.86
SOMO-001,State Oil Marketing Company (SOMO),255,15692405.02,254,15692342.02,0,0.0,1,63.0
TRAFIGURA-001,Trafigura,661,15316146.94,405,10188833.72,236,5005001.12,20,122312.1
MOTIVA-001,Motiva Enterprises,433,15282271.42,0,0.0,118,474738.43,315,14807532.99
MONROE-001,Monroe Energy,343,15222117.559999999,18,1106322.72,137,5844805.35,188,8270989.49
BOLANTER-001,Bolanter Corporation,216,14980445.959999999,216,14980445.959999999,0,0.0,0,0.0
SAUDI-REFINING-001,Saudi Refining Inc,216,14980445.959999999,0,0.0,216,14980445.959999999,0,0.0
CITGO-001,Citgo,338,13913131.370000001,22,503859.25,116,5094433.34,200,8314838.78
MARTIN-001,Martin Marietta,297,13791249.17,105,5310170.0,192,8481079.17,0,0.0
CELANESE-001,Celanese,608,13775097.34,205,4588390.66,203,4596383.84,200,4590322.84
HOUSTON-REFINING-001,Houston Refining,167,11767239.86,0,0.0,44,3127074.85,123,8640165.01
EUCATEX-001,Eucatex,150,10739866.24,52,3580055.56,49,3579905.34,49,3579905.34
CEMEX-001,Cemex,604,10384659.74,128,2359928.85,238,4197444.05,238,3827286.84
COPPERSMITH-001,Coppersmith Global Logistics,1317,10210997.030000001,0,0.0,649,4970220.45,668,5240776.58
MOSAIC-001,Mosaic,185,9968144.94,0,0.0,96,5144476.47,89,4823668.47
BP-001,BP,453,9598129.58,55,1309202.68,209,4848268.99,189,3440657.91
SUDATI-001,Sudati,211,9345524.95,101,3440961.11,55,2952281.92,55,2952281.92
COMPASS-001,Compass Minerals,530,8929318.28,219,3591416.15,203,3348505.03,108,1989397.1
VITOL-001,Vitol,662,8606901.25,130,1386919.38,451,6075350.07,81,1144631.8
SUNCOR-001,Suncor Energy,407,8243536.749999999,291,4588119.3,110,3440930.23,6,214487.22
PDVSA-001,PDVSA,131,8090092.67,131,8090092.67,0,0.0,0,0.0
ATALCO-001,Atalco Gramercy,192,7951116.0,0,0.0,96,3975558.0,96,3975558.0
PAR-HAWAII-001,PAR Hawaii Refining,162,7679077.14,14,466529.53,71,3421290.57,77,3791257.04
PAULSBORO-001,Paulsboro Refining,140,7638623.4,0,0.0,3,81195.0,137,7557428.4
MORTON-001,Morton Salt,249,7397403.109999999,0,0.0,149,4589922.01,100,2807481.1
SHELL-001,Shell,171,7047385.140000001,67,3604070.66,85,2881805.67,19,561508.81
PETROPIAR-001,Petropiar,95,6613398.57,95,6613398.57,0,0.0,0,0.0
VULCAN-001,Vulcan Materials,163,6603185.380000001,0,0.0,92,3310607.89,71,3292577.49
COMPANIA-MINERA-001,Compania Minera,266,6526940.74,266,6526940.74,0,0.0,0,0.0
PERIN-001,Perin Trading,36,6093450.12,0,0.0,18,3046725.06,18,3046725.06
GLACIER-001,Glacier Northwest,252,6008647.48,0,0.0,144,3154199.74,108,2854447.74
PETROBRAS-001,Petrobras,129,5914863.510000001,92,4629423.88,35,1248937.35,2,36502.28
DELAWARE-CITY-001,Delaware City Refining,176,5873990.61,0,0.0,8,164607.2,168,5709383.41
PUERTO-RICO-001,Puerto Rico Energy,387,5799133.9399999995,0,0.0,183,2872671.92,204,2926462.02
ARAMCO-001,Aramco Americas,158,5779853.7299999995,70,2843096.38,86,2814695.05,2,122062.3
ORCA-001,Orca Sand and Gravel,192,5644144.21,190,5586144.21,2,58000.0,0,0.0
IDEMITSU-001,Idemitsu Apollo,351,5342672.75,77,298959.29000000004,179,3321267.12,95,1722446.34
NUCOR-001,Nucor Steel,94,4300571.859999999,0,0.0,66,2212604.01,28,2087967.85
BIEHL-001,Biehl & Co,195,4245369.93,3,100.14,75,1642663.65,117,2602606.14
DISCOVERY-001,Discovery Bauxite,96,3975558.0,96,3975558.0,0,0.0,0,0.0
DUBAI-001,Dubai Aluminium,216,3969769.94,216,3969769.94,0,0.0,0,0.0
FIBRIA-001,Fibria Celulose,813,3800131.34,0,0.0,813,3800131.34,0,0.0
BLUE-WATER-001,Blue Water Industries,72,3618600.0,0,0.0,36,1809300.0,36,1809300.0
BAHAMA-ROCK-001,Bahama Rock,101,3578425.17,101,3578425.17,0,0.0,0,0.0
RELIANCE-001,Reliance Industries,155,3410173.38,150,3255998.38,4,126308.0,1,27867.0
INTERPIPE-001,Interpipe,217,3384885.1100000003,188,3372823.72,29,12061.39,0,0.0
GREEN-WORLDWIDE-001,Green Worldwide Shipping,231,3373559.89,0,0.0,18,11.379999999999999,213,3373548.5100000002
NORTH-AMERICAN-MARINE-001,North American Marine,197,3372867.59,0,0.0,197,3372867.59,0,0.0
MEDCEM-001,Medcem Global,101,3236602.64,101,3236602.64,0,0.0,0,0.0
EBROKERAGE-001,eBrokerage Service,109,2803841.14,0,0.0,6,6628.94,103,2797212.2
VALE-001,Vale,979,2652103.4,100,2286230.8,202,161572.99,677,204299.61000000002
DRUMMOND-001,Drummond,71,2545837.95,64,2468800.0,4,77035.0,3,2.9499999999999997
SOCIEDAD-LOBOS-001,Sociedad Punta de Lobos,90,2542065.46,90,2542065.46,0,0.0,0,0.0
ABU-DHABI-001,Abu Dhabi National Oil Company,151,2517053.73,149,2426449.73,2,90604.0,0,0.0
S-OIL-001,S-Oil,182,2504832.95,182,2504832.95,0,0.0,0,0.0
HERITAGE-001,Heritage Petroleum,37,2427327.98,37,2427327.98,0,0.0,0,0.0
IRON-ORE-001,Iron Ore Company of Canada,29,2307723.0,29,2307723.0,0,0.0,0,0.0
GRUPO-MEDINA-001,Grupo Medina,4,1760616.0,0,0.0,0,0.0,4,1760616.0
