Entity_ID,Entity_Name,Entity_Tons,Entity_Rank,Parent_Company,Parent_Tons,Parent_Rank,Rank_Change,Subsidiary_Count,Role
PMI-001,PMI Trading,40577035.15,1,Philip Morris International,40577035.15,1,0,1,Shipper
CHEVRON-001,Chevron,28006106.28,2,Chevron Corporation,28006106.28,2,0,1,Shipper
IRVING-001,Irving Oil,18945928.94,3,Irving Oil,18945928.94,3,0,1,Shipper
SOMO-001,State Oil Marketing Company (SOMO),15692342.02,4,Iraqi Government,15692342.02,4,0,1,Shipper
BOLANTER-001,Bolanter Corporation,14980445.959999999,5,Bolanter Corporation,14980445.959999999,5,0,1,Shipper
ECOPETROL-001,Ecopetrol,11950543.91,6,Ecopetrol,11950543.91,7,-1,1,Shipper
VALERO-001,Valero,11177163.43,7,Valero Energy Corporation,11177163.43,8,-1,1,Shipper
TRAFIGURA-001,Trafigura,10188833.72,8,Trafigura Group,10188833.72,9,-1,1,Shipper
EXXONMOBIL-001,ExxonMobil,9563714.25,9,Exxon Mobil Corporation,9563714.25,10,-1,1,Shipper
EMIRATES-001,Emirates Aluminium (EGA),9439835.24,10,Emirates Global Aluminium,13409605.18,6,4,2,Shipper
PBF-001,PBF Energy,8153373.31,11,PBF Energy,8153373.31,11,0,3,Shipper
PDVSA-001,PDVSA,8090092.67,12,Venezuelan Government,8090092.67,12,0,1,Shipper
PETROPIAR-001,Petropiar,6613398.57,13,PDVSA/Chevron JV,6613398.57,13,0,1,Shipper
COMPANIA-MINERA-001,Compania Minera,6526940.74,14,Compania Minera,6526940.74,14,0,1,Shipper
TERNIUM-001,Ternium,6259517.0,15,Ternium,6259517.0,15,0,1,Shipper
MARTIN-001,Martin Marietta,5310170.0,16,Martin Marietta,5310170.0,16,0,1,Shipper
PETROBRAS-001,Petrobras,4629423.88,17,Petroleo Brasileiro,4629423.88,17,0,1,Shipper
CELANESE-001,Celanese,4588390.66,18,Celanese Corporation,4588390.66,18,0,1,Shipper
DUBAI-001,Dubai Aluminium,3969769.94,19,Emirates Global Aluminium,13409605.18,6,13,2,Shipper
BP-001,BP,1309202.68,20,BP plc,1309202.68,19,1,1,Shipper
MARATHON-001,Marathon Petroleum,1149797.63,21,Marathon Petroleum Corporation,1149797.63,20,1,1,Shipper
CITGO-001,Citgo,503859.25,22,PDVSA (Venezuelan state),503859.25,21,1,1,Shipper
CHEVRON-001,Chevron,58716615.65,1,Chevron Corporation,58716615.65,1,0,1,Consignee
VALERO-001,Valero,43527418.33,2,Valero Energy Corporation,43527418.33,2,0,1,Consignee
EXXONMOBIL-001,ExxonMobil,19038868.36,3,Exxon Mobil Corporation,19038868.36,3,0,1,Consignee
IRVING-001,Irving Oil,18336048.8,4,Irving Oil,18336048.8,4,0,1,Consignee
PBF-001,PBF Energy,18298928.56,5,PBF Energy,18298928.56,5,0,3,Consignee
MARATHON-001,Marathon Petroleum,17365076.46,6,Marathon Petroleum Corporation,17365076.46,6,0,1,Consignee
EMIRATES-001,Emirates Aluminium (EGA),15338585.41,7,Emirates Global Aluminium,15338585.41,7,0,2,Consignee
SAUDI-REFINING-001,Saudi Refining Inc,14980445.959999999,8,Saudi Aramco/Shell JV,14980445.959999999,8,0,1,Consignee
ECOPETROL-001,Ecopetrol,10163122.79,9,Ecopetrol,10163122.79,9,0,1,Consignee
MARTIN-001,Martin Marietta,8481079.17,10,Martin Marietta,8481079.17,10,0,1,Consignee
TERNIUM-001,Ternium,8418588.37,11,Ternium,8418588.37,11,0,1,Consignee
MOSAIC-001,Mosaic,5144476.47,12,The Mosaic Company,5144476.47,12,0,1,Consignee
CITGO-001,Citgo,5094433.34,13,PDVSA (Venezuelan state),5094433.34,13,0,1,Consignee
TRAFIGURA-001,Trafigura,5005001.12,14,Trafigura Group,5005001.12,14,0,1,Consignee
BP-001,BP,4848268.99,15,BP plc,4848268.99,15,0,1,Consignee
CELANESE-001,Celanese,4596383.84,16,Celanese Corporation,4596383.84,16,0,1,Consignee
MORTON-001,Morton Salt,4589922.01,17,K+S Group,4589922.01,17,0,1,Consignee
VULCAN-001,Vulcan Materials,3310607.89,18,Vulcan Materials Company,3310607.89,18,0,1,Consignee
PETROBRAS-001,Petrobras,1248937.35,19,Petroleo Brasileiro,1248937.35,19,0,1,Consignee
PMI-001,PMI Trading,705249.58,20,Philip Morris International,705249.58,20,0,1,Consignee
MOTIVA-001,Motiva Enterprises,474738.43,21,Saudi Aramco,474738.43,21,0,2,Consignee
