Port,Country,Total_Tonnage,Num_Commodities,HHI,Shannon_Entropy,Top3_Concentration_Pct,Specialization_Type,Top1_Commodity,Top1_Tonnage,Top1_Share_Pct,Top2_Commodity,Top2_Tonnage,Top2_Share_Pct,Top3_Commodity,Top3_Tonnage,Top3_Share_Pct
"Rotterdam, Netherlands",Netherlands,13550243.870000001,7,0.7850451410962799,0.49158238817185773,96.47345719689987,Moderately Specialized,Chemicals,11971298.41,88.34747569749827,Petroleum Products,604295.42,4.459664532960173,General Cargo,496794.89,3.666316966441431
"All Other Brazil Ports South Of Recife, Brazil",Brazil,11317372.55,6,0.46733785738499833,1.0649442930770567,91.7100201848529,Moderately Specialized,General Cargo,7366219.19,65.08771499264641,Forestry,2060171.86,18.20362324292311,Steel,952773.6,8.41868194928336
"Sepetiba Bay, Brazil",Brazil,10843991.040000001,3,0.5020356698864161,0.6912965956274751,99.99999999999999,Moderately Specialized,Steel,5769405.82,53.20371253276137,General Cargo,5074387.26,46.79446194009396,Agricultural Products,197.96,0.0018255271446627828
"Armuelles, Panama",Panama,9821347.62,3,0.5004411389608582,0.6927069186900212,100.0,Moderately Specialized,Crude Oil,5056545.83,51.48525462740927,Petroleum Products,4764801.21,48.514739467087516,General Cargo,0.5800000000000001,5.9055032205448004e-06
"Jose, Venezuela",Venezuela,9750842.82,4,0.8286039601035908,0.36036678759929847,99.90770028636355,Moderately Specialized,Crude Oil,8845106.85,90.71120325986342,General Cargo,717364.97,7.356953478202,Chemicals,179371.0,1.8395435482981153
"Vancouver, BC, Canada",Canada,9458642.5,7,0.2950837754386655,1.335436649600309,85.99698011633275,Moderately Specialized,General Cargo,3644786.08,38.5339236576496,Petroleum Products,3127589.15,33.06594101637735,Chemicals,1361771.68,14.397115442305806
"Sao Paulo, Brazil",Brazil,9232259.96,7,0.3495892374033506,1.3609012022614655,81.86888413831014,Moderately Specialized,General Cargo,5052371.52,54.72518691945497,Chemicals,1317012.16,14.265327944686684,Petroleum Products,1188964.53,12.878369274168488
"All Other United Arab Emirates Ports, United Arab Emirates",United Arab Emirates,9153881.82,2,0.9905460379612767,0.030146888242764756,100.0,Moderately Specialized,General Cargo,9110405.1,99.52504608585825,Forestry,43476.72,0.47495391414174926,,0.0,0.0
"Freeport, Grand Bahama I, Bahamas",Bahamas,8496507.780000001,8,0.29407204586947994,1.316873950518978,84.58341163314982,Moderately Specialized,Construction Materials,3578416.0,42.116315228043014,Petroleum Products,2164165.58,25.471236371892076,General Cargo,1444054.57,16.995860033214726
"Coatzacoalcos, Mexico",Mexico,7996215.68,6,0.5705015598078637,0.8373951494377648,96.93654999060756,Moderately Specialized,Chemicals,5877860.97,73.5080343655763,Crude Oil,1186672.16,14.840422113276464,Petroleum Products,686722.48,8.588093511754801
"Onsan, South Korea",South Korea,6558347.109999999,7,0.27913576937494017,1.3626200158576791,90.58855547522249,Moderately Specialized,Petroleum Products,2048133.84,31.229421158222294,Ro/Ro,1985666.6,30.276936653326974,Chemicals,1907311.47,29.08219766367322
"Antwerp, Belgium",Belgium,6491042.86,9,0.2302115414070028,1.644325957769048,78.64973379639648,Moderately Specialized,Chemicals,2138068.19,32.93874707214612,Steel,1791603.8800000001,27.60117162436977,General Cargo,1175515.86,18.109815099880578
"Rio De Janeiro, Brazil",Brazil,6234239.01,5,0.8565006979805662,0.3131952083948801,99.687401141202,Moderately Specialized,General Cargo,5755566.33,92.32187474313726,Petroleum Products,397203.52,6.371323257944839,Crude Oil,61981.0,0.9942031401199038
"All Other Canada Pacific Region Ports, Canada",Canada,5999580.58,3,0.881943972804109,0.2695978813347124,99.99999999999999,Moderately Specialized,Construction Materials,5626969.43,93.78938002362824,Petroleum Products,267975.08,4.466563561014794,General Cargo,104636.07,1.7440564153569549
"All Other Viet Nam Ports, Vietnam",Vietnam,5807352.87,4,0.679333855508571,0.6008629756451196,99.80628730074052,Moderately Specialized,General Cargo,4708403.53,81.07658748141475,Steel,817742.66,14.08116018271161,Ro/Ro,269957.1,4.648539636614159
"Auld's Cove, Ns, Canada",Canada,5310183.66,2,0.9999948551817657,3.568111390943163e-05,100.0,Moderately Specialized,Construction Materials,5310170.0,99.99974275842655,General Cargo,13.66,0.00025724157344870444,,0.0,0.0
"Orangestad, Aruba",Aruba,5224989.6,4,0.9797991768536821,0.05726736383066341,99.99999980861207,Moderately Specialized,Crude Oil,5171673.82,98.97960026561586,Petroleum Products,53040.0,1.0151216377540733,General Cargo,275.77,0.005277905242146319
"All Other Colombian Caribbean Region Ports, Colombia",Colombia,4854617.28,3,0.875833993942507,0.2864990077944672,100.0,Moderately Specialized,Crude Oil,4537712.38,93.47209302563188,General Cargo,159527.12,3.2860905566586704,Petroleum Products,157377.78,3.241816417709451
"Dos Bocas, Mexico",Mexico,4449156.21,4,0.44068882866527537,0.9476312407240707,99.99988492199962,Moderately Specialized,Crude Oil,2664899.94,59.89674927597114,Petroleum Products,1014525.77,22.8026556523175,General Cargo,769725.38,17.300479993710987
"All Other Peru Ports, Peru",Peru,4367929.82,2,0.9787312350225399,0.05941988873849391,100.0,Moderately Specialized,General Cargo,4320974.82,98.92500562199967,Crude Oil,46955.0,1.0749943780003315,,0.0,0.0
