HS2,HS2_Description,Record_Count,Total_Tons,Shipper_Coverage_Pct,Consignee_Coverage_Pct,Either_Coverage_Pct,Both_Coverage_Pct,Tonnage_Coverage_Pct,Tons_Harmonized,Tons_Unmatched
27.0,Crude Oil/Petroleum,22282,377540236.33,33.8,38.7,42.9,29.7,71.6,270133053.64,107407182.69
72.0,Iron/Steel,48355,51986013.46,6.3,9.2,9.9,5.5,26.7,13902772.35,38083241.11
68.0,Stone/Plaster,2190,44154721.45,27.4,21.6,30.4,18.7,50.8,22422172.67,21732548.78
25.0,Salt/Cement,2412,38899614.14,23.0,27.9,30.6,20.3,46.9,18226654.34,20672959.8
87.0,Vehicles,129266,23057966.13,0.1,0.3,0.4,0.0,1.9,436180.29,22621785.84
44.0,Wood,6828,17177393.12,2.5,1.9,2.9,1.5,62.5,10743520.68,6433872.44
29.0,Organic Chem,5365,16554758.48,6.1,6.1,7.1,5.0,32.5,5388000.08,11166758.4
31.0,Fertilizers,1279,15661225.68,2.0,1.4,2.7,0.8,16.1,2515960.45,13145265.23
26.0,Ores,836,15251376.38,18.8,17.2,22.1,13.9,38.8,5914347.98,9337028.4
76.0,Aluminum,12386,13750273.99,4.0,3.9,4.3,3.6,66.8,9191931.45,4558342.54
84.0,Machinery,88044,13050800.47,0.2,0.5,0.6,0.1,26.7,3489738.03,9561062.44
73.0,Steel Articles,23823,11967678.91,2.3,2.4,3.4,1.3,32.9,3938185.83,8029493.08
38.0,Misc Chem,2255,11619111.78,9.7,8.4,11.7,6.4,64.7,7519851.73,4099260.05
28.0,Inorganic Chem,1970,7821865.93,1.8,1.7,1.9,1.6,13.3,1038293.45,6783572.48
15.0,Animal/Veg Fats,4486,7753053.13,0.5,3.2,3.4,0.3,8.9,692938.65,7060114.4799999995
47.0,Pulp/Paper,2668,7149445.67,0.4,31.0,31.1,0.3,54.4,3887345.75,3262099.92
23.0,Food Residues,1143,6910065.14,3.8,4.7,6.2,2.4,17.3,1195291.09,5714774.05
17.0,Sugars,913,5152994.28,3.2,0.0,3.2,0.0,1.5,78003.49,5074990.79
48.0,Paper Articles,15296,4593009.93,0.1,0.3,0.4,0.1,22.4,1027570.05,3565439.88
39.0,Plastics,6490,4470831.15,1.1,1.0,1.6,0.4,31.6,1414295.59,3056535.56
85.0,Electrical Machinery,10590,3030404.27,0.2,0.7,0.7,0.2,37.2,1126309.47,1904094.8
22.0,Beverages,2209,2336870.9899999998,0.2,0.2,0.2,0.1,4.7,109478.6,2227392.39
40.0,Rubber,5488,2137708.35,0.3,0.6,0.6,0.3,45.9,980489.6900000001,1157218.66
95.0,Toys/Games,2900,1939757.86,1.2,1.3,1.3,1.1,86.5,1677419.03,262338.83
7.0,Vegetables,256,1718386.89,16.8,0.0,16.8,0.0,96.7,1661400.0,56986.89
20.0,Veg/Fruit Preps,626,1614781.96,0.6,0.8,1.1,0.3,2.5,40393.78,1574388.18
10.0,Cereals,359,1563555.92,0.0,0.0,0.0,0.0,0.0,0.0,1563555.92
9.0,Coffee/Tea/Spices,1322,1556671.69,2.0,2.0,2.0,2.0,81.6,1270734.0,285937.69
8.0,Fruits,7743,1518758.3,0.0,0.3,0.3,0.0,0.0,360.08,1518398.22
12.0,Oil Seeds,880,1388399.48,0.1,0.1,0.1,0.1,0.0,19.91,1388379.57
69.0,Ceramics,380,1334562.12,0.3,1.1,1.3,0.0,12.7,169501.23,1165060.89
74.0,Copper,2154,1250861.8,4.5,1.4,5.9,0.0,5.1,63262.0,1187599.8
11.0,Milling Products,231,808066.76,0.0,10.8,10.8,0.0,18.5,149770.0,658296.76
30.0,Pharmaceuticals,242,680248.98,0.0,0.0,0.0,0.0,0.0,0.0,680248.98
61.0,Knitted Apparel,1195,482453.36,0.5,0.8,1.2,0.2,9.3,44655.4,437797.96
94.0,Furniture,4298,429839.99,22.6,27.8,27.9,22.5,29.5,126823.41,303016.58
62.0,Woven Apparel,558,407897.11,0.0,0.2,0.2,0.0,0.1,443.38,407453.73
99.0,Special Provisions,60,401837.87,0.0,0.0,0.0,0.0,0.0,0.0,401837.87
86.0,Railway/Tramway,5482,388352.8,1.9,1.9,2.0,1.8,6.4,25039.56,363313.24
32.0,Tanning/Dyeing,588,321738.5,0.0,0.0,0.0,0.0,0.0,0.0,321738.5
52.0,Cotton,198,247133.69,0.0,1.0,1.0,0.0,61.6,152260.0,94873.69
34.0,Soaps/Waxes,545,228760.05,0.0,0.0,0.0,0.0,0.0,0.0,228760.05
89.0,Ships/Boats,5258,218481.33,0.8,0.7,0.8,0.6,0.3,741.98,217739.35
3.0,Fish,201,202793.07,0.0,1.5,1.5,0.0,2.3,4603.77,198189.3
53.0,Veg Textile Fibers,36,187826.9,0.0,0.0,0.0,0.0,0.0,0.0,187826.9
13.0,Lac/Gums,39,175357.15,5.1,2.6,7.7,0.0,11.0,19220.46,156136.69
21.0,Misc Food Preps,248,171332.27,0.8,0.4,1.2,0.0,0.0,1.8,171330.47
18.0,Cocoa,359,128190.34,0.0,0.0,0.0,0.0,0.0,0.0,128190.34
96.0,Misc Manufactures,95,109907.40000000001,0.0,0.0,0.0,0.0,0.0,0.0,109907.40000000001
2.0,Meat,218,108542.14,0.0,0.0,0.0,0.0,0.0,0.0,108542.14
70.0,Glass,566,107324.27,0.2,0.2,0.2,0.2,0.0,2.72,107321.55
41.0,Hides/Skins,27,104033.22,0.0,0.0,0.0,0.0,0.0,0.0,104033.22
33.0,Perfumes,1588,92670.51,0.0,0.1,0.1,0.0,0.0,0.03,92670.48
78.0,Lead,25,91816.22,0.0,0.0,0.0,0.0,0.0,0.0,91816.22
79.0,Zinc,36,90964.34,2.8,5.6,8.3,0.0,29.3,26665.719999999998,64298.619999999995
24.0,Tobacco,182,89700.87,0.0,0.0,0.0,0.0,0.0,0.0,89700.87
88.0,Aircraft,1090,77339.55,0.0,0.0,0.0,0.0,0.0,0.0,77339.55
64.0,Footwear,247,68156.67,0.0,0.0,0.0,0.0,0.0,0.0,68156.67
90.0,Optical/Medical,1555,54372.64,0.1,1.1,1.2,0.0,0.0,0.37,54372.270000000004
55.0,Man-Made Staple,68,53000.54,2.9,1.5,4.4,0.0,43.7,23155.15,29845.39
81.0,Other Base Metals,143,46853.02,0.7,0.0,0.7,0.0,3.2,1499.47,45353.55
63.0,Textile Articles,1000,46796.43,0.5,0.5,0.5,0.5,0.5,238.93,46557.5
42.0,Leather Articles,680,30883.29,0.3,0.1,0.4,0.0,0.0,3.36,30879.929999999997
83.0,Misc Base Metal,235,29004.69,9.4,10.2,10.2,9.4,77.6,22498.38,6506.3099999999995
57.0,Carpets,287,26640.91,0.0,0.0,0.0,0.0,0.0,0.0,26640.91
91.0,Clocks/Watches,48,18214.010000000002,0.0,0.0,0.0,0.0,0.0,0.0,18214.010000000002
80.0,Tin,3,16004.0,0.0,0.0,0.0,0.0,0.0,0.0,16004.0
