Entity_Name,Port_of_Loading,Port_of_Discharge,HS2,HS4,Confidence_Score,Known_Shipments,Inferable_Records,Inferable_Tonnage
Irving Oil,"Saint John, Nb, Canada","Port Of Boston, Boston, Massachusetts",27,2710,17605.6,1748,875,6289557.48
Irving Oil,"Saint John, Nb, Canada","Port of Portland, Portland, Maine",27,2710,19152.7,1905,886,4737920.82
Irving Oil,"Saint John, Nb, Canada","ProvPort, Providence, Rhode Island",27,2710,6212.2,616,301,2548059.0
Ecopetrol,"High Seas,Gulf Of Mexico","Houston, Houston, Texas",27,2709,815.7,76,46,2228228.21
ExxonMobil,"High Seas,Gulf Of Mexico","Houston, Houston, Texas",27,2710,644.7,61,46,2228228.21
State Oil Marketing Company (SOMO),"Al Basrah, Iraq","Port of Long Beach, Long Beach, California",27,2709,428.6,37,12,2026538.01
Emirates Aluminium (EGA),"All Other Canada Pacific Region Ports, Canada","Port of Redwood City, Redwood City, California",25,2505,475.3,46,53,1757600.0
Martin Marietta,"Auld's Cove, Ns, Canada","Tampa, Florida",68,6802,549.1,52,26,1454164.0
Irving Oil,"Saint John, Nb, Canada","Port Of NewHampshire, Portsmouth, New Hampshire",27,2710,3345.8,332,166,1289093.0
Martin Marietta,"Auld's Cove, Ns, Canada","Port Manatee, Florida",68,6802,483.2,46,23,1157548.0
PBF Energy,"High Seas,North Pacific","Port of Long Beach, Long Beach, California",27,2709,666.5,63,23,1030089.9899999999
Irving Oil,"Saint John, Nb, Canada","Searsport, Maine",27,2710,3541.4,352,167,1019221.02
Martin Marietta,"Auld's Cove, Ns, Canada","Port Canaveral, Port Canaveral, Florida",68,6802,420.3,40,20,1014200.0
Ecopetrol,"Covenas, Colombia","Houston, Houston, Texas",27,2709,530.9,49,17,1000107.5800000001
Emirates Aluminium (EGA),"All Other Canada Pacific Region Ports, Canada","Service Port-San Francisco, San Francisco, California",25,2505,418.5,41,49,994000.0
Emirates Aluminium (EGA),"All Other Canada Pacific Region Ports, Canada","Port of Richmond, Richmond, California",25,2505,427.1,42,48,848600.0
PMI Trading,"Pajaritos, Mexico","Alabama State Port Authority, Mobile, Alabama",27,2709,463.5,44,11,689535.0
Chevron,"Pajaritos, Mexico","Alabama State Port Authority, Mobile, Alabama",27,2709,553.9,52,11,689535.0
Chevron,"Cayo Arcas, Mexico","Alabama State Port Authority, Mobile, Alabama",27,2709,525.8,49,9,680825.0
Irving Oil,"Saint John, Nb, Canada","Port of New Haven, New Haven, Connecticut",27,2710,1070.7,106,54,546644.0
Valero,"Quebec, Que, Canada","Port of New Haven, New Haven, Connecticut",27,2710,977.7,96,15,393792.0
Trafigura,"Bahia Blanca, Argentina","New York/Newark Area, Newark, New Jersey",27,2710,421.5,42,106,386508.0
Irving Oil,"Saint John, Nb, Canada","Wilmington, Wilmington, North Carolina",27,2710,1167.5,116,59,380910.14
PMI Trading,"Altamira, Mexico","Houston, Houston, Texas",27,2710,623.2,61,18,356737.92
ExxonMobil,"Altamira, Mexico","Houston, Houston, Texas",27,2710,430.5,42,18,356737.92
Irving Oil,"Saint John, Nb, Canada","Baltimore, Maryland",27,2710,554.1,55,43,328212.0
ExxonMobil,"Rotterdam, Netherlands","Houston, Houston, Texas",29,2914,740.7,74,100,319899.61000000004
Motiva Enterprises,"Onsan, South Korea","Houston, Houston, Texas",27,2710,591.1,59,74,296353.93
Chevron,"Skikda, Algeria","Port of Richmond, Richmond, California",27,2710,670.6,62,4,286815.1
PMI Trading,"Dos Bocas, Mexico","Port Arthur, Texas",27,2709,951.5,89,6,256123.0
Valero,"Dos Bocas, Mexico","Port Arthur, Texas",27,2709,1695.8,158,6,256123.0
Valero,"Pajaritos, Mexico","Corpus Christi, Corpus Christi, Texas",27,2709,684.2,65,6,237402.0
Valero,"Quebec, Que, Canada","Port Of Boston, Boston, Massachusetts",27,2710,992.4,98,10,210725.0
Compania Minera,"All Other Chile Ports, Chile","Port Panama City, Panama City, Florida",74,7403,580.2,58,341,208841.88999999998
Irving Oil,"Saint John, Nb, Canada","Bangor, Maine",27,2710,604.1,60,30,206676.0
Chevron,"Armuelles, Panama","The Port of Los Angeles, Los Angeles, California",27,2709,4112.0,387,1,140388.99
Saudi Refining Inc,"High Seas,Gulf Of Mexico","Port Arthur, Texas",27,2709,2309.8,216,2,121334.0
Motiva Enterprises,"High Seas,Gulf Of Mexico","Port Arthur, Texas",27,2709,2170.5,203,2,121334.0
Bolanter Corporation,"High Seas,Gulf Of Mexico","Port Arthur, Texas",27,2709,2309.8,216,2,121334.0
Chevron,"All Other Bahrain Ports, Bahrain","Houston, Houston, Texas",27,2710,963.2,96,50,110872.56999999998
Irving Oil,"Saint John, Nb, Canada","The Port of Charleston, Charleston, South Carolina",27,2710,522.8,52,22,103536.0
