Keyword,Frequency,Records,Tonnage,Avg_Tons,Pct_Records,Pct_Tonnage
bbls,2869,2859,29249346.32,10230.621308149703,4.9310957415616,22.404253785897758
ton,2320,3446,27639989.29,8020.890681950087,5.943531278566377,21.17152731954305
tons,2287,1913,26581941.42,13895.421547307895,3.299470497938909,20.361089618208858
metric,2337,1858,24640937.32,13262.076060279871,3.204608565170148,18.874329949117282
bulk,20574,7243,22108978.67,3052.4615035206407,12.492454164438849,16.93491415673047
oil,4200,6405,18704788.6,2920.3417017954725,11.047103261525724,14.327391327696764
board,2304,2416,14204313.080000002,5879.268658940398,4.167025992169578,10.880141785632462
car,1228,3374,13962460.209999999,4138.251395969176,5.81934838476,10.69488865145822
ico,3074,922,12943443.670000002,14038.442158351412,1.5902309456872314,9.91434795408966
origin,2797,1600,12549966.959999999,7843.72935,2.759619862363959,9.61295482300104
not,3448,1545,12218105.73,7908.15904854369,2.6647579295951984,9.358757579162596
usa,2003,861,12015761.14,13955.587851335657,1.4850204384346055,9.203766780497684
during,1306,258,11756975.74,45569.673410852716,0.44498870280618846,9.005543759912754
coil,5083,3204,10366131.36,3235.3718352059923,5.526138774383829,7.940192414098143
steel,6477,6353,9830680.440000001,1547.4075932630255,10.957415615998896,7.5300506567293795
per,2228,5181,8246813.100000001,1591.741574985524,8.935994066817296,6.316848643244012
hot,3095,2926,5853458.07,2000.4983151059469,5.04665482329809,4.483599691105551
one,1849,1450,4940594.0,3407.306206896552,2.500905500267338,3.7843690801868064
new,1259,1557,3965298.5700000003,2546.7556647398847,2.685455078562928,3.037317638732703
net,8671,3513,3126385.88,889.9475889553088,6.059090360302869,2.3947319000518195
ref,2938,1583,2341998.08,1479.4681490840178,2.7302989013263423,1.7939108374031274
grade,1469,1062,2158993.76,2032.9508097928435,1.831697683644078,1.6537341926214244
form,1531,1992,1972744.06,990.3333634538153,3.4357267286431292,1.5110716694766229
alloy,2194,2220,1972369.25,888.4546171171171,3.8289725590299937,1.5107845745696247
deg,1481,766,1963392.2600000002,2563.1752741514365,1.3211680091067455,1.5039084290314273
com,1139,1904,1628502.8499999999,855.306118697479,3.2839476362131115,1.2473916764939788
coils,2263,1492,1568656.83,1051.378572386059,2.573345521654392,1.2015511505045449
total,10186,3027,1425661.44,470.98164519326065,5.2208558271098156,1.0920203263718082
weight,16642,3652,1393268.2800000003,381.5082913472071,6.298832335845737,1.0672079914352515
kgs,8735,2365,1350974.1300000001,571.2364186046512,4.079063109056728,1.0348117505110257
invoice,1865,551,1222061.7,2217.897822141561,0.9503440901015885,0.9360681147976385
bundles,1903,1160,1146919.38,988.7236034482758,2.0007244002138704,0.8785110128739625
stc,1633,1576,955678.81,606.3951840101523,2.7182255644285,0.7320256105143879
with,4400,2071,931921.18,449.98608401738295,3.57198295934735,0.7138278714590196
pieces,1532,1343,928777.74,691.5694266567386,2.3163559219717484,0.711420076537716
green,4125,518,883085.97,1704.79916988417,0.8934269304403318,0.6764213452906216
each,1531,498,845640.5899999999,1698.073473895582,0.8589316821607823,0.647739138602955
bag,4511,1334,827152.2400000001,620.0541529235384,2.300833060245951,0.633577533726361
unit,1511,1468,819116.19,557.9810558583106,2.5319512237189326,0.6274221242458743
payable,2434,1229,818494.04,665.9837591537836,2.119733006778316,0.6269455732029758
marks,4909,1335,775196.3500000001,580.6714232209739,2.302557822659929,0.5937806462165622
organic,2006,640,756839.99,1182.562484375,1.1038479449455838,0.5797201423158616
description,1297,1245,736361.4199999999,591.4549558232931,2.147329205401956,0.5640340796451702
certified,1274,394,706554.94,1793.2866497461928,0.679556391107125,0.541203075660385
ldc,2427,159,693089.29,4359.05213836478,0.27423722382241844,0.5308887309672939
gross,7225,1715,671721.74,391.6744839650146,2.957967539971369,0.5145217322745567
bags,7551,991,653583.11,659.5187790110999,1.7092395522516772,0.500628004004444
liner,1547,786,645280.98,820.9681679389313,1.355663257386295,0.49426878402569424
aluminium,1541,1004,603281.88,600.8783665338646,1.7316614636333845,0.4620985438813566
mts,5490,876,580381.64,662.5361187214612,1.5108918746442677,0.4445575437131872
astm,1166,1000,568209.39,568.20939,1.7247624139774747,0.4352339104544527
point,1188,696,529115.0700000001,760.222801724138,1.2004346401283223,0.40528865775428574
natural,2986,2987,504209.73,168.80138265818547,5.1518653305507165,0.3862118020912744
rubber,3055,3099,500776.73,161.59300742174895,5.345038720916194,0.38358221159015626
number,5711,1830,483672.35,264.3018306010929,3.1563152175787783,0.3704806924595081
equipment,1208,914,461736.66000000003,505.182341356674,1.576432846375412,0.35367851300728786
contains,1340,306,446407.72,1458.8487581699346,0.5277772986771072,0.34193693566496036
zinc,1187,1200,371390.98,309.4924833333333,2.0697148967729695,0.28447602482055323
container,5204,907,364234.27999999997,401.5813450937155,1.5643595094775693,0.27899417502755813
lot,2580,823,343860.77,417.8138153098421,1.4194794667034616,0.26338858563914114
cap,2210,517,328518.72,635.4327272727272,0.8917021680263544,0.25163696637095595
dip,1831,1851,315806.26,170.61386277687737,3.192535228272306,0.24189954602087024
dry,2832,319,261651.00999999998,820.2226018808777,0.5501992100588144,0.200418004807448
product,1271,1649,259118.63999999996,157.13683444511824,2.8441332206488554,0.1984782739314455
meal,1706,161,247610.17,1537.9513664596275,0.2776867486503734,0.18966307923456144
order,2465,2123,245013.65999999997,115.40916627414036,3.6616706048741787,0.18767421875333265
spec,1901,798,231495.65,290.09479949874685,1.376360406354025,0.1773197676347716
shipper,2461,618,206465.47999999998,334.08653721682845,1.0659031718380794,0.15814729537337563
parts,1658,1268,202496.14,159.6972712933754,2.186998740923438,0.15510688210226925
coated,1188,1224,196962.46,160.9170424836601,2.111109194708429,0.1508682242624127
collect,2228,851,184812.71999999997,217.17123384253816,1.467772814294831,0.14156183308995268
used,1205,1098,177235.99,161.41711293260474,1.893789130547267,0.13575825102250821
prepaid,1328,1019,160451.12,157.45939156035328,1.7575328998430464,0.12290146840832153
contract,2436,385,157942.59000000003,410.2404935064936,0.6640335293813278,0.120979998364695
serial,2045,1195,156687.99,131.11965690376567,2.061091084703082,0.12001900674142006
box,2249,1397,136147.67,97.45717251252685,2.409493092326532,0.10428564514458724
machine,1790,1242,129871.4,104.56634460547504,2.1421549181600232,0.099478182291557
only,2767,354,121771.20999999999,343.98646892655364,0.610565894548026,0.09327364320584415
seal,3031,241,117633.38,488.1053112033195,0.41566774176857135,0.09010417088914108
further,2606,273,99742.52000000002,365.3572161172162,0.4708601390158506,0.07640022812396934
