Consignee_Harmonized,January,February,March,April,May,June,July,August,September,October,November,December,Total,Peak_Month,Low_Month,Peak_Tons,Low_Tons,Peak_to_Low_Ratio
Chevron,5496382.13,4876173.23,4505061.88,5396292.11,3542120.49,5386405.72,5280543.85,6405525.99,3749626.23,5038072.48,4970804.54,4069607.0,58716615.65,August,May,6405525.99,3542120.49,1.8083873792785632
Ecopetrol,787182.72,697967.88,724714.88,838285.04,370133.0,758736.0,1275979.7,446269.8,1220366.62,856819.76,1327851.07,858816.3200000001,10163122.79,November,May,1327851.07,370133.0,3.5874971159015816
Emirates Aluminium (EGA),711388.85,502250.39,507868.04,443094.62,562800.41,634431.01,880338.9,781705.73,812171.5900000001,511065.1,590030.98,8401439.790000001,15338585.410000002,December,April,8401439.790000001,443094.62,18.960825545568575
ExxonMobil,1470640.04,1832454.28,2247411.37,2626932.58,2067798.01,998643.2,1624181.8,2217045.32,870094.49,869764.57,1200198.62,1013704.08,19038868.36,April,October,2626932.58,869764.57,3.0202800511867256
Irving Oil,1628073.8,1651270.0,1592135.0,1257212.16,1211204.02,1836254.28,1592593.0,1666068.0,1460147.48,1520207.0,1402564.0,1518320.06,18336048.8,June,May,1836254.28,1211204.02,1.5160569562838802
Marathon Petroleum,1334929.98,1429035.53,968687.2,1384123.61,1795993.3699999999,1991980.12,1668943.93,1778407.3,1491181.62,1744561.04,862491.47,1463252.36,17913587.53,June,November,1991980.12,862491.47,2.3095650093791655
PBF Energy,1574715.93,1659313.08,1397954.25,1156772.64,2292568.09,1260081.99,2230732.42,1736280.84,1173019.77,1153323.35,895077.11,1769089.0899999999,18298928.559999995,May,November,2292568.09,895077.11,2.561307919046215
Saudi Refining Inc,1110532.8,1125197.14,2053466.34,1802211.72,1552328.1,1363811.68,1245647.82,902416.6,1391861.78,755356.84,1043966.46,633648.68,14980445.959999997,March,December,2053466.34,633648.68,3.2407016771501835
UNKNOWN,12545666.21,6834683.07,11498028.96,8590745.48,6829334.67,7860108.89,9311329.4,7341307.64,7123989.62,8252849.83,5782836.2,7526845.01,99497724.98,January,November,12545666.21,5782836.2,2.1694659464848756
Valero,3836404.59,3200014.98,3215104.13,4067862.0,3129769.6,4893528.7,3346742.82,4186043.14,3234619.1,3216182.55,3999929.43,3201217.29,43527418.33,June,May,4893528.7,3129769.6,1.563542792415135
