Commodity,Parent_Company,Tons,Commodity_Total,Market_Share_Pct,Rank
Chemicals,Exxon Mobil Corporation,5068971.53,9806722.540000001,51.688742179912836,1
Chemicals,Celanese Corporation,4537391.49,9806722.540000001,46.26817442313403,2
Chemicals,Valero Energy Corporation,65293.48,9806722.540000001,0.6658032766164097,3
Chemicals,Chevron Corporation,50656.86,9806722.540000001,0.5165523934564177,4
Chemicals,Petroleo Brasileiro,37064.94,9806722.540000001,0.3779544067737028,5
Chemicals,Ecopetrol,21926.66,9806722.540000001,0.22358805309893062,6
Chemicals,Trafigura Group,12884.04,9806722.540000001,0.13137967294830796,7
Chemicals,Emirates Global Aluminium,12533.54,9806722.540000001,0.12780559405935837,8
Construction Materials,Martin Marietta,5310170.0,8257306.01,64.30874662473602,1
Construction Materials,Emirates Global Aluminium,2947136.01,8257306.01,35.69125337526397,2
Crude Oil,Chevron Corporation,17508791.51,73651787.48,23.772391830618474,1
Crude Oil,Bolanter Corporation,14772771.959999999,73651787.48,20.05758782705921,2
Crude Oil,Philip Morris International,8964627.26,73651787.48,12.171635701895662,3
Crude Oil,Iraqi Government,8148088.18,73651787.48,11.06298768677216,4
Crude Oil,Valero Energy Corporation,5701869.84,73651787.48,7.741658464906003,5
Crude Oil,PDVSA/Chevron JV,4920597.47,73651787.48,6.680893483184204,6
Crude Oil,PBF Energy,4495413.6899999995,73651787.48,6.1036043303371565,7
Crude Oil,Ecopetrol,3800088.32,73651787.48,5.1595330541460465,8
Crude Oil,Venezuelan Government,3754292.79,73651787.48,5.097354617522991,9
Crude Oil,Exxon Mobil Corporation,677720.9,73651787.48,0.9201689778188122,10
Crude Oil,Trafigura Group,619561.6799999999,73651787.48,0.841203861030855,11
Crude Oil,Petroleo Brasileiro,235216.74,73651787.48,0.3193632470411837,12
Crude Oil,PDVSA (Venezuelan state),40133.92,73651787.48,0.05449144056537431,13
Crude Oil,Emirates Global Aluminium,11985.22,73651787.48,0.016272816193706855,14
Crude Oil,BP plc,628.0,73651787.48,0.0008526609081558709,15
Ferrous Raw Materials,Compania Minera,46566.020000000004,74658.02,62.37242830709949,1
Ferrous Raw Materials,Trafigura Group,28092.0,74658.02,37.62757169290051,2
Forestry,Emirates Global Aluminium,45826.78,45826.78,100.0,1
General Cargo,Emirates Global Aluminium,8221973.32,22420655.62,36.671422367621204,1
General Cargo,Compania Minera,6163211.96,22420655.62,27.488990796960465,2
General Cargo,Philip Morris International,1889243.12,22420655.62,8.426350915067488,3
General Cargo,PBF Energy,1769745.3699999999,22420655.62,7.8933702920860425,4
General Cargo,Venezuelan Government,1123702.99,22420655.62,5.011909593748088,5
General Cargo,Petroleo Brasileiro,1023290.32,22420655.62,4.564051726869171,6
General Cargo,PDVSA/Chevron JV,468474.4,22420655.62,2.089476810758846,7
General Cargo,Ecopetrol,463946.88,22420655.62,2.069283288871104,8
General Cargo,Valero Energy Corporation,391968.65,22420655.62,1.7482479399502946,9
General Cargo,Iraqi Government,295838.87,22420655.62,1.319492502869102,10
General Cargo,Chevron Corporation,225056.79,22420655.62,1.0037921897308015,11
General Cargo,Marathon Petroleum Corporation,108210.38,22420655.62,0.4826370014954986,12
General Cargo,BP plc,95184.23,22420655.62,0.42453812062075635,13
General Cargo,Trafigura Group,74019.81999999999,22420655.62,0.33014119325739855,14
General Cargo,Celanese Corporation,50997.99,22420655.62,0.227459851595544,15
General Cargo,PDVSA (Venezuelan state),42710.33,22420655.62,0.1904954552796436,16
General Cargo,Exxon Mobil Corporation,9926.2,22420655.62,0.04427256797586903,17
General Cargo,Ternium,3154.0,22420655.62,0.01406738524268007,18
LNG,Emirates Global Aluminium,116058.0,116058.0,100.0,1
Misc Bulk,Celanese Corporation,1.18,1.18,100.0,1
Petroleum Products,Chevron Corporation,5560499.32,23762332.6,23.400477611360426,1
Petroleum Products,Philip Morris International,4084961.53,23762332.6,17.190911341759435,2
Petroleum Products,Iraqi Government,2851854.92,23762332.6,12.001578161564828,3
Petroleum Products,Valero Energy Corporation,2188081.54,23762332.6,9.208193390913145,4
Petroleum Products,Trafigura Group,1564971.6,23762332.6,6.585934244519412,5
Petroleum Products,Petroleo Brasileiro,1249881.54,23762332.6,5.25992780691909,6
Petroleum Products,Irving Oil,1191254.58,23762332.6,5.0132055638342505,7
Petroleum Products,Exxon Mobil Corporation,1095676.56,23762332.6,4.610980657681729,8
Petroleum Products,Venezuelan Government,888024.0,23762332.6,3.7371078628871643,9
Petroleum Products,Ecopetrol,852638.8300000001,23762332.6,3.5881949990044326,10
Petroleum Products,Marathon Petroleum Corporation,811525.91,23762332.6,3.415177809606116,11
Petroleum Products,PBF Energy,601659.42,23762332.6,2.5319880422850405,12
Petroleum Products,BP plc,421238.85,23762332.6,1.7727167491965834,13
Petroleum Products,PDVSA/Chevron JV,237048.0,23762332.6,0.9975788319703933,14
Petroleum Products,Bolanter Corporation,139062.0,23762332.6,0.5852203247083579,15
Petroleum Products,PDVSA (Venezuelan state),23954.0,23762332.6,0.1008066017895903,16
Ro/Ro,Emirates Global Aluminium,26425.33,26434.07,99.96693660870234,1
Ro/Ro,Iraqi Government,7.0,26434.07,0.02648097701186386,2
Ro/Ro,Chevron Corporation,1.74,26434.07,0.006582414285806159,3
