Parent_Company,Total_Tons,Record_Count,Market_Share_Pct,Rank,Role
Philip Morris International,40577035.15,849,17.826195429838638,1,Shipper
Chevron Corporation,28006106.28,878,12.303568309773642,2,Shipper
Irving Oil,18945928.94,2773,8.323275237724598,3,Shipper
Iraqi Government,15692342.02,254,6.893918063907358,4,Shipper
Bolanter Corporation,14980445.959999999,216,6.581169775512706,5,Shipper
Emirates Global Aluminium,13409605.18,1160,5.891072171537316,6,Shipper
Ecopetrol,11950543.91,236,5.250081245340271,7,Shipper
Valero Energy Corporation,11177163.43,448,4.910321784671484,8,Shipper
Trafigura Group,10188833.72,405,4.476131398546742,9,Shipper
Exxon Mobil Corporation,9563714.25,311,4.201505571449634,10,Shipper
PBF Energy,8153373.31,146,3.5819183313714906,11,Shipper
Venezuelan Government,8090092.67,131,3.5541180484923887,12,Shipper
PDVSA/Chevron JV,6613398.57,95,2.9053807142002435,13,Shipper
Compania Minera,6526940.74,266,2.8673982897002177,14,Shipper
Ternium,6259517.0,132,2.7499144017277284,15,Shipper
Martin Marietta,5310170.0,105,2.3328497963377255,16,Shipper
Petroleo Brasileiro,4629423.88,92,2.0337862169420196,17,Shipper
Celanese Corporation,4588390.66,205,2.015759611594153,18,Shipper
BP plc,1309202.68,55,0.5751554480182,19,Shipper
Marathon Petroleum Corporation,1149797.63,23,0.5051260443592389,20,Shipper
PDVSA (Venezuelan state),503859.25,22,0.22135410895421037,21,Shipper
Chevron Corporation,58716615.65,1457,21.93514724680726,1,Consignee
Valero Energy Corporation,43527418.33,1245,16.260820208596737,2,Consignee
Exxon Mobil Corporation,19038868.36,692,7.112473637420551,3,Consignee
Irving Oil,18336048.8,2706,6.849916772283242,4,Consignee
PBF Energy,18298928.56,391,6.8360495232733465,5,Consignee
Marathon Petroleum Corporation,17365076.46,431,6.487184332501061,6,Consignee
Emirates Global Aluminium,15338585.41,1368,5.7301349166925215,7,Consignee
Saudi Aramco/Shell JV,14980445.959999999,216,5.59634243761866,8,Consignee
Ecopetrol,10163122.79,158,3.796703751028141,9,Consignee
Martin Marietta,8481079.17,192,3.168331797505089,10,Consignee
Ternium,8418588.37,629,3.1449867037118504,11,Consignee
The Mosaic Company,5144476.47,96,1.9218554684730924,12,Consignee
PDVSA (Venezuelan state),5094433.34,116,1.9031605315614633,13,Consignee
Trafigura Group,5005001.12,236,1.8697507566179912,14,Consignee
BP plc,4848268.99,209,1.8111993174419199,15,Consignee
Celanese Corporation,4596383.84,203,1.7171009469317975,16,Consignee
K+S Group,4589922.01,149,1.7146869591539813,17,Consignee
Vulcan Materials Company,3310607.89,92,1.2367652791240515,18,Consignee
Petroleo Brasileiro,1248937.35,35,0.46657363288081916,19,Consignee
Philip Morris International,705249.58,27,0.2634646634823371,20,Consignee
Saudi Aramco,474738.43,118,0.17735111689408314,21,Consignee
