Bill of Lading Number,Arrival Date,Consignee,Consignee (Original Format),Consignee SIC Codes,Shipper,Shipper (Original Format),Shipper SIC Codes,Notify Party,Carrier,Origin (F),Destination (D),Port of Discharge (D),Port of Loading (F),Country of Origin (F),Place of Receipt (F),Vessel,Voyage,IMO,Is Containerized,Measurement,Kilos,Tons,Weight (Original Format),Value,HS Code Desc.,Goods Shipped,REC_ID,Qty,Pckg,HS2,HS4,HS6,Vessel_Type_Simple,Carrier Name,Package_Type,Count,Group,Commodity,Cargo,Cargo Detail,Group_Locked,Commodity_Locked,Cargo_Locked,Cargo_Detail_Locked,Classified_Phase,Last_Rule_ID,Report_One,Report_Two,Report_Three,Report_Four,Filter,Note,Cargo_Detail,Classified_By_Rule,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Port_Code,Port_Consolidated,Port_Coast,Port_Region
ULTH222412010001,2023-01-04,Primetrade Incorporatedorporated,"PRIMETRADE INC
11301 CARMEL COMMONS BLVD
SUITE 115
CHARLOTTENC 28226",5051,Tronox Mineral Sands (Pty) ) Limited,"TRONOX MINERAL SANDS PTY LTD
R34 MELMOTH ROAD
EMPANGENI 3881
ZA",3291,"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, ATTN: MICHAEL LEE JR, TE251-432-1646",ULTH - Ultrabulk,South Africa,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Richard's Bay, South Africa",South Africa,"RICHARDS BAY,ZA",METEORA,01,9368845,, CM,10400000.0,10400.0,10400000 K,5720000.0,Classified: 7201.10,CPNSISTING OF 7800 M/TONS LMPI0 2600 M/TONS LMPI4 (LOW MANGANESE PIG IRON),PANV_IMP_FILE019_R156175,1,BLK,72,7201,720110,Tanker,ULTH,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Supra/Ultramax,58740,185.75,32.29,18,32348,19333,72360,57.4,12.828,2002,Mobile,Gulf,Gulf East
ULTH222412010013,2023-01-04,Primetrade Incorporatedorporated,"PRIMETRADE INC
11301 CARMEL COMMONS BLVD
SUITE 115
CHARLOTTENC 28226",5051,Tronox Mineral Sands (Pty) ) ) Limited,"TRONOX MINERAL SANDS PTY LTD
TRUNK ROAD 85-1
ZALDANHA 7395",,"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, ATTN: MICHAEL LEE JR, TE251-432-1646",ULTH - Ultrabulk,South Africa,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","All Other Republic Of South Africa Ports, South Africa",South Africa,"SALDANHA BAY,ZA",METEORA,01,9368845,, CM,3900750.0,3900.75,3900750 K,2145000.0,Classified: 7201.10,3900. 75 M/T LOW SI PIG IRON,PANV_IMP_FILE019_R156176,1,BLK,72,7201,720110,Tanker,ULTH,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Supra/Ultramax,58740,185.75,32.29,18,32348,19333,72360,57.4,12.828,2002,Mobile,Gulf,Gulf East
ULTH222412010001,2023-01-04,Primetrade Incorporatedorporated,"PRIMETRADE INC
11301 CARMEL COMMONS BLVD
SUITE 115
CHARLOTTENC 28226",5051,Tronox Mineral Sands (Pty) ) Limited,"TRONOX MINERAL SANDS PTY LTD
R34 MELMOTH ROAD
EMPANGENI 3881
ZA",3291,"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, ATTN: MICHAEL LEE JR, TE251-432-1646",ULTH - Ultrabulk,South Africa,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Richard's Bay, South Africa",South Africa,"RICHARDS BAY,ZA",METEORA,01,9368845,, CM,10400000.0,10400.0,10400000 K,5720000.0,Classified: 7201.10,CPNSISTING OF 7800 M/TONS LMPI0 2600 M/TONS LMPI4 (LOW MANGANESE PIG IRON),PANV_IMP_FILE103_R773306,1,BLK,72,7201,720110,Tanker,ULTH,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Supra/Ultramax,58740,185.75,32.29,18,32348,19333,72360,57.4,12.828,2002,Mobile,Gulf,Gulf East
ULTH222412010013,2023-01-04,Primetrade Incorporatedorporated,"PRIMETRADE INC
11301 CARMEL COMMONS BLVD
SUITE 115
CHARLOTTENC 28226",5051,Tronox Mineral Sands (Pty) ) ) Limited,"TRONOX MINERAL SANDS PTY LTD
TRUNK ROAD 85-1
ZALDANHA 7395",,"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, ATTN: MICHAEL LEE JR, TE251-432-1646",ULTH - Ultrabulk,South Africa,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","All Other Republic Of South Africa Ports, South Africa",South Africa,"SALDANHA BAY,ZA",METEORA,01,9368845,, CM,3900750.0,3900.75,3900750 K,2145000.0,Classified: 7201.10,3900. 75 M/T LOW SI PIG IRON,PANV_IMP_FILE103_R773307,1,BLK,72,7201,720110,Tanker,ULTH,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,Bulk Carrier-Supra/Ultramax,58740,185.75,32.29,18,32348,19333,72360,57.4,12.828,2002,Mobile,Gulf,Gulf East
CINT3652MORVIT02,2023-01-06,National Material Trading LLC,"NATIONAL MATERIAL TRADING LLC
1965 PRATT BLVD
ELK GROVE VILLAGE, IL.60007","3354, 3469, 4911, 4924, 5051, 5093",Cbf Industria De Gusa Sa,"CBF INDUSTRIA DE GUSA SA
ROD BR 101 KM 195.5 ZONA RURAL
JOAO NEIVA ES BRAZIL
CEP 29680 000",,,CINT - Cargill International S A,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,JIAN GUO HAI,8,,, ,29365000.0,29365.0,29365 ET,18794000.0,Classified: 7201.10,"11, 024 METRIC TONS BRAZILIAN NODULAR PIG IRON -P 0. 10%MAX CODE PIRES 14, 032 METRIC TONS BRAZILIAN NODULAR PIG IRON - P 0. 050 % MAX CODE PARANA 4, 309 METRIC TONS BRAZILIAN MODULAR PIG IRON - P 0. 035 % MAX CODE PAOLA",PANV_IMP_FILE019_R155854,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3652MORVIT01,2023-01-06,National Material Trading LLC,"NATIONAL MATERIAL TRADING LLC
1965 PRATT BLVD
ELK GROVE VILLAGE, IL.60007","3354, 3469, 4911, 4924, 5051, 5093",Cbf Industria De Gusa Sa,"CBF INDUSTRIA DE GUSA SA
ROD BR 101 KM 195.5 ZONA RURAL
JOAO NEIVA ES BRAZIL
CEP 29680 000",,,CINT - Cargill International S A,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,JIAN GUO HAI,8,,, ,5700000.0,5700.0,5700 ET,3648000.0,Classified: 7201.10,"5, 700 METRIC TONS BRAZILIAN NODULAR PIG IRON",PANV_IMP_FILE019_R155855,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3652MORVIT02,2023-01-06,National Material Trading LLC,"NATIONAL MATERIAL TRADING LLC
1965 PRATT BLVD
ELK GROVE VILLAGE, IL.60007","3354, 3469, 4911, 4924, 5051, 5093",Cbf Industria De Gusa Sa,"CBF INDUSTRIA DE GUSA SA
ROD BR 101 KM 195.5 ZONA RURAL
JOAO NEIVA ES BRAZIL
CEP 29680 000",,,CINT - Cargill International S A,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,JIAN GUO HAI,8,,, ,29365000.0,29365.0,29365 ET,18794000.0,Classified: 7201.10,"11, 024 METRIC TONS BRAZILIAN NODULAR PIG IRON -P 0. 10%MAX CODE PIRES 14, 032 METRIC TONS BRAZILIAN NODULAR PIG IRON - P 0. 050 % MAX CODE PARANA 4, 309 METRIC TONS BRAZILIAN MODULAR PIG IRON - P 0. 035 % MAX CODE PAOLA",PANV_IMP_FILE103_R772439,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3652MORVIT01,2023-01-06,National Material Trading LLC,"NATIONAL MATERIAL TRADING LLC
1965 PRATT BLVD
ELK GROVE VILLAGE, IL.60007","3354, 3469, 4911, 4924, 5051, 5093",Cbf Industria De Gusa Sa,"CBF INDUSTRIA DE GUSA SA
ROD BR 101 KM 195.5 ZONA RURAL
JOAO NEIVA ES BRAZIL
CEP 29680 000",,,CINT - Cargill International S A,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Victoria, Brazil",Brazil,BRAZIL,JIAN GUO HAI,8,,, ,5700000.0,5700.0,5700 ET,3648000.0,Classified: 7201.10,"5, 700 METRIC TONS BRAZILIAN NODULAR PIG IRON",PANV_IMP_FILE103_R772440,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
CINT3661MORPRA20,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Usina Siderurgica Atlas S A,"USINA SIDERURGICA ATLAS S/A
AVENIDA HEMATITA 1480 - DISTRITO
INDUSTRIAL 35903-051
ITABIRA - MG - BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,1178000.0,1178.0,1178 ET,754000.0,Classified: 7201.10,"1, 177. 720 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154523,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA19,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Cia Siderurgica Santa Barbara,"CIA SIDERURGICA SANTA BARBARA
AVENIDA RIO MARINHO S/N - BAIRRO BA
RRA DO JUCU CEP 29112690 VILA VELHA
ES BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,1400000.0,1400.0,1400 ET,896000.0,Classified: 7201.10,"1, 400. 010 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154524,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
