Port of Discharge (D),General Cargo,Crude Oil,Petroleum Products,Chemicals,Construction Materials,Ro/Ro,Steel,Forestry,Agricultural Products,Ferrous Raw Materials,Refrigerated Products,Minerals & Ores,Misc Bulk,LPG,Metals,LNG,_Total
"Houston, Houston, Texas",21447177.53,10841662.74,5833898.56,8665104.66,304485.15,170530.28,7609786.18,1500566.01,105443.42,118835.93,0.0,23767.93,10772.84,45899.07,0.66,0.0,56677930.96
"Port of New Orleans, New Orleans, Louisiana",17147928.78,5043188.5,2931998.35,2676201.68,433493.0,226005.33000000002,586520.18,376302.32,927511.06,216997.15,0.0,133657.94,0.0,0.0,4155.55,0.0,30703959.840000004
"Port Arthur, Texas",557094.84,20843995.66,1835334.73,1273560.74,196830.0,15133.58,90300.0,1038221.79,107586.78,0.0,0.0,0.39,0.0,0.0,0.0,0.0,25958058.509999998
"New York/Newark Area, Newark, New Jersey",5331811.08,4377382.64,6947030.81,7311600.83,0.0,1532755.26,0.0,45279.049999999996,19606.36,0.0,0.0,2.3,0.0,0.0,0.0,0.0,25565468.330000002
"Port of Long Beach, Long Beach, California",2079141.86,4480531.74,11063373.4,326344.39,1963216.23,1627025.38,112301.66,43487.53,12951.42,26.85,0.0,0.0,0.0,0.0,0.0,0.0,21708400.46
"Port of Richmond, Richmond, California",44834.05,17893298.25,949324.61,655655.46,1327166.0,307683.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21177962.25
"Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",7429573.13,5006375.61,1592111.59,1162601.63,826200.0,1593931.25,1314572.72,1135727.71,828.07,0.0,276020.01,0.0,1215.9,0.0,0.0,0.0,20339157.62
"Alabama State Port Authority, Mobile, Alabama",9698390.13,3016934.46,1470935.2,198.0,503716.0,86710.55,1032540.02,1304849.1,286.01000000000005,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,17137559.470000003
"Corpus Christi, Corpus Christi, Texas",8259398.68,5121064.42,1684222.93,26564.230000000003,346555.03,116656.3,36837.22,577865.84,216.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16169381.31
"Baltimore, Maryland",8255988.85,34966.92,113546.70999999999,266042.52,1072500.0,4351115.67,60173.56,1515675.6,29872.699999999997,55685.0,0.0,51000.0,108.2,0.0,0.0,0.0,15806675.73
"The Port of Los Angeles, Los Angeles, California",1188011.78,6384582.51,5408619.26,374572.53,0.0,737025.66,683758.48,312385.05,1015.27,0.0,60094.659999999996,39.5,0.0,0.0,0.0,0.0,15150104.7
"Port of Gramercy, Gramercy, Louisiana",11693411.88,988087.28,912812.88,167337.95,29302.3,0.0,0.0,20400.0,7250.9,3092.96,0.0,47419.17,70059.75,25400.8,0.0,0.0,13964575.870000003
"Tampa, Florida",4011760.18,0.0,14775.32,1143720.51,4399589.03,535383.08,464661.38,33986.86,163011.79,0.0,0.0,3000.0,53690.0,40163.0,0.0,0.0,10863741.150000002
"The Port of Charleston, Charleston, South Carolina",5498264.25,14768.0,342669.66000000003,2051226.36,892659.84,291691.69,90465.24,160418.47,94722.07,34.22,0.0,0.0,1.18,0.0,0.0,0.0,9436920.98
"San Juan, San Juan, Puerto Rico",4408805.62,104212.68,3625697.47,29110.24,0.3,479039.1,27015.14,8027.24,316148.94,0.0,1069.98,0.0,0.0,0.0,0.0,0.0,8999126.71
"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",2347913.71,663313.8,569603.86,5077213.14,0.0,0.0,66000.0,0.0,157623.99,0.0,0.0,0.0,0.0,0.0,0.0,1923.0,8883591.5
"Georgia Ports Authority, Savannah, Georgia",5129046.14,134083.96000000002,320220.83,1334788.61,773458.0,168811.01,314406.16,30752.42,402658.14,0.0,0.0,39875.57,0.0,0.0,0.0,0.0,8648100.84
"Jacksonville, Florida",1184256.67,0.0,187713.46,143238.25,2837148.35,1767358.76,261920.0,1199217.74,2251.41,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7583105.14
"Port of Pascagoula, Pascagoula, Mississippi",598378.76,5247834.76,997010.88,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6843224.419999999
"Freeport, Freeport, Texas",808063.5499999999,3655867.08,1250493.25,70276.85,0.0,833765.18,52907.98,17238.64,2.16,0.0,1.2,0.0,0.0,0.0,0.0,0.0,6688615.890000001
