Port,Total_Tons,Unique_Shippers,Unique_Consignees,Top_Commodity_1,Top_Commodity_1_Tons,Top_Commodity_2,Top_Commodity_2_Tons,Top_Commodity_3,Top_Commodity_3_Tons,Top_Shipper_1,Top_Shipper_1_Tons,Top_Consignee_1,Top_Consignee_1_Tons
Houston,97685385.52,3273,4033,General Cargo,23332496.74,Crude Oil,15314395.35,Chemicals,9787967.39,,28038879.94,,17279929.76
New York,76256566.15,2184,2508,General Cargo,13721140.37,Petroleum Products,12367784.47,Chemicals,7725209.07,,36196590.56,,28804830.87
New Orleans,74969880.5,1325,1210,General Cargo,31444614.7,Chemicals,7920752.77,Crude Oil,6694589.58,,11952463.91,,11594662.24
LA-Long Beach,60538018.38,1890,2497,Petroleum Products,16471992.66,Crude Oil,10865114.25,Ro/Ro,4745701.64,,10385691.98,CHEVRON MARINE PRODUCTS LLC,12843943.22
San Franciso,50624548.68,408,547,Crude Oil,20839732.39,General Cargo,5575290.32,Construction Materials,5274366.0,SOMO OIL AND MARKETING,7288693.98,CHEVRON MARINE PRODUCTS LLC,15418825.11
Delaware River,41420289.66,805,727,General Cargo,10893012.91,Crude Oil,7320655.94,Petroleum Products,3888708.07,PBF HOLDING CO. LLC,6630009.41,PBF HOLDING CO. LLC,11067283.15
South Texas,39619760.06,443,479,General Cargo,11460822.18,Crude Oil,5121064.42,Petroleum Products,1684222.93,TERNIUM BRASIL LTDA,6199304.0,VALERO MARKETING AND SUPPLY CO.,8269502.26
Sabine River,37731407.39,382,374,Crude Oil,21128662.74,Petroleum Products,2006788.46,Chemicals,1552748.19,BOLANTER CORP. NV,14980445.959999999,SAUDI REFINING INC.,14980445.959999999
"Alaska, US Islands",34507071.13,1460,1982,Petroleum Products,9787830.87,General Cargo,6541517.4799999995,Construction Materials,2979177.5,,4296853.31,PAR HAWAII REFINING LLC,3421290.57
Mobile,33969025.59,468,532,General Cargo,11564662.64,Crude Oil,8264769.22,Petroleum Products,2467956.08,,5205955.31,CHEVRON MARINE PRODUCTS LLC,9522534.42
Tampa,20223076.22,260,548,General Cargo,6609403.98,Construction Materials,6152241.03,Chemicals,1164808.51,,3407042.94,MARTIN MARIETTA AGGREGATES,4043312.0
Boston,19395013.58,129,169,General Cargo,2534315.05,Petroleum Products,2354589.75,Crude Oil,188363.04,IRVING OIL LTD.,11798313.0,IRVING OIL TERMINALS INC.,12488606.02
Baltimore,17718972.04,2127,2654,General Cargo,8306248.86,Ro/Ro,4351115.67,Forestry,1515675.6,,4305331.11,EGA AMERICA INC.,3720417.84
Seattle-Tacoma,16619308.36,996,1419,General Cargo,4421287.82,Ro/Ro,1988270.05,Petroleum Products,1566704.95,,5578951.15,,3045455.34
North Florida,15792998.36,765,1432,Construction Materials,4393848.35,General Cargo,2561134.44,Ro/Ro,2455254.76,,3695051.93,MARTIN MARIETTA AGGREGATES,2970900.0
Georgia Ports,15495050.05,1088,1309,General Cargo,5401844.14,Ro/Ro,3407722.01,Chemicals,1334788.61,,2992959.35,EGA AMERICA INC.,1932968.6300000001
South Carolina Ports,14886560.47,500,685,General Cargo,5498264.25,Chemicals,2051226.36,Construction Materials,892659.84,,8967386.87,,5497637.48
Land Ports,8426942.8,59,185,General Cargo,5708524.8,Construction Materials,2059650.0,Petroleum Products,5500.0,LAFARGE NORTH AMERICA,1682259.59,ST. MARY'S CEMENT CO.,1080304.2
Columbia River,8290087.58,294,377,General Cargo,2608783.52,Ro/Ro,1791667.78,Construction Materials,718000.0,,2369400.44,GLACIER NORTHWEST INC.,920096.74
South Florida,6692847.0,861,2093,General Cargo,1775508.81,Crude Oil,1011912.06,Petroleum Products,1003962.85,,1086062.36,FREEPOINT COMMODITIES,970499.86
Lake Charles,6274696.51,148,148,General Cargo,1436937.75,Petroleum Products,662298.98,Crude Oil,426913.19999999995,,3158354.43,,3063821.73
Virgin Islands,5689705.5,217,215,Crude Oil,1096769.96,Petroleum Products,830794.82,General Cargo,422757.96,,693358.47,,1242288.89
