Port,Coast,Region,Total_Tonnage,Num_Commodities,HHI,Shannon_Entropy,Top3_Concentration_Pct,Specialization_Type,Regional_Pattern,Top1_Commodity,Top1_Tonnage,Top1_Share_Pct,Top2_Commodity,Top2_Tonnage,Top2_Share_Pct,Top3_Commodity,Top3_Tonnage,Top3_Share_Pct
"Houston, Houston, Texas",Gulf,North Texas,56677930.96,14,0.23252231144345184,1.65184528606898,72.25730409760885,Moderately Specialized,Gulf - Diversified Hub,General Cargo,21447177.53,37.840438362395716,Crude Oil,10841662.74,19.1285436083604,Chemicals,8665104.66,15.28832212685274
"Port of New Orleans, New Orleans, Louisiana",Gulf,Gulf East,30703959.840000004,12,0.35735852896351017,1.4504297442202232,81.8236988353226,Moderately Specialized,Gulf - Chemical/Petroleum Products,General Cargo,17147928.78,55.84924182209326,Crude Oil,5043188.5,16.425205498835744,Petroleum Products,2931998.35,9.54925151439359
"Port Arthur, Texas",Gulf,North Texas,25958058.51,10,0.6543424064328497,0.80638754726155,92.27535688299827,Moderately Specialized,Gulf - Crude Oil Terminal,Crude Oil,20843995.66,80.2987467339675,Petroleum Products,1835334.73,7.070385211178107,Chemicals,1273560.74,4.906224937852642
"New York/Newark Area, Newark, New Jersey",East,North Atlantic,25565468.33,8,0.2320437421562951,1.5265932413973495,76.62853059105294,Moderately Specialized,East - General,Chemicals,7311600.83,28.599518442696176,Petroleum Products,6947030.81,27.173493246153257,General Cargo,5331811.08,20.855518902203503
"Port of Long Beach, Long Beach, California",West,California,21708400.460000005,10,0.3255539805151253,1.4126184600753344,81.18077162097828,Moderately Specialized,West - Asian Imports Hub,Petroleum Products,11063373.4,50.96355864811607,Crude Oil,4480531.74,20.639621736552392,General Cargo,2079141.86,9.577591236309816
"Port of Richmond, Richmond, California",West,California,21177962.25,6,0.7209696443013327,0.6372635617675376,95.23951654036024,Moderately Specialized,West - General,Crude Oil,17893298.25,84.49017917198337,Construction Materials,1327166.0,6.266731351832493,Petroleum Products,949324.61,4.482606016544391
"Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",East,Mid-Atlantic,20339157.62,11,0.21868573635211833,1.8030929193886749,68.97965123296979,Diversified,East - Steel/Aggregates,General Cargo,7429573.13,36.52842103300441,Crude Oil,5006375.61,24.614468816924386,Ro/Ro,1593931.25,7.8367613830409955
"Alabama State Port Authority, Mobile, Alabama",Gulf,Gulf East,17137559.470000003,10,0.3689355087286326,1.3436584753270262,82.77876330543815,Moderately Specialized,Gulf - Chemical/Petroleum Products,General Cargo,9698390.13,56.59143092677478,Crude Oil,3016934.46,17.604224599665237,Petroleum Products,1470935.2,8.583107778998125
"Corpus Christi, Corpus Christi, Texas",Gulf,South Texas,16169381.309999999,9,0.37387526944466815,1.2044301725725053,93.16798052553317,Moderately Specialized,Gulf - Crude Oil Terminal,General Cargo,8259398.68,51.080486764771585,Crude Oil,5121064.42,31.67136900181124,Petroleum Products,1684222.93,10.416124758950348
"Baltimore, Maryland",East,Mid-Atlantic,15806675.729999997,12,0.36276099886634283,1.2909798164645772,89.34693392359485,Moderately Specialized,East - Steel/Aggregates,General Cargo,8255988.85,52.231025618692826,Ro/Ro,4351115.67,27.527076181754513,Forestry,1515675.6,9.588832123147505
