Rule_ID,Phase,Tier,Priority,HS2,HS4,HS6,Keywords,Exclude_Keywords,Pckg,Group,Commodity,Cargo,Cargo_Detail,Lock_Group,Lock_Commodity,Lock_Cargo,Lock_Cargo_Detail,Estimated_Tonnage,Note
PETRO-ALKYLATE,7,3,1,27,2710,,ALKYLATE,,,Liquid Bulk,Petroleum,Refined Products,Alkylate,TRUE,TRUE,FALSE,FALSE,5000000,High-octane gasoline blending component
PETRO-HEATING-OIL,7,3,1,27,2710,,"HEATING OIL, FUEL OIL",,,Liquid Bulk,Petroleum,Refined Products,Heating Oil,TRUE,TRUE,FALSE,FALSE,8000000,Distillate fuel oil for heating
PETRO-GASOLINE,7,3,1,27,2710,,"GASOLINE, GASOLINA",,,Liquid Bulk,Petroleum,Refined Products,Gasoline,TRUE,TRUE,FALSE,FALSE,10000000,Motor gasoline including reformulated
PETRO-NAPHTHA,7,3,1,27,2710,,NAPHTHA,,,Liquid Bulk,Petroleum,Refined Products,Naphtha,TRUE,TRUE,FALSE,FALSE,8000000,Petrochemical feedstock
PETRO-JET-FUEL,7,3,1,27,2710,,"JET FUEL, AVIATION",,,Liquid Bulk,Petroleum,Refined Products,Jet Fuel,TRUE,TRUE,FALSE,FALSE,5000000,Aviation turbine fuel
PETRO-KEROSENE,7,3,1,27,2710,,KEROSENE,,,Liquid Bulk,Petroleum,Refined Products,Kerosene,TRUE,TRUE,FALSE,FALSE,3000000,Lamp oil and jet fuel precursor
PETRO-DIESEL,7,3,1,27,2710,,"DIESEL, GASOIL, GAS OIL",CRUDE,LBK,Liquid Bulk,Petroleum,Refined Products,Diesel Fuel,TRUE,TRUE,FALSE,FALSE,5000000,Ultra-low sulfur diesel and gasoil
PETRO-LPG,7,3,1,27,2711,,"LPG, PROPANE, BUTANE",,,Liquid Bulk,Petroleum,LPG,LPG,TRUE,TRUE,TRUE,FALSE,2000000,Liquefied petroleum gas
STEEL-COIL-HOT,7,3,1,72,,,"STEEL COIL, HOT DIP, GALVANIZED",,BLK,Dry Bulk,Metals,Steel Products,Steel Coils,TRUE,TRUE,FALSE,FALSE,12000000,Hot-dipped galvanized steel coils
STEEL-COIL-COLD,7,3,1,72,,,"COLD ROLLED, CR COIL",,BLK,Dry Bulk,Metals,Steel Products,Steel Coils - Cold Rolled,TRUE,TRUE,FALSE,FALSE,4000000,Cold-rolled steel coils
STEEL-PLATE,7,3,1,72,,"7225,7226","STEEL PLATE, PLATE STEEL",,BLK,Dry Bulk,Metals,Steel Products,Steel Plate,TRUE,TRUE,FALSE,FALSE,3000000,Flat-rolled steel plate
STEEL-BILLET,7,3,1,72,,7207,STEEL BILLET,,BLK,Dry Bulk,Metals,Steel Products,Steel Billets,TRUE,TRUE,FALSE,FALSE,2000000,Semi-finished steel products
STEEL-SLAB,7,3,1,72,,7207,"STEEL SLAB, SLAB",,BLK,Dry Bulk,Metals,Steel Products,Steel Slabs,TRUE,TRUE,FALSE,FALSE,1000000,Semi-finished flat steel
CHEM-ORG-LBK,7,3,1,29,,,,,LBK,Liquid Bulk,Chemicals,Organic Chemicals,Organic Chemicals - Bulk,TRUE,TRUE,FALSE,FALSE,8000000,General catch-all for bulk organic chemicals
CHEM-ALCOHOL,7,3,1,29,2905,,ALCOHOL,,,Liquid Bulk,Chemicals,Organic Chemicals,Alcohols,TRUE,TRUE,FALSE,FALSE,3000000,Industrial alcohols
CHEM-CHLOROBENZENE,7,3,1,29,2903,,CHLOROBENZENE,,,Liquid Bulk,Chemicals,Organic Chemicals,Chlorobenzene,TRUE,TRUE,TRUE,FALSE,2000000,Aromatic hydrocarbon solvent
CHEM-MTBE,7,3,1,29,2909,,"MTBE, METHYL TERTIARY BUTYL ETHER",,,Liquid Bulk,Chemicals,Organic Chemicals,MTBE,TRUE,TRUE,TRUE,FALSE,1500000,Gasoline additive
