Entity,Commodity_Type,Month,Month_Name,Tons,Pct_of_Average
ExxonMobil,Crude Oil,1,January,1470640.04,92.69290667021556
ExxonMobil,Crude Oil,2,February,1832454.28,115.49768055647189
ExxonMobil,Crude Oil,3,March,2247411.37,141.65199280783304
ExxonMobil,Crude Oil,4,April,2626932.58,165.5728185306913
ExxonMobil,Crude Oil,5,May,2067798.01,130.3311502070809
ExxonMobil,Crude Oil,6,June,998643.2,62.94343851432564
ExxonMobil,Crude Oil,7,July,1624181.8,102.37048353644902
ExxonMobil,Crude Oil,8,August,2217045.32,139.73805237235223
ExxonMobil,Crude Oil,9,September,870094.49,54.841147501899115
ExxonMobil,Crude Oil,10,October,869764.57,54.82035298866891
ExxonMobil,Crude Oil,11,November,1200198.62,75.64726625380166
ExxonMobil,Crude Oil,12,December,1013704.08,63.892710060210746
Chevron,Crude Oil,1,January,5496382.13,112.33035969436023
Chevron,Crude Oil,2,February,4876173.23,99.65506034747085
Chevron,Crude Oil,3,March,4505061.88,92.07060380020387
Chevron,Crude Oil,4,April,5396292.11,110.28480542202368
Chevron,Crude Oil,5,May,3542120.49,72.39083078862704
Chevron,Crude Oil,6,June,5386405.72,110.08275583403793
Chevron,Crude Oil,7,July,5280543.85,107.91924142514846
Chevron,Crude Oil,8,August,6405525.99,130.9106647736432
Chevron,Crude Oil,9,September,3749626.23,76.63165572793024
Chevron,Crude Oil,10,October,5038072.48,102.96381882834218
Chevron,Crude Oil,11,November,4970804.54,101.58905417090402
Chevron,Crude Oil,12,December,4069607.0,83.17114918730846
Irving Oil,Petroleum,1,January,1628073.8,106.54904888778438
Irving Oil,Petroleum,2,February,1651270.0,108.0671207637711
Irving Oil,Petroleum,3,March,1592135.0,104.1970394406891
Irving Oil,Petroleum,4,April,1257212.16,82.2780637451183
Irving Oil,Petroleum,5,May,1211204.02,79.26706783197479
Irving Oil,Petroleum,6,June,1836254.28,120.17338959089159
Irving Oil,Petroleum,7,July,1592593.0,104.22701318290557
Irving Oil,Petroleum,8,August,1666068.0,109.0355736836826
Irving Oil,Petroleum,9,September,1460147.48,95.55913572830369
Irving Oil,Petroleum,10,October,1520207.0,99.4897221259577
Irving Oil,Petroleum,11,November,1402564.0,91.79059340199836
Irving Oil,Petroleum,12,December,1518320.06,99.36623161692285
Martin Marietta,Aggregates,1,January,883204.36,124.96584582643393
Martin Marietta,Aggregates,2,February,882610.36,124.88179991839414
Martin Marietta,Aggregates,3,March,863800.91,122.22042398408601
Martin Marietta,Aggregates,4,April,844658.0,119.51186631830491
Martin Marietta,Aggregates,5,May,738300.0,104.46312105349679
Martin Marietta,Aggregates,6,June,960338.0,135.87959467191254
Martin Marietta,Aggregates,7,July,876000.0,123.94649064453908
Martin Marietta,Aggregates,8,August,662000.0,93.66732512178638
Martin Marietta,Aggregates,9,September,664164.0,93.97351257127815
Martin Marietta,Aggregates,10,October,666000.0,94.23329083249205
Martin Marietta,Aggregates,11,November,354000.0,50.08796539745073
Martin Marietta,Aggregates,12,December,86003.54,12.168763659825618
Vulcan Materials,Aggregates,1,January,786335.36,261.2719248971524
Vulcan Materials,Aggregates,2,February,659986.02,219.29042826029152
Vulcan Materials,Aggregates,3,March,572128.0,190.0982601717898
Vulcan Materials,Aggregates,4,April,331016.0,109.98511817115258
Vulcan Materials,Aggregates,5,May,213540.0,70.95192417970104
Vulcan Materials,Aggregates,6,June,267501.0,88.88129001589495
Vulcan Materials,Aggregates,7,July,99396.73,33.02608059693835
Vulcan Materials,Aggregates,9,September,108628.20999999999,36.093380723502115
Vulcan Materials,Aggregates,10,October,127066.09,42.21964776384316
Vulcan Materials,Aggregates,11,November,145010.35,48.181902025250125
Vulcan Materials,Aggregates,12,December,0.13,4.3194484140494215e-05
ALL_ENTITIES,ALL_COMMODITIES,1,January,71116957.19,117.92471880445558
ALL_ENTITIES,ALL_COMMODITIES,2,February,55274969.78,91.65585151255374
ALL_ENTITIES,ALL_COMMODITIES,3,March,61389621.61,101.79504511884727
ALL_ENTITIES,ALL_COMMODITIES,4,April,60213480.44,99.8447913084087
ALL_ENTITIES,ALL_COMMODITIES,5,May,52471030.05,87.00641462338118
ALL_ENTITIES,ALL_COMMODITIES,6,June,61252149.35,101.56709136148106
ALL_ENTITIES,ALL_COMMODITIES,7,July,64283952.37,106.59436660961657
ALL_ENTITIES,ALL_COMMODITIES,8,August,69817830.75,115.77053327428537
ALL_ENTITIES,ALL_COMMODITIES,9,September,57914957.41,96.03342630225194
ALL_ENTITIES,ALL_COMMODITIES,10,October,50711229.29,84.08834813158184
ALL_ENTITIES,ALL_COMMODITIES,11,November,52450628.77,86.9725856281273
ALL_ENTITIES,ALL_COMMODITIES,12,December,66788180.27,110.74682732500973
