Shipper,Rank,Consignee,Tons,Shipments,Concentration_%
PMI Trading,1,Valero,16424364.89,332,50.62606448807154
PMI Trading,2,PMI Trading,6541391.2,97,20.163025782174017
PMI Trading,3,Chevron,4654909.12,74,14.34817911520671
PMI Trading,4,PBF Energy,2595396.22,68,7.999986440012482
PMI Trading,5,ExxonMobil,2226446.31,83,6.862744174535258
Chevron,1,Chevron,21632293.85,646,77.73229315393378
Chevron,2,Valero,5742493.9799999995,206,20.634761555259658
Chevron,3,Pbf Energy Ltd.,267968.0,6,0.9629014507804186
Chevron,4,Citgo,97880.0,2,0.3517166004985199
Chevron,5,Houston Refining,88588.0,2,0.3183272395276142
Irving Oil,1,Irving Oil,18220174.78,2700,96.88984506892331
Irving Oil,2,Bitumar Usa Inc.,294697.0,42,1.5671170566167583
Irving Oil,3,Puerto Rico Energy,196124.9,10,1.0429379193451445
Irving Oil,4,Iig Capital,64640.0,2,0.3437376238635183
Irving Oil,5,Sunoco Llc,29404.0,2,0.15636233125128238
State Oil Marketing Company (SOMO),1,Chevron,6701045.46,147,45.86907937400454
State Oil Marketing Company (SOMO),2,Marathon Petroleum,4861910.62,30,33.28008524480233
State Oil Marketing Company (SOMO),3,Valero,1828860.93,32,12.518668566409898
State Oil Marketing Company (SOMO),4,Eni Trade & Biofuels Sp A,857808.0,18,5.8717499343238435
State Oil Marketing Company (SOMO),5,Raiffeisen Bank International Ag,359444.0,8,2.4604168804593796
Bolanter Corporation,1,Saudi Refining Inc,14980445.959999999,216,100.0
Ecopetrol,1,Ecopetrol,8361024.29,116,75.21622866680401
Ecopetrol,2,Houston Refining,1427055.68,17,12.837870412064248
Ecopetrol,3,Citgo,526501.75,7,4.7364383415123985
Ecopetrol,4,PBF Energy,525702.69,15,4.729249954349072
Ecopetrol,5,Valero,275700.05,9,2.4802126252702585
Valero,1,Valero,10255851.85,397,95.67801890725158
Valero,2,Citgo,161133.4,9,1.5032319808509842
Valero,3,Puerto Rico Energy,137478.0,4,1.282548039471839
Valero,4,Equinor Marketing And Trading Us,92766.0,3,0.865424660161223
Valero,5,Global Companies Llc,71901.4,2,0.6707764122643658
Trafigura,1,Trafigura,3922716.96,104,51.06375460733123
Trafigura,2,Marathon Petroleum,1256275.6,49,16.35349927402812
Trafigura,3,Chevron,1225220.83,35,15.949245495119968
Trafigura,4,PAR Hawaii Refining,694076.57,24,9.035103988022158
Trafigura,5,PBF Energy,583708.73,13,7.5983966354985135
ExxonMobil,1,ExxonMobil,7673326.7,236,87.31220218581441
ExxonMobil,2,Citgo,331402.1,4,3.770912967905235
ExxonMobil,3,Marathon Petroleum,308417.0,5,3.5093732502673607
ExxonMobil,4,Chevron,283162.14,4,3.2220066974403534
ExxonMobil,5,PBF Energy,192070.44,7,2.1855048985726535
Emirates Aluminium (EGA),1,Emirates Aluminium (EGA),4250608.27,305,46.59170063539508
Emirates Aluminium (EGA),2,Vulcan Materials,2889135.51,69,31.668346793342472
Emirates Aluminium (EGA),3,Blue Water Industries,1809300.0,36,19.83207075433943
Emirates Aluminium (EGA),4,Naturgy Aprovisionamientos Sa,116058.0,2,1.2721331275118144
Emirates Aluminium (EGA),5,Orca Sand and Gravel,58000.0,2,0.6357486894112017
