Entity_Name,Port_of_Loading,Port_of_Discharge,HS2,HS4,Total_Tons,Shipment_Count,Goods_Keywords,Confidence_Score
Irving Oil,"Saint John, Nb, Canada","Port of Portland, Portland, Maine",27.0,2710.0,10273731.28,1905,"60, 000 BBLS SUMMER REGULAR CBOB 40, 000 BBLS SUMMER REGULAR CBOB 28, 500 BBLS ULTRA LOW SULFUR DIESEL - FROB 55, 000 BBLS SUMMER REG CBOB 19, 000 BBLS SUMMER PREM RBOB 22, 000 BBLS ULTRA LOW SULFUR HEATING OIL 20, 000 BBLS ULTRA LOW SULFUR DIESEL 80, 000 BBLS SUMMER REG CBOB 18, 000 BBLS SUMMER PREM RBOB 45, 000 BBLS ULTRA LOW SULFUR DIESEL",19152.7
Irving Oil,"Saint John, Nb, Canada","Port Of Boston, Boston, Massachusetts",27.0,2710.0,12562174.96,1748,"220, 000 BBLS SUMMER REGULAR RBOB 45, 000 BBLS ULTRA LOW SULFUR DIESEL OIL 50, 000 BBLS ULTRA LOW SULFUR DIESEL 50, 000 BBLS ULTRA LOW SULFUR DIESEL 35, 000 BBLS JET FUEL 55, 000 BBLS JET FUEL 50, 000 BBLS ULTRA LOW SULFUR DIESEL 42, 000 BBLS SUMMER PREM RBOB 82, 000 BBLS WUMMER REG RBOB 5, 000 BBLS SUMMER PREM RBOB",17605.6
Chevron,"High Seas,North Pacific","Port of Richmond, Richmond, California",27.0,2709.0,32511038.72,719,"ARAB LIGHT CRUDE OIL APPROX 394, 000 BBLS ARAB LIGHT CRUDE OIL 350, 776 BBLS ARAB LIGHT CRUDE OIL APPROX 325, 000 BBLS ARAB LIGHT CRUDE OIL APROX. 200, 000 BBLS ARAB LIGHT CRUDE OIL APROX. 100, 000 BBLS ARAB LIGHT CRUDE OIL APROX 50, 000 BBLS ARAB LIGHT CRUDE OIL 350, 776 BBLS ARAB LIGHT CRUDE OIL APPROX 325, 000 BBLS ARAB LIGHT CRUDE OIL APPROX. 350, 000 BBLS ARAB LIGHT CRUDE OIL 715, 000 BBLS",7515.1
Irving Oil,"Saint John, Nb, Canada","ProvPort, Providence, Rhode Island",27.0,2710.0,5217927.54,616,"90, 000 BBLS SUMMER REG RBOB 6, 000 BBLS SUMMER PREM RBOB 10, 000 BBLS ULTRA LOW SULFUR DIESEL 45, 000 BBLS ULTRA LOW SULFUR DIESEL 80, 000 BBLS SUMMER REG RBOB 20, 000 BBLS SUMMER PREM RBOB 21, 000 BBLS ASPHALT 140, 000 BBLS WINTER REG RBOB 38, 000 BBLS WINTER PREM RBOB 45, 000 BBLS ULTRA LOW SLUFUR HEATING OIL",6212.2
Chevron,"Armuelles, Panama","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,24202557.0,387,"VASCONIA CRUDE OIL 496418 BBLS PAYARA GOLD CRUDE OIL 501800 BBLS 200, 000 BBLS UNITY GOLD CRUDE OIL 496, 548. 13 BBLS LIZA CRUDE OIL 101, 000 BBLS UNITY GOLD CRUDE OIL 1, 004, 431 BBLS PAYARA CRUDE OIL UNITY GOLD CRUDE OIL 997648 BBLS VASCONIA CRUDE OIL APPROX. 501, 649. 42 BBLS UNITY GOLD CRUDE OIL APPROX. 500, 044. 64 BBLS VASCONIA CRUDE OIL 500, 375. 69 BBLS",4112.0
Irving Oil,"Saint John, Nb, Canada","Searsport, Maine",27.0,2710.0,2136358.44,352,"95, 000 BBLS SUMMER REG CBOB 10, 000 BBLS ULTA LOW SULFUR HEATING OIL 47, 000 BBLS ULTRA LOW SULFUR DIESEL 95, 000 BBLS WINTER REG CBOB 55, 000 BBLS ULTRA LOW SULFUR DIESEL 40, 000 BBLS WINTER REG CBOB 45, 000 BBLS ULTRA LOW SULFUR DIESEL 42, 000 BBLS ULTRA LOW SULFUR HEATING OIL 42, 254 BBLS ULTRA LOW SULFUR DIESEL 28, 320 BBLS ULTRA LOW SULFUR HEATING OIL",3541.4
Irving Oil,"Saint John, Nb, Canada","Port Of NewHampshire, Portsmouth, New Hampshire",27.0,2710.0,2578186.0,332,"29, 000 BBLS ULTRA LOW SULFUR DIESEL 40, 000 BBLS ULTRA LOW SULFUR HEATING OIL 21, 000 BBLS ASPHALT 40, 000 BBLS ASPHALT 45, 000 BBLS ULTRA LOW SULFUR HEATING OIL 42, 000 BBLS ASPHALT 40, 000 BBLS ASPHALT 82, 000 BBLS ULTRA LOW SULFUR HEATING OIL 45, 000 BBLS ULTRA LOW SULFUR DIESEL OIL 88, 500 BBLS ULTRA LOW SULFUR HEATING OIL",3345.8
Valero,"Pembroke, United Kingdom","Port Of Boston, Boston, Massachusetts",27.0,2710.0,3559455.99,265,"110, 000 BBLS RBOB UNL 7. 4 RVP FOR BLNDG W/10% ETOH/ 34, 000 BBLS RBOB PREM 7. 4 RVP FOR BLNDG W/10. 0%ETOH/ 137, 434 BBLS RBOB UNL 7. 4 RVP FOR BLNDG W/10% ETOH/ 21, 712 BBLS RBOB PREM 7. 4 RVP FOR BLNDG W/10. 0%ETOH RBOB RBOB UNL 13. 5 RVP FOR BLNDG W/10% ETOH RBOB RBOB UNL 13. 5 RVP FOR BLNDG W/10% ETOH RBOB PREM 13. 5 RVP FOR BLNDG W/10. 0% ETOH APPROV. 41, 843 BBLS RBOB UNL 13. 5 RVP FOR BLNDG W/10. 0% ETOH APPROV. 68, 996 BBLS SUNOCO EAST BOSTON TERMINAL RBOB UNL 13. 5 RVP FOR BLNDG W/10. 0% ETOH 200, 000 BBLS BOSTON, BRAINTREE CITGO TERMINAL RBOB ULN 15. 0 RVP FOR BLNDG W 10. 0%ETOH 140, 282. 000 BBLS RBOB PREM 15. 0 RVP FOR BLNDG W 10. 0%ETOH 22, 091. 000 BBLS",2685.6
Ternium,"Sepetiba Bay, Brazil","The Port of Brownsville, Brownsville, Texas",68.0,6802.0,12023478.0,246,STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS STEEL SLABS,2580.2
Bolanter Corporation,"High Seas,Gulf Of Mexico","Port Arthur, Texas",27.0,2709.0,14980445.959999999,216,"540, 782. 1 BBLS GSV@60F ARAB LIGHT API 32. 90 397, 203. 4 BBLS GSV@60F ARAB LIGHT API 32. 60 501, 250 BBLS GSV@60F ARAB LIGHT CRUDE API 33. 501, 710. 30 BBLS GSV@60F ARAB LIGHT API 33. 00 507, 848. 09 BBLS GSV@60F ARAB LIGHT API 33. 00 536, 764 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 524, 266. 13 BBLS GSV@60F ARAB LIGHT CRUDE OIL 452, 815 BBLS GSV @ 60F ARAB LIGHT CRUDE OIL A 550, 762 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 503, 908. 8 BBLS GSV@60F ARAB LIGHT API 33. 80",2309.8
