Entity,Entity_ID,Port_of_Loading,Port_of_Discharge,HS2,HS4,Total_Tons,Record_Count,Pct_of_Entity,Entity_Total_Tons
Chevron,CHEVRON-001,"High Seas,North Pacific","Port of Richmond, Richmond, California",27.0,2709.0,11629045.98,244,19.8,58716615.65
Chevron,CHEVRON-001,"Armuelles, Panama","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,8090067.3,128,13.8,58716615.65
Chevron,CHEVRON-001,"Jose, Venezuela","Port of Pascagoula, Pascagoula, Mississippi",27.0,2709.0,2858031.42,37,4.9,58716615.65
Chevron,CHEVRON-001,"Jose, Venezuela","Port of New Orleans, New Orleans, Louisiana",27.0,2709.0,2269624.33,33,3.9,58716615.65
Chevron,CHEVRON-001,"Cayo Arcas, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,2131428.67,29,3.6,58716615.65
Chevron,CHEVRON-001,"Pajaritos, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,1960883.53,30,3.3,58716615.65
Chevron,CHEVRON-001,"Skikda, Algeria","Port of Richmond, Richmond, California",27.0,2710.0,1863323.07,23,3.2,58716615.65
Chevron,CHEVRON-001,"Jose, Venezuela","Freeport, Freeport, Texas",27.0,2709.0,1830502.77,24,3.1,58716615.65
Chevron,CHEVRON-001,"Bajo Grande, Venezuela","Port of Pascagoula, Pascagoula, Mississippi",27.0,2709.0,1244042.13,23,2.1,58716615.65
Chevron,CHEVRON-001,"Armuelles, Panama","Port of Richmond, Richmond, California",27.0,2709.0,1166238.28,25,2.0,58716615.65
Chevron,CHEVRON-001,"Jose, Venezuela","Port of Wilmington, Wilmington, Delaware",27.0,2709.0,971545.51,20,1.7,58716615.65
Chevron,CHEVRON-001,"High Seas,North Pacific","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,942902.6799999999,22,1.6,58716615.65
Chevron,CHEVRON-001,"Bajo Grande, Venezuela","Port of New Orleans, New Orleans, Louisiana",27.0,2709.0,929149.37,17,1.6,58716615.65
Chevron,CHEVRON-001,"All Other Venezuela Ports, Venezuela","Port of New Orleans, New Orleans, Louisiana",27.0,2709.0,894706.68,12,1.5,58716615.65
Chevron,CHEVRON-001,"Jose, Venezuela","Port Arthur, Texas",27.0,2709.0,694245.76,11,1.2,58716615.65
