Entity,Entity_ID,Port_of_Loading,Port_of_Discharge,HS2,HS4,Total_Tons,Record_Count,Pct_of_Entity,Entity_Total_Tons
PMI Trading,PMI-001,"Dos Bocas, Mexico","Port Arthur, Texas",27.0,2709.0,6148673.43,89,15.2,40577035.15
PMI Trading,PMI-001,"Cayo Arcas, Mexico","Houston, Houston, Texas",27.0,2709.0,2732820.62,33,6.7,40577035.15
PMI Trading,PMI-001,"Dos Bocas, Mexico","Houston, Houston, Texas",27.0,2709.0,2523413.63,32,6.2,40577035.15
PMI Trading,PMI-001,"Pajaritos, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,2348425.87,44,5.8,40577035.15
PMI Trading,PMI-001,"Pajaritos, Mexico","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,2023220.14,37,5.0,40577035.15
PMI Trading,PMI-001,"Cayo Arcas, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,1983770.67,27,4.9,40577035.15
PMI Trading,PMI-001,"Campeche, Mexico","Port Arthur, Texas",27.0,2709.0,1600683.99,22,3.9,40577035.15
PMI Trading,PMI-001,"Coatzacoalcos, Mexico","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,1315104.56,27,3.2,40577035.15
PMI Trading,PMI-001,"Altamira, Mexico","Houston, Houston, Texas",27.0,2710.0,1037700.73,48,2.6,40577035.15
PMI Trading,PMI-001,"Salina Cruz, Mexico","Port of New Orleans, New Orleans, Louisiana",27.0,2710.0,1014003.08,22,2.5,40577035.15
PMI Trading,PMI-001,"All Other Mexico East Coast Region Ports, Mexico","Houston, Houston, Texas",27.0,2709.0,962467.14,12,2.4,40577035.15
PMI Trading,PMI-001,"Dos Bocas, Mexico","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,921942.43,16,2.3,40577035.15
PMI Trading,PMI-001,"Pajaritos, Mexico","Houston, Houston, Texas",27.0,2710.0,846635.85,32,2.1,40577035.15
PMI Trading,PMI-001,"Dos Bocas, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,812584.69,14,2.0,40577035.15
PMI Trading,PMI-001,"Coatzacoalcos, Mexico","Houston, Houston, Texas",27.0,2710.0,691868.45,26,1.7,40577035.15
PMI Trading,PMI-001,"Altamira, Mexico","Port Arthur, Texas",27.0,2709.0,654588.57,23,1.6,40577035.15
PMI Trading,PMI-001,"Pajaritos, Mexico","Port of Morgan City, Morgan City, Louisiana",27.0,2709.0,530557.47,8,1.3,40577035.15
PMI Trading,PMI-001,"Pajaritos, Mexico","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",27.0,2709.0,529154.68,12,1.3,40577035.15
PMI Trading,PMI-001,"Pajaritos, Mexico","Port of Texas City, Texas City, Texas",27.0,2709.0,516021.07,12,1.3,40577035.15
PMI Trading,PMI-001,"Coatzacoalcos, Mexico","Port of Texas City, Texas City, Texas",27.0,2709.0,510067.51999999996,13,1.3,40577035.15
Chevron,CHEVRON-001,"Armuelles, Panama","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,7846076.39,121,28.0,28006106.28
Chevron,CHEVRON-001,"High Seas,North Pacific","Port of Richmond, Richmond, California",27.0,2709.0,4821247.0,95,17.2,28006106.28
Chevron,CHEVRON-001,"Orangestad, Aruba","Port Arthur, Texas",27.0,2709.0,3269361.51,94,11.7,28006106.28
Chevron,CHEVRON-001,"Orangestad, Aruba","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,2033406.07,96,7.3,28006106.28
Chevron,CHEVRON-001,"Skikda, Algeria","Port of Richmond, Richmond, California",27.0,2710.0,1481085.81,18,5.3,28006106.28
Chevron,CHEVRON-001,"Armuelles, Panama","Port of Richmond, Richmond, California",27.0,2709.0,1166238.28,25,4.2,28006106.28
Chevron,CHEVRON-001,"Mina Saud, Kuwait","Houston, Houston, Texas",27.0,2709.0,595110.2999999999,12,2.1,28006106.28
Chevron,CHEVRON-001,"Mina Saud, Kuwait","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,520810.4,10,1.9,28006106.28
Chevron,CHEVRON-001,"Freeport, Grand Bahama I, Bahamas","Port of Pascagoula, Pascagoula, Mississippi",27.0,2710.0,517539.87,10,1.8,28006106.28
Chevron,CHEVRON-001,"High Seas,Gulf Of Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,466050.98,10,1.7,28006106.28
Chevron,CHEVRON-001,"Antwerp, Belgium","The Port of Los Angeles, Los Angeles, California",27.0,2710.0,312086.16000000003,6,1.1,28006106.28
Chevron,CHEVRON-001,"High Seas,North Pacific","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,290758.0,4,1.0,28006106.28
Chevron,CHEVRON-001,"Armuelles, Panama","Port of Long Beach, Long Beach, California",27.0,2709.0,282073.0,6,1.0,28006106.28
Chevron,CHEVRON-001,"Whiffen Head, Nfld, Canada","Port of Wilmington, Wilmington, Delaware",27.0,2709.0,267968.0,6,1.0,28006106.28
Chevron,CHEVRON-001,"Vancouver, BC, Canada","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,241576.44,3,0.9,28006106.28
Chevron,CHEVRON-001,"All Other Panama West Coast Region Ports, Panama","The Port of Los Angeles, Los Angeles, California",27.0,2710.0,225684.34,8,0.8,28006106.28
Chevron,CHEVRON-001,"Whiffen Head, Nfld, Canada","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,224713.94,6,0.8,28006106.28
Chevron,CHEVRON-001,"Freeport, Grand Bahama I, Bahamas","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,220574.36,4,0.8,28006106.28
Chevron,CHEVRON-001,"Mina Saud, Kuwait","Port of Richmond, Richmond, California",27.0,2709.0,192190.0,4,0.7,28006106.28
Chevron,CHEVRON-001,"San Nicolas Bay, Aruba","Port Arthur, Texas",27.0,2709.0,181953.96,6,0.6,28006106.28
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Port Of Boston, Boston, Massachusetts",27.0,2710.0,6289557.48,875,33.2,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Port of Portland, Portland, Maine",27.0,2710.0,5015076.7,933,26.5,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","ProvPort, Providence, Rhode Island",27.0,2710.0,2579730.18,305,13.6,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Port Of NewHampshire, Portsmouth, New Hampshire",27.0,2710.0,1289093.0,166,6.8,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Searsport, Maine",27.0,2710.0,1051859.82,173,5.6,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Port of New Haven, New Haven, Connecticut",27.0,2710.0,533168.0,53,2.8,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Wilmington, Wilmington, North Carolina",27.0,2710.0,380910.14,59,2.0,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Baltimore, Maryland",27.0,2710.0,328212.0,43,1.7,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","San Juan, San Juan, Puerto Rico",27.0,2710.0,214103.9,16,1.1,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Bangor, Maine",27.0,2710.0,206676.0,30,1.1,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Port Of Entry-Perth Amboy, Perth Amboy, New Jersey",27.0,2710.0,190052.0,17,1.0,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","New York/Newark Area, Newark, New Jersey",27.0,2710.0,153207.28,10,0.8,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","The Port of Charleston, Charleston, South Carolina",27.0,2710.0,141570.0,26,0.7,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",27.0,2710.0,113919.0,9,0.6,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Port of Virginia, Norfolk, Virginia",27.0,2710.0,93220.0,18,0.5,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Albany, New York",27.0,2710.0,81987.0,10,0.4,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","New York, New York",27.0,2710.0,78324.0,10,0.4,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Ponce, Ponce, Puerto Rico",27.0,2710.0,70417.26,5,0.4,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Georgia Ports Authority, Savannah, Georgia",27.0,2710.0,30660.0,2,0.2,18945928.94
Irving Oil,IRVING-001,"Saint John, Nb, Canada","Bridgeport, Connecticut",27.0,2710.0,23044.0,3,0.1,18945928.94
State Oil Marketing Company (SOMO),SOMO-001,"High Seas,North Pacific","Port of Richmond, Richmond, California",27.0,2709.0,7584064.98,163,48.3,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Al Basrah, Iraq","Port of Long Beach, Long Beach, California",27.0,2709.0,5862183.07,37,37.4,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Khor Al Zubair, Iraq","Port of New Orleans, New Orleans, Louisiana",27.0,2710.0,754704.5700000001,14,4.8,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"High Seas,North Pacific","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,514674.48,16,3.3,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Khor Al Zubair, Iraq","Port of Christiansted, Christiansted, Virgin Islands",27.0,2710.0,184718.0,4,1.2,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Al Basrah, Iraq","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,140372.0,1,0.9,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Khor Al Zubair, Iraq","Port of Texas City, Texas City, Texas",27.0,2710.0,122845.95999999999,3,0.8,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"High Seas,North Pacific","Port of Long Beach, Long Beach, California",27.0,2709.0,121274.56,3,0.8,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"All Other Iraq Ports, Iraq","Port of New Orleans, New Orleans, Louisiana",27.0,2710.0,92152.88,4,0.6,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"All Other Iraq Ports, Iraq","Port of Texas City, Texas City, Texas",27.0,2710.0,84237.2,2,0.5,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Fujairah, United Arab Emirates","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,80485.32,1,0.5,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"High Seas,Gulf Of Mexico","Port of Texas City, Texas City, Texas",27.0,2710.0,77164.0,2,0.5,15692342.02
State Oil Marketing Company (SOMO),SOMO-001,"Al Basrah, Iraq","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",27.0,2709.0,49449.0,1,0.3,15692342.02
