Consignee_Harmonized,Port of Loading (F),Country of Origin (F),Shipper_Harmonized,Tons,Consignee_Entity_ID,Pct_of_Entity_Total,Route_Rank
Aes Puerto Rico Lp,"Puerto Drummond, Colombia",Colombia,Drummond,2468800.0,,100.0,1.0
Aramco Americas,"Freeport, Grand Bahama I, Bahamas",Bahamas,Aramco Americas,590124.94,ARAMCO-001,28.7,1.0
Aramco Americas,"Forcados, Nigeria",Nigeria,Monroe Energy,524244.0,ARAMCO-001,25.5,2.0
Aramco Americas,"All Other Nigeria Ports, Nigeria",Nigeria,Nigerian National Petroleum Corp.,211660.14,ARAMCO-001,10.3,3.0
Aramco Americas,"Pointe A Pierre, Trinidad and Tobago",Trinidad and Tobago,Heritage Petroleum,157773.28,ARAMCO-001,7.67,4.0
Aramco Americas,"Freeport, Grand Bahama I, Bahamas",Bahamas,Aramco Trading Co.,112854.78,ARAMCO-001,5.49,5.0
Aramco Americas,"Puerto Matias De Galves, Guatemala",Guatemala,Perenco Guatemala Ltd.,84236.36,ARAMCO-001,4.1,6.0
Aramco Americas,"All Other Trinidad Ports, Trinidad and Tobago",Trinidad and Tobago,Heritage Petroleum,50489.0,ARAMCO-001,2.46,7.0
Aramco Americas,"Dhuba, Saudi Arabia",Saudi Arabia,Aramco Trading Fujairah,44332.27,ARAMCO-001,2.16,8.0
Aramco Americas,"Freeport, Grand Bahama I, Bahamas",Bahamas,Aramco Trading Fujairah,43741.0,ARAMCO-001,2.13,9.0
Aramco Americas,"Cartagena, Colombia",Colombia,Ecopetrol,40883.0,ARAMCO-001,1.99,10.0
Aramco Americas,"Dos Bocas, Mexico",Mexico,PMI Trading,40356.0,ARAMCO-001,1.96,11.0
Aramco Americas,"Skikda, Algeria",Algeria,Aramco Americas,39293.0,ARAMCO-001,1.91,12.0
Aramco Americas,"All Other Saudi Arabia Ports, Saudi Arabia",Saudi Arabia,Aramco Trading Co.,34853.78,ARAMCO-001,1.7,13.0
