HS4,HS4_Description,Records,Tons,Pct_of_Unclassified,Top_Keywords,Top_Packages
2710.0,Description not available,4373,28564079.1,21.88%,BBLS (2188) | TRLRS (1974) | SPEC (1038) | TON (1030) | SEMI (1028) | CAP (1023) | OIL (873) | CBP (848) | FORM (848) | CARGO (792),LBK: 2483 | PCS: 958 | BLK: 606
7219.0,Description not available,647,7034210.49,5.39%,HOT (505) | ROLLED (432) | COIL (417) | PRIME (290) | QUALITY (282) | COILS (238) | STEEL (234) | ALLOY (165) | MTS (147) | STEELPLATES (139),COL: 323 | PCS: 253 | UNT: 24
2707.0,Description not available,626,6516367.63,4.99%,NAPHTHA (457) | BBLS (411) | BARRELS (78) | HVN (68) | VIRGIN (50) | DEG (48) | BBL (48) | REFORMATE (47) | TON (40) | BULK (37),LBK: 536 | BLK: 78 | BBL: 3
2905.0,Description not available,348,5534180.57,4.24%,BULK (159) | ALCOHOL (129) | DEG (115) | GLYCERINE (110) | POINT (108) | ONBOARD (84) | REFINED (54) | BUTYL (53) | MELTING (51) | ISOTANK (49),LBK: 280 | BLK: 44 | TNK: 17
2709.0,Description not available,339,5083590.0200000005,3.89%,BBLS (253) | CRUDE (148) | ONBOARD (133) | GSV (117) | OIL (100) | API (85) | FOREIGN (46) | RETAINED (46) | LSVGO (46) | NOTES (42),LBK: 215 | BLK: 124
7210.0,Description not available,2479,4763238.9,3.65%,COIL (3508) | HOT (1705) | DIP (1472) | COILS (1434) | ALLOY (1280) | PREPAINTED (918) | COATED (886) | STEEL (844) | ZINC (827) | ASTM (562),COL: 2086 | PCS: 348 | PKG: 34
2701.0,Description not available,98,4397364.66,3.37%,COAL (90) | STEAM (79) | COLUMBIAN (60) | COLOMBIAN (19) | ANTHRACITE (15) | BULK (13) | QUANTITY (13) | PERUVIAN (4) | RECARBURIZER (4) | GAS (4),BLK: 88 | BAG: 6 | DBK: 4
2915.0,Description not available,233,3460274.73,2.65%,ACID (117) | DOLE (88) | KGS (86) | PUERTO (84) | BOX (84) | ONBOARD (83) | BULK (67) | DEG (45) | AZTEC (44) | LIMON (43),LBK: 181 | BLK: 25 | BOX: 9
7221.0,Description not available,289,3070595.81,2.35%,WIRE (271) | STEEL (270) | ROD (270) | HOT (15) | ROLLED (15) | STEELPLATES (15) | PLATES (2) | COILS (2) | BARS (2) | CODES (2),PCS: 233 | BDL: 48 | COL: 7
2914.0,Description not available,176,2798585.12,2.14%,KETONE (142) | METHYL (128) | ETHYL (80) | POINT (56) | DEG (52) | MIBK (50) | ISOBUTYL (46) | BULK (43) | ONBOARD (42) | MEK (40),LBK: 155 | BLK: 10 | PKG: 4
7204.0,Description not available,312,2347931.33,1.80%,SCRAP (219) | STEEL (189) | BULK (181) | POINT (48) | BUSHELING (40) | DEG (40) | METAL (37) | MELTING (27) | ISOPROPYL (26) | RAIL (22),BLK: 199 | PCS: 51 | LBK: 22
2619.0,Description not available,63,1698968.45,1.30%,SLAG (63) | BULK (52) | GRANULATED (28) | BLAST (28) | FURNACE (22) | GROUND (16) | FURANCE (5) | TITANIUM (5) | COPPER (5) | BEARING (3),BLK: 58 | DBK: 3 | BKG: 1
7208.0,Description not available,48,1532481.13,1.17%,HOT (28) | ROLLED (28) | COIL (28) | PLATES (25) | NET (19) | PRIME (15) | PICKLED (15) | OILED (15) | PLATE (14) | A36 (12),COL: 26 | PCS: 20 | BDL: 2
8428.0,Description not available,327,1387497.87,1.06%,AGGREGATES (65) | MACHINE (46) | BULK (38) | COMPACT (31) | ASSEMBLY (31) | HANDLING (29) | SENNEBOGEN (27) | DUCTING (24) | RETROFIT (20) | CONVEYOR (19),PKG: 117 | BLK: 70 | CAS: 48
3105.0,Description not available,156,1370950.18,1.05%,NITRATE (209) | THAN (194) | LESS (127) | CAT (108) | LIQUID (100) | NOXIOUS (97) | CN9 (97) | CONTAINS (97) | CALCIUM (97) | LES (67),LBK: 104 | BLK: 40 | BAG: 6
1201.0,Description not available,197,1282397.25,0.98%,BULK (417) | SOYBEANS (368) | ORGANIC (285) | LOT (190) | CONTAINER (80) | CONTRAT (72) | INTERMEDIATE (64) | NOP (54) | BOARD (40) | BRAZILIAN (35),BLK: 153 | REL: 17 | DBK: 10
8479.0,Description not available,488,1208678.02,0.93%,CSC (276) | BOX (143) | KGS (121) | DOLE (116) | PUERTO (114) | MOIN (114) | TOP (73) | BOT (69) | FURNACE (31) | SLAG (31),PKG: 166 | PCS: 115 | BLK: 45
2922.0,Description not available,97,1124079.83,0.86%,DIETHANOLAMINE (44) | BULK (34) | DEG (16) | POINT (14) | LYSINE (11) | HCL (11) | DEA (9) | GRADE (9) | CRYSTALS (7) | PROPANOL (7),LBK: 52 | BAG: 18 | PKG: 10
6806.0,Description not available,51,1062421.52,0.81%,WOOL (74) | SLAG (28) | ROCK (28) | BULK (28) | SHEETS (28) | MINERAL (16) | ETC (14) | SIMILAR (14) | PERLITE (13) | INCLUDING (13),BAG: 25 | PKG: 12 | BOX: 3
8474.0,Description not available,268,1053909.86,0.81%,CRUSHER (95) | SCREEN (54) | BULK (40) | AGGREGATES (38) | MOBILE (27) | MACHINE (24) | PLANT (20) | PACKAGE (19) | SCREENS (16) | BELT (16),PKG: 107 | UNT: 49 | PCS: 43
3824.0,Description not available,203,1004725.51,0.77%,DEG (100) | BULK (74) | POINT (72) | METHYL (62) | NAME (51) | ACID (43) | ADDITIVE (38) | CARBON (37) | MARKS (37) | IMO (36),LBK: 113 | PKG: 39 | BAG: 17
4411.0,Description not available,48,985290.43,0.75%,DOLE (114) | PUERTO (114) | MOIN (114) | BOX (112) | KGS (110) | HARDBOARD (30) | MAYA (26) | SHEETS (23) | MACGREGOR (22) | AZTEC (20),PKG: 24 | SHT: 14 | LBK: 6
2713.0,Description not available,96,925272.29,0.71%,COKE (93) | PETROLEUM (83) | CALCINED (26) | GRAPHITIZED (25) | GREEN (18) | BULK (14) | DELAYED (9) | GROSS (8) | NET (8) | TON (8),BLK: 42 | BAG: 31 | LBK: 8
1701.0,Description not available,151,903331.16,0.69%,CANE (91) | SUGAR (85) | BAGS (71) | RAW (56) | BIG (56) | GROSS (40) | NET (40) | NOT (35) | BULK (34) | TON (32),BLK: 71 | BKG: 48 | BAG: 11
4703.0,Description not available,143,890371.73,0.68%,BALES (76) | ONBOARD (73) | ECF (71) | STC (69) | SCA (69) | PURE (69) | VALUE (54) | USD (54) | FOREIGN (33) | OCEAN (29),UNT: 73 | PCS: 25 | LBK: 19
3102.0,Description not available,122,840618.39,0.64%,NITRATE (73) | AMMONIUM (51) | BULK (34) | BAGS (34) | GRADE (33) | UREA (31) | SOLUTION (28) | SODIUM (27) | PRILLED (27) | MARKS (26),BAG: 50 | BLK: 47 | LBK: 14
2303.0,Description not available,145,834277.57,0.64%,BULK (153) | ANIMAL (24) | GRAIN (23) | PARAXYLENE (17) | CORN (16) | SHELL (15) | DAESAN (15) | GRAINS (14) | DRIED (12) | RENDERED (12),BLK: 66 | LBK: 53 | UNT: 9
7202.0,Description not available,346,834081.68,0.64%,BULK (895) | FERRO (852) | SILICON (401) | NET (397) | GROSS (350) | PACKING (336) | NICKEL (318) | GRANULATED (318) | CONTAINER (314) | PACKAGES (311),BLK: 210 | PKG: 39 | BKG: 36
6802.0,Description not available,97,801987.71,0.61%,KGS (66) | VALUE (48) | OUR (44) | NET (44) | USD (43) | SALVINI (40) | DIAS (40) | BULK (29) | FERRO (22) | NICKEL (22),BLK: 33 | PCS: 30 | PKG: 21
2908.0,Description not available,2,750068.9,0.57%,MARPOL (2) | ANNEX (2) | CAT (2) | MOLASSES (2),LBK: 2
