HS2,HS4,Records,Tons
27,2710,4372,28534015.66
72,7219,647,7034210.49
27,2707,623,6493680.15
29,2905,348,5534180.57
27,2709,339,5083590.0200000005
72,7210,2479,4763238.9
29,2915,233,3460274.73
72,7221,289,3070595.81
29,2914,176,2798585.12
72,7204,312,2347931.33
26,2619,63,1698968.45
72,7208,48,1532481.13
84,8428,327,1387497.87
31,3105,156,1370950.18
12,1201,197,1282397.25
,,0,1255816.82
84,8479,488,1208678.02
29,2922,97,1124079.83
68,6806,51,1062421.52
84,8474,268,1053909.86
44,4411,48,985290.43
47,4703,143,890371.73
38,3824,193,873320.91
31,3102,122,840618.39
17,1701,147,837331.16
23,2303,145,834277.57
68,6802,97,801987.71
29,2908,2,750068.9
76,7601,779,749484.98
26,2618,31,726250.0
44,4407,223,719992.0599999999
26,2614,53,665792.74
28,2827,55,643984.81
38,3823,253,596554.9299999999
15,1511,953,590718.14
23,2309,113,586063.49
39,3920,123,580145.97
23,2301,109,576099.3
73,7304,1435,545650.9
15,1515,121,540716.42
73,7308,880,536828.15
84,8419,291,526912.77
40,4001,3009,517393.76
39,3901,577,500405.75
23,2304,202,482563.84
72,7225,256,479172.09
25,2519,174,438811.61
26,2621,21,438673.9
73,7306,951,428135.92
10,1001,46,404152.88
11,1104,37,401777.5
40,4010,40,399960.67
72,7201,103,397740.91000000003
29,2901,282,350968.67
29,2929,108,344785.51
39,3909,108,334893.95
87,8708,770,326710.91
28,2833,107,301811.52
84,8429,1420,300202.75
25,2508,22,298412.26
72,7222,114,296452.69
64,6403,22,292218.7
84,8431,740,289326.78
20,2008,72,283256.7
20,2009,65,280495.4
71,7112,24,269180.43
28,2809,40,267635.08
95,9503,149,265013.43
31,3104,63,258241.18
29,2916,185,256660.88
10,1006,52,250929.6
84,8413,450,246291.73
87,8703,1266,243529.08
28,2836,54,239689.88
25,2507,37,237748.0
12,1214,18,235082.8
83,8302,33,234226.88
25,2523,62,233702.09
11,1108,15,233012.97999999998
08,0805,519,229961.09
40,4002,165,228919.78
74,7404,10,225939.37
48,4810,1294,224670.33
07,0713,38,221349.16999999998
34,3402,174,209005.24
76,7604,93,202288.25
03,0306,30,193089.31
38,3811,140,188619.54
72,7216,147,185091.8
27,2712,82,184792.57
86,8609,143,179804.27
28,2835,36,173720.87
15,1513,135,168416.56
29,2909,36,167169.83
39,3926,209,155883.16999999998
25,2530,19,154865.71
22,2204,246,152330.03
48,4804,52,149266.06
12,1202,4,147587.69
25,2517,7,145755.83000000002
15,1512,289,142671.13999999998
44,4416,67,139635.55
73,7326,270,137577.33
26,2620,16,137272.34
29,2917,84,132639.68
72,7228,433,125562.11
02,0201,7,124428.97
85,8541,86,123386.55
08,0803,333,121431.56999999999
84,8437,6,121381.22
38,3817,27,119380.90000000001
11,1103,9,119000.0
29,2921,68,112799.79
72,7214,51,111983.68
15,1514,86,110309.01
20,2005,15,108545.09
12,1207,14,107941.71
40,4004,49,104115.31
23,2302,21,102313.9
28,2849,176,101691.72
41,4101,238,101124.32
48,4818,21,100497.62
39,3907,116,98540.45
78,7801,13,96187.12
85,8544,140,96147.54000000001
15,1509,257,95404.81
94,9401,146,93665.83
29,2902,105,93185.75
72,7202,86,92242.59999999999
84,8418,137,88934.26999999999
11,1101,5,87500.0
84,8483,402,87064.99
30,3004,46,86692.57
72,7205,3,86022.52
29,2930,59,85607.56999999999
79,7901,19,83008.26000000001
84,8481,253,81930.18000000001
09,0901,474,81780.91
29,2903,106,81399.82
84,8433,72,80910.42
94,9403,396,79378.09
26,2608,14,76788.88
47,4702,140,75033.2
84,8414,545,74476.19
10,1005,6,73078.75
76,7606,450,72579.42
84,8426,184,67936.88
28,2821,8,66607.2
84,8411,40,63712.16
44,4421,19,63387.19
73,7312,76,63315.909999999996
39,3902,65,63311.62
12,1208,3,62870.0
26,2601,6,62004.5
84,8421,417,61513.32
85,8503,83,61143.090000000004
69,6909,10,61119.270000000004
22,2202,17,60567.479999999996
32,3206,17,58489.48
61,6104,15,58002.36
84,8467,31,56517.33
08,0804,275,56461.29
84,8415,120,56284.77
25,2529,16,55511.810000000005
15,1502,126,54347.52
44,4403,8,53637.26
25,2501,11,53134.84
22,2207,15,52870.34
70,7010,30,52516.829999999994
85,8504,440,51947.99
20,2006,18,49546.04
74,7409,5,48880.399999999994
05,0511,13,47892.92
84,8417,29,47256.44
72,7224,32,46716.27
22,2208,58,45550.26
20,2004,46,44446.94
84,8462,310,43620.92
12,1206,24,43481.24
28,2830,19,42828.51
85,8507,164,41540.17
25,2516,64,41502.96
52,5201,76,41308.98
39,3917,30,40725.2
26,2602,2,40119.24
73,7302,123,39851.99
25,2505,21,39727.979999999996
11,1107,32,37473.96
47,4707,44,36908.69
44,4418,88,36521.340000000004
38,3801,144,36319.49
41,4107,14,34934.590000000004
44,4412,44,34856.21
62,6204,75,34539.43
87,8706,3,34500.0
84,8461,31,34141.36
40,4011,54,33938.32
28,2801,1,33566.0
88,8807,128,32190.010000000002
32,3201,13,31974.02
84,8427,188,31526.25
68,6810,33,31477.59
02,0207,9,31472.92
26,2603,3,31000.0
25,2518,3,30000.0
29,2932,46,29966.0
15,1508,4,29052.0
12,1205,23,28814.62
83,8311,5,27325.05
84,8425,26,26995.859999999997
73,7317,67,26635.69
44,4401,3,26009.92
25,2503,1,26000.0
02,0202,24,25525.63
87,8716,60,25087.3
85,8502,125,24763.98
04,0404,28,23560.91
11,1109,25,23497.23
38,3808,19,23470.04
15,1518,74,23065.64
26,2615,5,22358.230000000003
28,2813,25,22061.25
10,1003,2,22000.0
29,2904,9,21817.08
29,2920,36,21430.010000000002
08,0802,93,21376.28
39,3923,246,21276.09
28,2834,57,20882.65
28,2818,79,20808.0
73,7325,27,20531.76
84,8477,323,19668.29
85,8516,92,19581.59
26,2610,8,19561.79
28,2839,3,19197.52
28,2810,13,19167.75
74,7403,25,18859.96
29,2910,17,18765.72
29,2933,20,18540.16
25,2513,2,18063.54
40,4016,69,18053.3
