Priority,HS2,Tonnage,Records,Rule_Suggestion,Keywords,Estimated_Group,Estimated_Commodity,Estimated_Cargo,Notes
1,27,45894881.51,5673,Heating Oil,HEATING OIL|ULTRA LOW SULFUR HEATING,Liquid Bulk,Petroleum,Refined Products,Consider separate rule for ULSHO
1,27,45894881.51,5673,Naphtha,NAPHTHA,Liquid Bulk,Petroleum,Refined Products,Common refinery product
1,27,45894881.51,5673,Alkylate,ALKYLATE,Liquid Bulk,Petroleum,Refined Products,Gasoline blending component
1,27,45894881.51,5673,Renewable Diesel,RENEWABLE DIESEL|NESTE RENEWABLE,Liquid Bulk,Petroleum,Refined Products,Sustainable aviation fuel feedstock
1,27,45894881.51,5673,Gasolina Booster,GASOLINA BOOSTER,Liquid Bulk,Petroleum,Refined Products,Octane enhancer
1,27,45894881.51,5673,Slops/Waste Fuel,SLOPS|DE-SLOPPING|OFF SPEC|DESTRUCTION,Liquid Bulk,Petroleum,Waste Products,Tank cleaning operations
2,72,21377132.62,5957,Steel Coil,COIL|COILS,Dry Bulk,Metals,Steel Products,May need tonnage range >100 tons
2,72,21377132.62,5957,Steel Plate,STEEL PLATE,Dry Bulk,Metals,Steel Products,Flat steel products
2,72,21377132.62,5957,Steel Billet,STEEL BILLET|BILLET,Dry Bulk,Metals,Steel Products,Semi-finished steel
2,72,21377132.62,5957,Galvanized Steel,GALVANIZED|ZINC COATED|HOT DIP,Dry Bulk,Metals,Steel Products,Corrosion-resistant coating
2,72,21377132.62,5957,Prepainted Steel,PREPAINTED,Dry Bulk,Metals,Steel Products,Coated steel for construction
2,72,21377132.62,5957,Ferro-Alloys,FERRO,Dry Bulk,Metals,Ferro-Alloys,Steel additives
3,29,15477769.13,2164,Chlorobenzene,CHLOROBENZENE,Liquid Bulk,Chemicals,Industrial Solvents,Chemical intermediate
3,29,15477769.13,2164,Acetone,ACETONE,Liquid Bulk,Chemicals,Industrial Solvents,Common solvent
3,29,15477769.13,2164,MTBE,MTBE|METHYL TERTIARY BUTYL ETHER,Liquid Bulk,Chemicals,Gasoline Additives,Octane booster
3,29,15477769.13,2164,Methyl Alcohol,METHYL ALCOHOL|METHANOL,Liquid Bulk,Chemicals,Industrial Solvents,Industrial alcohol
3,29,15477769.13,2164,Ethyl Alcohol,ETHYL ALCOHOL|ETHANOL,Liquid Bulk,Chemicals,Industrial Solvents,Industrial alcohol
3,29,15477769.13,2164,Stearic Acid,STEARIC ACID,Liquid Bulk,Chemicals,Fatty Acids,Also in HS38
3,29,15477769.13,2164,Glycerine,GLYCERIN|GLYCEROL,Liquid Bulk,Chemicals,Industrial Chemicals,99.7% USP grade common
3,29,15477769.13,2164,TEOS,TEOS|TETRAETHYL SILICATE,Liquid Bulk,Chemicals,Specialty Chemicals,Semiconductor industry
4,84,8238724.02,43156,Excavators,EXCAVATOR|EXCAVATORS,Dry Bulk,General Cargo,Construction Equipment,Heavy equipment
4,84,8238724.02,43156,Loaders,LOADER|LOADERS,Dry Bulk,General Cargo,Construction Equipment,Heavy equipment
4,84,8238724.02,43156,Material Handlers,MATERIAL HANDLER,Dry Bulk,General Cargo,Construction Equipment,Port/warehouse equipment
4,84,8238724.02,43156,Cargo Handling Equip,CARGO HANDLING EQUIPMENT,Dry Bulk,General Cargo,Port Equipment,Marine equipment
4,84,8238724.02,43156,Marine Equipment,SHIP EQUIPMENT|TURBOCHARGER|VESSEL SPARE,Dry Bulk,General Cargo,Marine Equipment,Ship components
4,84,8238724.02,43156,John Deere Equipment,DEERE,Dry Bulk,General Cargo,Construction Equipment,Brand-based rule
5,26,3945804.66,288,Blast Furnace Slag,BLAST FURNACE SLAG|GRANULATED SLAG,Dry Bulk,Minerals,Industrial Minerals,Steel production byproduct
5,26,3945804.66,288,Bauxite,BAUXITE,Dry Bulk,Minerals,Industrial Minerals,Aluminum ore
5,26,3945804.66,288,Chromite,CHROMITE,Dry Bulk,Minerals,Industrial Minerals,Chrome ore
5,26,3945804.66,288,Chloride Slag,CHLORIDE SLAG|TITANIA,Dry Bulk,Minerals,Industrial Minerals,Titanium production byproduct
6,44,2650456.55,733,Timber/Lumber,TIMBER|LUMBER|WOOD,Dry Bulk,Forest Products,Lumber,Various species
6,44,2650456.55,733,Fence Pickets,FENCE PICKET|PICKETS,Dry Bulk,Forest Products,Lumber,Kiln-dried products
6,44,2650456.55,733,Hardboard,HARDBOARD,Dry Bulk,Forest Products,Engineered Wood,Composite products
6,44,2650456.55,733,Panels,PANELS,Dry Bulk,Forest Products,Engineered Wood,Composite products
6,44,2650456.55,733,European Spruce,EUROPEAN SPRUCE|SPRUCE,Dry Bulk,Forest Products,Lumber,Specific species
