Party_Name,Total_Tons,Record_Count
Ril Usa Inc.,1805557.31,80
Wilmar Oleo Quimico S.De.Rl.De.C.V.,1770293.6400000001,12
Carver Sand & Gravel Se Llc,1602948.05,40
Eurochem North America Corp.,1537831.19,96
Freepoint Commodities,1527977.84,97
Volkswagen Grp Of America,1504034.53,1704
Csc Sugar Llc,1503712.27,134
Host Agency,1361039.1300000001,213
Puerto Rico Electric Power Authorit,1349535.85,58
Naturgy Aprovisionamientos Sa,1339776.82,47
Iig Capital,1338870.51,54
Hunt Crude Oil Supply Co.,1331520.51,31
Ubs Switzerland Ag,1295481.18,86
California Steel Industries Inc.,1266493.1400000001,47
On Site Concrete Solutions,1208244.79,58
Mitsui & Co Usa Inc.,1183008.86,381
Eco Fertilizers Inc.,1077556.99,47
Subaru Ofamerica Inc.,1062708.82,1104
Neste Us Inc.,1055022.47,102
Ups Supply Chain Solutions,1027879.43,192
Ing Bank N.V. Amsterdam,978278.29,92
Ergon Oil Purchasing Inc.,976432.73,14
Hyundai Motor America,957958.5,1801
North American Fuel Corp.,936636.37,28
Dow Europe Gmb H Plant F412,925952.1000000001,4
Total Specialties Usa Inc.,916462.95,35
Mcinnis Usa Inc.,914706.33,64
Totalenergies Petro Chemicals,911984.62,4
Ukt Chicago Inc.,909158.13,51
Unipec America,870794.63,16
Jaime Maduro Customs Broker,867530.0,3
Metsae Board Americas Corp.,863374.16,453
Perstorp Polyols Inc.,818894.64,27
Two Rivers Cement,809367.0,30
Halliburton Energy Services,805335.15,48
Am/Ns Calvert Llc,801483.05,27
Riverside Construction Materials,796262.0,17
Green America Biofuels Llc,788708.63,85
Helm Fertilizer Corp,778613.67,74
Global Companies Llc,778506.98,49
Nlmk Pennsylvania Corp.,775034.51,16
Kia America Inc.,767178.96,585
The Essex Cement Co. Llc,766420.48,19
Upm Naperville,764172.66,12604
Hartree Partners Lp,763283.34,54
Scl Rotterdam,754777.34,85
Trade Zone Operations,749298.96,1784
Holcim ( Us ) Inc.,726148.8,21
Ferrosource,725838.98,42
Puraglobe Syntaincis Llc,721367.91,31
American Sugar Refining,705052.88,110
Best Petroleum Corp.,698021.01,65
Titan Florida Llc,682751.06,22
Circon Enviromental,682489.0,53
Chs Inc.,675592.94,25
Verplank's Trucking,660216.97,32
Schnitzer Steel Industries In,658442.2,121
Sk Enmove Americas Inc.,639383.0,137
George E Warren Corp,618424.75,59
O Zf North America Inc.,617317.0,28
Thyssenkrupp Stainless Usa Llc,608042.02,3020
Marathon Petroluem,602657.76,9
Citrus Products Inc.,600373.03,61
Cmpc Usa,594031.32,90
Roanoke Cement Co. Llc,592903.0,15
United States Gypsum Co.,587082.0,12
Hm Northwest Cement Co.,580530.31,94
Mieco Inc.,571375.94,182
Reliance International Ltd.,564779.9,26
Hawaiian Cement Cement Division,560800.0,16
Belfius Bank Brussels,560708.1599999999,4
Phillips 66 International Trading,556562.71,182
Mineral Resource Technolgy,552200.43,47
Dunham Price Group Llc,550705.0,13
Tartan Oil Llc,547623.59,37
Jaguar Land Rover North America,545202.23,1179
Macrosource Llc,543950.63,56
Total Energies Marketing Puerto,543575.52,65
Pusan Pipe America Inc.,540537.96,2924
Sherwood Lumber Corp.,534270.91,92
Koch Fertilizer Llc,532496.61,27
Citrosuco N.A. Inc.,532268.05,58
Tronox Llc,531132.16,37
Pennzoil Quaker State Co. Dba Sopus Products,529272.68,63
Texan Cement,524855.15,13
Coastal Cement Corp.,517120.4,25
Trans American Chb Inc.,515519.0,11
Pacifica Piling Ltd. Partnership,512905.24,80
Ceva Freight Llc,512401.46,6451
Oxbow Calcining International Llc,509411.83,36
Lanxess Deutschland G,506217.98,16
Sony Puerto Rico Inc.,495433.89,168
Cascadia Metals,494879.47,328
Shell International Eastern Trading,494070.33999999997,22
Tenaris Global Services Usa,489523.63,1793
The Chemours Co.,488514.91000000003,49
Eneos America Inc.,487157.56,40
Bdp International Airport,486470.02,4
Bmo Harris Bank N.A.,485779.17,462
Hlj International Trading Co.,485249.0,17
Wind Turbine And Energy Cables Corp.,482413.17000000004,57
"Brb Singapore Pte., Ltd.",480602.0,18
Atlantic Trading & Marketing Inc.,480257.47000000003,20
Volvo Car Usa Llc,480052.86,799
Aldarra Overseas Group Inc.,478279.59,26
Inpex Energy Trading Ltd.,477920.0,20
Ees Coke Battery L.L.C.,476000.0,20
Sol Petroleum Usvi Ltd.,472984.26999999996,31
Levy Docks Brennan Ave,472171.0,27
Tenaris Bay City,468061.76,106
Charter Brokerage Cw Logistics,463580.49,432
Puerto Rico Steel Products Corp.,463168.09,11
Argos Puerto Rico,461186.79,63
Steel Dynamics Columbus Llc,453528.76,40
Scb Minerals Llc,451923.49,18
Ceva Logistics,444198.73,13341
Edward C Levy Co.,440327.16,30
Geodis Usa Inc.,440208.07,507
Ngb Express Lines S.A.P.I De C.V.,439822.08,14
"Meglobal Eg Singapore Pte., Ltd.",436979.82,56
Reg Marketing & Logistics Llc,432508.87,37
Lehigh White Cement Co. Llc,426944.0,13
Binderholz Timber Inc.,426471.12,228
Adnoc Trading Ltd.,426136.0,14
Petrorio Luxembourg Holding Sari,425619.15,9
Banque De Commerce Et De Placements,423280.47,13
Lanxess Corporation,420764.08,31
Sulphuric Acid,420259.46,26
Cimsa Americas Cement,416203.58,39
Southport Forest Products,415439.98,147
China Offshore,411166.70999999996,4
Raiffeisen Bank International Ag,402136.96,11
Eldorado Usa Inc.,400860.0,66
Emprade Mines & Min,400185.0,32
Eramet Marietta Inc.,399152.54,139
Kronospan Llc,397477.89,48
Nevada Cement Co.,397345.0,12
Ampol Us Trading Llc,395612.7,25
Raizen Trading,395468.48,25
Stemcor Usa Inc.,388055.96,106
Us Sugar Savannah Refinery Llc,384203.36,71
Icof America Inc.,383035.22000000003,432
Dole Europe Gmb H,382657.3,856
Fca Usa ( Low Sulphur Surcharge),375925.35,541
"China Zhenhua Oil Co., Ltd.",370897.82,12
Fertistream Dmcc,370348.15,14
Ca Indosuez (Switzerland) Sa,368597.36,38
Chicago Port Railroad,367225.48,22
Univar Solution Usa Inc.,365894.64,68
North East Offshore Llc Delaware,361571.7,36
Pbf Energy Ltd.,359027.12,9
Cenibra Inc.,358192.0,57
Surface Deployment And Distribution,357587.42,612
Penthol Llc,354255.13,79
National Gypsum Co.,349000.0,9
Pabco Gypsum Co.,348600.0,17
Warrick Newco Llc,348504.61,11
Leed Group Inc. Dba Leed Salt,346200.0,7
China Shougang Internatio,335966.92,6
Us Energy,332607.53,48
Vida Wood Us,329473.31,47
Expeditors International Ph 310 343 6263,328898.44,2405
Empire Gas Co. Inc.,325467.62,252
Dbs Bank Ltd. London,323734.12,12
Sca Logistics Ab,322489.43,94
Keytrade North America,317216.73,19
Deer Park Refining Ltd.,316593.32,4
Totsa Total Oil Trading Sa,315571.92,7
