Party_Name,Total_Tons,Record_Count
"JEREMY TROTTER C/O
ALEXANDER & CO., 22 CENTURY BLVD SUITE 510, NASHVILLE, TN 37214 USA",7905156.22,42
"B.R.ANDERSON &AMP; CO
1011 SW KLICKITAT WAY, STE 203, SEATTLE, WA, US, 98134, TE206-623-1346",1400772.9,198
"FREEPOINT COMMODITIES LLC
58 COMMERCE ROAD, STAMFORD, CT 06902",1132416.03,62
"MITSUI & CO, USA INC.
200 Park Avenue, New York, New York, 10166, United States",1034238.9299999999,32
"CARVER SAND & GRAVEL SE, LLC
1400 PIERSIDE STREET, BUILDING 190, SUITE D, CHARLESTON SC US",1018565.11,23
"MARATHON PETROLUEM  COMPANY LP
1801 E SEPULVEDA B LVD, CARSON, CA 90745, CARSON REFINERY",961010.01,10
"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY, SUITE 800, HOUSTON TX77092 US",944278.26,22
"BDP INTERNATIONAL NV
BRADERIJSTRAAT 11, ANTWERP B-2040, BELGIUM, TEL: 32345789",937080.2000000001,14
"SUBARU OF AMERICA
ONE SUBARU DRIVE, CAMDEN NEW JERSEY 08103 U.S.A., US, CAMDEN                   08103",886503.8,940
"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT RD, PO BOX 467, COLUMBUS, MS 39703",883251.0,26
"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US",882400.63,61
"JAIME MADURO
US CUSTOMER BROKER, P.O.BOX 9022947  PHONE 787-707-1863, SAN JUAN, P.R. 00902",867530.0,3
"CSC SUGAR LLC
33 RIVERSIDE AVE., WESTPORT, CONNECTICUT 06880",825460.1,6
"GEODIS WILSON USA
75 NORTHFIELD AVE., EDISON, NJ 08837, VERONICA COHEN - 732-623-6621",818894.64,27
"BAERE LOGISTICS LLC
350 5TH AVENUE, SUITE 6430, NEW YORK, NEW YORK 10118",774838.0,24
"721 LOGISTICS LLC
399 MARKET STREET,  SUITE #220, PHILADELPHIA PA US 19106",764134.72,12602
"AM/NS CALVERT LLC
1 THYSSENKRUPP DRIVE, P.O. BOX 456, CALVERT AL, 36513",724655.0,15
"PURAGLOBE SYNTAINCIS LLC
4420 PENDOLA POINT ROAD, TAMPA, FL 33619, TEL: 001 813-247-1754 EXT 2302",721367.91,31
"FERROSOURCE LLC
27 UNION SQ W 300, NEW YORK, NY 10003",708705.01,4
"FOUR BELLS RESOURCES, INC
7TH FL CAPITAL PLAZA BLDG, SN,, ROBERTO MOTTA A CUIDAD, PANAMA",700320.0,2
"GMNA FINANCE-TAX STAFF
P.O. BOX 300, 300 RENAISSANCE CENTER, DETROITMI 48265, TE313-665-2619",691901.83,1563
"CIRCON ENVIRONMENTAL
10020 BAYPORT BLVD, PASADENA, TX 77507",681955.0,29
"BAERE LOGISTICS LLC
363 7TH AVENUE FL 22, NEW YORK, NEW YORK 10001",651734.0,18
"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, US, TE251-287-8715",640125.88,143
"PMI NORTHAMERICA SA DE CV
777 NORTH ELDRIDGE PARKWAY, SUITE 800, HOUSTON TX USA 77079",608368.0,8
"KIA AMERICA INC.
111 PETERS CANYON RO, CALIFORNIA 92606, U.S.A",590230.24,443
"CITROSUCO NA INC
5937 HIGHWAY 60 EAST, LAKE WALES, FL, 33853, USA",567416.16,71
"ALCOTRA NORTH AMERICA INC.
2603 AUGUSTA DR, HOUSTON, TX 77057",560708.1599999999,4
"HYUNDAI MOTOR AMERICA
10550 TALBERT AVE, PO BOX 20850, FOUNTAIN VALLEYCA 92728, TEUS",548009.35,1036
"HUNT CRUDE OIL SUPPLY CO LLC
2200 JACK WARNER PKWY STE 400, TUSCALOOSA, AL 35401",546797.74,16
"HARTREE PARTNERS LP
1185 AVENUE OF THE AMERICAS, NEW YORK, NY 10036",544901.48,16
"ERGON OIL PURCHASING INC
2829 LAKELAND DRIVE SUITE 2000, POST OFFICE BOX 1308, JACKSON, MS 39215",538864.24,8
"ON SITE CONCRETE SOLUTIONS LLC
880 LAWRENCE ROAD, SUITE 188 KEMAH, HOUSTONTX 77565, TEUS",531587.54,22
"ALDARRA OVERSEAS GROUP, INC.
CALLE ING. JAMIE RODRIGUEZ #76, LOCAL FRONT A. STE 3D, SANTA PAULA, GUAYNABO, PR 000969",519872.7,2
"EUROCHEM NORTH AMERICA CORP.
2502 N ROCKY POINT DR, SUITE 510, TAMPA FL 33607 US",514695.2,22
"ALOHA PETROLEUM LLC
1001 BISHOP ST, SUITE 1300, HONOLULU, HI 96813",502907.52999999997,132
"RIVERSIDE CONSTRUCTION MATERIALS
355 NEWBOLD ROAD, FAIRLESS HILLS PA19030 US",499910.0,11
"BDP INTERNATIONAL AIRPORT
100 CONCORD ROAD, ASTON, PA 19014, TEL: 610-595-1819 / AMBER BERRY, EM: LANXIMP@BDPNET.COM",494648.12,12
"CARGILL INC. C/O GEODIS
THE NAVY YARD 5101 S BROAD STREET, PHILADELPHIA PA 19112 USA, 267-570-2939",488136.0,331
"1. PAGE AND JONES (CUSTOMS BROKER)
1. PAGE AND JONES (CUSTOMS BROKER), 52 NORTH JACKSON STREET MOBILE  ALA, 2. STEVEDORING SERVICE OF AMERICA, A",486952.0,96
"PACIFICA PILING LIMITED PARTNERSHIP
PO BOX 21119, MAPLE RIDGE RPO,, MAPLE RIDGE, BC V2X 1P7, TEL.: 778-955-7473",481714.74,7
"ON-SITE CONCRETE SOLUTIONS, LLC
2106 LAWRENCE RD, TAX ID: 85-4333681, KEMAHTX 77565, TE+1 979 200 6000",479778.38,20
"EMPRADA MINES AND MINERALS LLC
128 SHADY SPRING TRAIL, GEORGETOWN, TX 78628",479100.0,38
"SHERWOOD LUMBER CORP
225 BROADHOLLOW ROAD SUITE 310W, MELVILLE  NY  11747, PH: 631 232 9191",479069.97,24
"SK ENMOVE AMERICAS INC.
11700 KATY FREEWAY, SUITE 1200, HOUSTON TX77079 US",471810.0,96
"DEL MONTE FRESH PRODUCE N.A., INC.
241 SEVILLA AVENUE, CORAL GABLES FL 33134 US",456965.1,1761
"GEODIS USA INC
THE NAVY YARD, 5101 S BOARD ST, PHILADELPHIA, PA 19112, 267 570-2773",450858.4,263
"NATURGY APROVISIONAMIENTOS SA
1225 AVENIDA PONCE DE LEON STE 705, SAN JUAN PR 00907",449384.94,20
"IES DOWNSTREAM LLC
91 480 MALAKOLE ST KAPOLEI HI 96707",447662.37,15
"TERMINAL SHIPPING COMPANY, INC
300 BULL STREET, SUITE 201, SAVANNAH, GA 31401, GARY NALL  912-964-5200",442782.0,12
"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460, HOLLYWOOD, FL 33021",436675.0,11
"GREEN AMERICA BIOFUELS LLC
20 GREENWAY PLAZA, SUITE 300, HOUSTON, TX 77046, USA, TEL: +1 865-474-4086",436570.50000000006,22
"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY SUITE 800, HOUSTON, TX 77092",435242.0,28
"AM CALVERT LLC
1 AM/NS WAY, P.O. BOX 456, CALVERT, AL 36513, USA",429992.36,13
"WIND TURBINE AND ENGERY CABLES, COR
777 TERRACE AVENUE, SUITE 101, HASBROUCK HEIGHTS, NJ 07604",428000.02,2
"LEHIGH WHITE CEMENT COMPANY, LLC
1601 FORUM PLACE SUITE 1110, WEST PALM BEACH, FL 33401, USA",426944.0,13
"VOLVO CAR USA LLC
ONE VOLVO DRIVE, PHONE  +1 843 934 2070, ROCKLEIGH NJ US",422534.48,638
"IES DOWNSTREAM, LLC.
91-480 MALAKOLE STREET, KAPOLEI HI96707 US",422518.0,12
"METSA BOARD AMERICAS CORP
301 MERRITT 7, 2ND FL, NORWALK CT 06851",420511.59,84
"1) J.B. ELLIS & CO.
1230-1188 WEST GEORGIA STREET, VANCOUVER,BC V6E 4A2 EMAIL:OCEAN@, JBELLIS.COM TEL:604-408-7150",414857.98,1
"CARVER SAND & GRAVEL SE LLC
1400 PIERSIDE STREET BLDG 190 STE D, CHARLESTON SC",410482.0,13
"HYUNDAI MOTOR AMERICA
10550 TALBERT AVENUE, 20850 FOUNTAIN VALLEY, CA, 92728-0850 U.S.A",409237.97,753
"JOHN S JAMES CO
ONE IMESON PARK BLVD, BLDG 100, JACKSONVILLEFL 32218, TEUS",407875.5,81
"PAR PACIFIC
825 TOWN & COUNTRY LANE, SUITE 1500, HOUSTON TX77024 US",406754.0,13
"STEEL DYNAMICS SOUTHWEST LLC
FLAT ROLL GROUP SINTON DIVISION, 8534 HWY 89  SINTON, TEXAS  78387, ATTN:CHRIS DUNN",406364.0,10
"MEGLOBAL EG SINGAPORE PTE LTD
8 TEMASEK BOULEVARD #33-06, SINGAPORE, SG",404979.82,52
"TERMINAL SHIPPING COMPANY, INC.
300 BULL STREET - SUITE 201, SAVANNAH GA31401 US",404001.0,9
"MADURO CUSTOMS BROKERS AND FREIGHT
FORWARDERS. ATTN: JAIME MADURO, FTZ 61 RD, #165 KM2.4 GUAYNABO, PR, 787-707-1863 MOB 787-504-0991",401450.64999999997,51
"COASTAL CEMENT CORPORATION
36 DRYDOCK AVE. #1, BOSTON MA02210 US",390913.0,13
"DIX SHIPPING CO INC
400 RL OSTOS ROAD, BROWNSVILLE TEXAS 78521",389382.0,9
"GEORGE S. BUSH &AMP; CO., INC.
5331 S MACADAM AVE, STE 370, PORTLAND, OR, US, 97239, TE503-228-6501",383903.0,39
"CELTIC INTERNATIONAL SHIPPING
AGENCY, 3888 S SHERWOOD FOREST BLVD, CELTIC CENTER, BLDG 1,, BATON ROUGE, LA 70816",383186.95999999996,14
"MOTIVA ENTERPRISE LLC
500 DALLAS ST, HOUSTON, TX 77002",376907.08,6
"DEER PARK REFINING LP
5900 HIGHWAY 225, DEER PARK, TX 77536",375259.9,7
"J.W. Allen & Co., Inc.
Building 7D, Suite 800, 200 Crofton Road, Kenner, Louisiana, 70062-8305, United States",366124.54,702
"CAPES SHIPPING AGENCIES
113 ARENDELL ST., SUITE 126, MOREHEAD CITY NC28557 US",361274.88,18
"CENIBRA INC.
ORANGE STREET, WILMINGTON, NEW, CASTLE, 1209 19801 - DELAWARE,, NEW CASTLE DE US 19801",358192.0,57
"CALIFORNIA STEEL INDUSTRIES, INC
14000 SAN BERNARDINO AVENUE, FONTANA - 92335, USA",357376.25,13
"E.C.O. FERTILIZERS INC
200 S PARK RD, STE 460, HOLLYWOOD, FL 33021, OPERATIONS@ECOFERT.US",356535.87,20
"UPS SUPPLY CHAIN SOLUTIONS
302 SONNWILL DR, BUFFALO, NY 14225 USA",355822.0,9
"CEVA LOGISTICS
1333 SOUTH MOUNT PROSPECT RD, DES PLAINES IL US",354685.53,1994
"PHILIIPS 66 COMPANY
2331 CITY WEST BLVD, HOUSTON, TX 77042",349726.0,14
"DUNHAM PRICE GROUP LLC
P.O. BOX 760, 210 MIKE HOOKS RD, WESTLAKE, LA 70669-0760",347454.0,8
"TWO RIVERS CEMENT LLC
2895 INDUSTRIAL BLVD #180, WEST SACRAMENTO, CA 95691",347006.0,13
"BP WEST COAST PRODUCTS, LLC
4519 GRANDVIEW RD, BLAINEWA 98230-964, US",345057.77,3
"CHINA SHOUGANG INTERNATIONAL TRADE
SHOUGANG INTERNATIONAL BUILDING,, NO.60,NORTH STREET,, XIZHIMEN,HAIDIAN,DISTRICT, BEIJING",335966.92,6
"MARATHON ANACORTES REFINERY
MARCH POINT ROAD, ANACORTES WA 98221 US",332786.0,18
"MARATHON ANACORTES REFINERY
MARCH POINT ROAD, ANACORTES WA98221 US",331088.0,26
"IES DOWNSTREAM LLC
91 480 MALAKOLE ST KAPOLEI HI 96707, USA",327259.6,8
"SCA MASSA AB
OSTRAND PULP MILL, SE-861 31 TIMRA, SWEDEN",325682.23,95
"TO THE ORDER OF TITAN FLORIDA LLC
455 FAIRWAY DR, DEERFIELD BEACHFL 33441, US",324421.79,9
"HEART OF TEXAS CUSTOM BROKERS INC.
905 SWEEPING BUTTE DRIVE, HASLET, TX 76052",324288.0,10
"CORY BROTHERS (USA) INC.
REMINGTON SQUARE 1, 10603 WEST SAM HOUSTON PARKWAY, SUITE 240",319857.08,5
"JOHN S CONNOR INC
799, Cromwell Park Drive, Suite A, Glen Burnie, Maryland, 21061, United States",318663.57,51
