HS2,HS2_Description,Party_Type,Party_Name,Tonnage,Record_Count
10,Cereals (Grain),Consignee,Pan American Grain Mfg. Co. Inc.,204168.76,26
10,Cereals (Grain),Consignee,General Mills,145000.0,6
10,Cereals (Grain),Consignee,Molinos De Puerto Rico,123652.4,12
10,Cereals (Grain),Consignee,Hansen Mueller,120000.0,8
10,Cereals (Grain),Consignee,Adm Toledo,108000.0,4
10,Cereals (Grain),Consignee,Adm Milling,82400.0,5
10,Cereals (Grain),Consignee,Ardent Mills Port Redwing,64776.0,2
10,Cereals (Grain),Consignee,Ardent Mills Llc,62310.39,4
10,Cereals (Grain),Consignee,General Mills Corp. Ltd.,50004.0,8
10,Cereals (Grain),Consignee,Keb Hana Bank,44000.0,4
10,Cereals (Grain),Shipper,Viterra Inc.,179528.4,21
10,Cereals (Grain),Shipper,James Richardson International Ltd.,141000.0,6
10,Cereals (Grain),Shipper,Parrish & Heimbecker Ltd.,117127.92,17
10,Cereals (Grain),Shipper,Richardson International Ltd.,109902.65,7
10,Cereals (Grain),Shipper,Adm Agri Industries Co.,108000.0,4
10,Cereals (Grain),Shipper,General Mills Corp. Ltd.,79916.0,12
10,Cereals (Grain),Shipper,Baywa Agrarhandel Gmb H,64776.0,2
10,Cereals (Grain),Shipper,"Cofco International (Beijing) Co., Ltd.",63000.0,3
10,Cereals (Grain),Shipper,Amaggi Exportacao E Importacao Ltda,48015.14,4
10,Cereals (Grain),Shipper,Viterra Bv,35399.29,1
15,Animal/Veg Fats,Consignee,Diamond Green Diesel Llc,1041117.07,374
15,Animal/Veg Fats,Consignee,Bunge Loders Croklaan,306083.74,206
15,Animal/Veg Fats,Consignee,Reg Marketing & Logistics Llc,300114.99,20
15,Animal/Veg Fats,Consignee,Pt Sumber Indah Perkasa,242558.65,205
15,Animal/Veg Fats,Consignee,Pt Ivo Mas Tunggal,157034.17,110
15,Animal/Veg Fats,Consignee,Icof America Inc.,141541.36000000002,183
15,Animal/Veg Fats,Consignee,Bjb Llc Dba Agri Trading,139990.12,14
15,Animal/Veg Fats,Consignee,Twin Rivers Technologies,139826.88,54
15,Animal/Veg Fats,Consignee,Phillips 66 International Trading,123978.28,48
15,Animal/Veg Fats,Consignee,Pt Intibenua,122400.0,91
15,Animal/Veg Fats,Shipper,Pt Intibenua Perkasatama,326701.81,216
15,Animal/Veg Fats,Shipper,Pt Sumber Indah Perkasa,305173.84,243
15,Animal/Veg Fats,Shipper,Xiamen C And D Commodity Trading,271631.04,66
15,Animal/Veg Fats,Shipper,Pt Ivo Mas Tunggal,222245.12,153
15,Animal/Veg Fats,Shipper,Pt . Pacrim Nusantara Lestari Foods,213292.02,138
15,Animal/Veg Fats,Shipper,Pt Sinar Mas Agro Resources An,203459.09,188
15,Animal/Veg Fats,Shipper,Wilmar Nabati Indonesia,199688.69,109
15,Animal/Veg Fats,Shipper,Pt Sari Dumai Sejati,176371.71,100
15,Animal/Veg Fats,Shipper,Ioi Global Services Sdn Bhd,123773.19,59
15,Animal/Veg Fats,Shipper,Wilmar Edible Oils Philippines Inc.,117744.69,40
23,Animal Feed Residues,Consignee,Mitsui & Co Usa Inc.,1022002.04,21
23,Animal Feed Residues,Consignee,Diamond Green Diesel Llc,463236.2,83
23,Animal Feed Residues,Consignee,Hollingshead Cement Llc,224745.0,5
23,Animal Feed Residues,Consignee,Shell Chemical Lp,182912.88,6
23,Animal Feed Residues,Consignee,Argos Usa,144583.0,4
23,Animal Feed Residues,Consignee,Cgb Enterprises,132000.0,2
23,Animal Feed Residues,Consignee,Hm Pacific Northwest Inc.,119000.0,17
23,Animal Feed Residues,Consignee,Hm Southeast Cement Llc,105923.0,3
23,Animal Feed Residues,Consignee,Holcim ( Us ) Inc.,91280.0,2
23,Animal Feed Residues,Consignee,James Worldwide Inc.,71449.38,9
23,Animal Feed Residues,Shipper,Mitsui & Co. Deutschland Gmb H,1012308.5599999999,10
23,Animal Feed Residues,Shipper,Samarco Mineracao Sa,313570.0,4
23,Animal Feed Residues,Shipper,Lafrage Emirates Cement Llc,224745.0,5
23,Animal Feed Residues,Shipper,Best Commodity Trade,178848.0,17
23,Animal Feed Residues,Shipper,Nuh Cimento Sanayi A.S.,144583.0,4
23,Animal Feed Residues,Shipper,Nordic Bulk Co. A S,132000.0,2
23,Animal Feed Residues,Shipper,Heidelberg Materials Canada Ltd.,119000.0,17
