Rank,Party_Name,Field,Field_Count,Total_Tons,Record_Count,Industry,Primary_Group,Primary_Commodity,Primary_Cargo,Priority_Score
1,"JEREMY TROTTER C/O
ALEXANDER & CO., 22 CENTURY BLVD SUITE 510, NASHVILLE, TN 37214 USA",Notify Party,1,7905156.22,42,Other,Unknown,Unknown,Unknown,7905156.22
2,Totsa Totalenergies Trading Sa,"Consignee, Shipper",2,2923777.65,196,Oil/Gas,Unknown,Unknown,Unknown,3923777.65
3,Lafarge North America,"Consignee, Shipper",2,2647299.34,237,Cement/Aggregates,Unknown,Unknown,Unknown,3647299.34
4,Carib Lpg Trading Ltd.,"Consignee, Shipper",2,2600772.15,49,Oil/Gas,Unknown,Unknown,Unknown,3600772.15
5,Aes Puerto Rico Lp,"Consignee, Shipper",2,2545800.0,66,Other,Unknown,Unknown,Unknown,3545800.0
6,Novum Energy Trading Corp.,"Consignee, Shipper",2,2453763.46,108,Oil/Gas,Unknown,Unknown,Unknown,3453763.46
7,Gunvor Group,"Consignee, Shipper",2,2176307.54,98,Logistics/Trading,Unknown,Unknown,Unknown,3176307.54
8,Toyota Motor Corporation,"Consignee, Shipper",2,2126212.91,1555,Other,Unknown,Unknown,Unknown,3126212.91
9,St. Mary's Cement Corp.,"Consignee, Shipper",2,2091917.31,163,Cement/Aggregates,Unknown,Unknown,Unknown,3091917.31
10,Houston Cement Co.,Consignee,1,2300928.0,49,Cement/Aggregates,Unknown,Unknown,Unknown,2300928.0
11,Eastern Salt Co. Inc.,Consignee,1,2270905.26,56,Other,Unknown,Unknown,Unknown,2270905.26
12,Hollingshead Cement Llc,Consignee,1,2192906.4,53,Cement/Aggregates,Unknown,Unknown,Unknown,2192906.4
13,Grupo Minero Del Mar De Cortes,Shipper,1,2147600.0,79,Other,Unknown,Unknown,Unknown,2147600.0
14,Toyota Motor Sales,Consignee,1,2103655.43,1421,Other,Unknown,Unknown,Unknown,2103655.43
15,Ep Petroecuador,Shipper,1,2097806.77,48,Other,Unknown,Unknown,Unknown,2097806.77
16,Argos Usa,Consignee,1,2031040.08,140,Other,Unknown,Unknown,Unknown,2031040.08
17,Samarco Mineracao Sa,Shipper,1,2022059.0,26,Other,Unknown,Unknown,Unknown,2022059.0
18,Gs Caltex Corporation,Shipper,1,2021306.74,102,Other,Unknown,Unknown,Unknown,2021306.74
